group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr06x08	1	250000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	239585	245308	85822	399071	0.784946
chr06x08	250001	500000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	244499	240775	81294	403980	0.798767
chr06x08	500001	750000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	240563	232151	72064	400650	0.820132
chr06x08	750001	1000000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	243084	233034	66499	409619	0.837656
chr06x08	1000001	1250000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	240869	222822	42255	421436	0.899736
chr06x08	1250001	1500000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	240775	240054	19990	460839	0.956623
chr06x08	1500001	1750000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	238838	238894	2525	475207	0.994687
chr06x08	1750001	2000000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	245083	236447	3252	478278	0.993201
chr06x08	2000001	2250000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	242139	239967	2671	479435	0.994429
chr06x08	2250001	2500000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	243123	225220	2343	466000	0.994972
chr06x08	2500001	2750000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	243684	232871	2623	473932	0.994465
chr06x08	2750001	3000000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	240514	245152	2573	483093	0.994674
chr06x08	3000001	3250000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	240857	239515	2897	477475	0.993933
chr06x08	3250001	3500000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	237460	242414	4524	475350	0.990483
chr06x08	3500001	3750000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	242143	229883	3391	468635	0.992764
chr06x08	3750001	4000000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	240422	224026	6931	457517	0.984851
chr06x08	4000001	4250000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	241511	214803	2664	453650	0.994128
chr06x08	4250001	4500000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	241375	220199	2398	459176	0.994778
chr06x08	4500001	4750000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	239971	239956	3472	476455	0.992713
chr06x08	4750001	5000000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	242736	238746	3765	477717	0.992119
chr06x08	5000001	5250000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	242702	222004	2660	462046	0.994243
chr06x08	5250001	5500000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	243901	242365	2996	483270	0.993801
chr06x08	5500001	5750000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	231844	235164	3381	463627	0.992707
chr06x08	5750001	6000000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	243387	239155	3187	479355	0.993351
chr06x08	6000001	6250000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	242431	241534	3142	480823	0.993465
chr06x08	6250001	6500000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	232212	243750	4002	471960	0.991520
chr06x08	6500001	6750000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	215301	239871	2530	452642	0.994411
chr06x08	6750001	7000000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	237917	237556	3449	472024	0.992693
chr06x08	7000001	7250000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	244974	238944	3694	480224	0.992308
chr06x08	7250001	7500000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	233880	213467	3489	443858	0.992139
chr06x08	7500001	7750000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	234962	228868	2750	461080	0.994036
chr06x08	7750001	8000000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	240459	236492	3542	473409	0.992518
chr06x08	8000001	8250000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	243664	242946	4212	482398	0.991269
chr06x08	8250001	8500000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	236455	204512	5646	435321	0.987030
chr06x08	8500001	8750000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	236010	238495	4577	469928	0.990260
chr06x08	8750001	9000000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	243662	232887	3586	472963	0.992418
chr06x08	9000001	9250000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	232580	231044	2511	461113	0.994554
chr06x08	9250001	9500000	HAP1_chr06	HAP1_chr08	HAP1	HAP1	6	8	234579	237299	3678	468200	0.992144
