unit_a	unit_b	k_sweep	chosen_k	kmers_a	kmers_b	shared	union	jaccard_at_chosen_k	containment_at_chosen_k	distance	containment_p	resolution_limited	k_consistency_spread
HAP1_chr01	HAP1_chr02	11,13,15,17,19,23	23	232137671	302372070	54908268	479601473	0.114487	0.236533	0.068806	0.060757	False	0.073119
HAP1_chr01	HAP1_chr03	11,13,15,17,19,23	23	232137671	289069768	54194230	467013209	0.116044	0.233457	0.068279	0.061291	False	0.072420
HAP1_chr01	HAP1_chr04	11,13,15,17,19,23	23	232137671	303443808	53075112	482506367	0.109999	0.228636	0.070369	0.062143	False	0.074598
HAP1_chr01	HAP1_chr05	11,13,15,17,19,23	23	232137671	271829836	52350474	451617033	0.115918	0.225515	0.068322	0.062703	False	0.072419
HAP1_chr01	HAP1_chr06	11,13,15,17,19,23	23	232137671	241393747	49268083	424263335	0.116126	0.212236	0.068252	0.065173	False	0.071771
HAP1_chr01	HAP1_chr07	11,13,15,17,19,23	23	232137671	290462356	53407728	469192299	0.113829	0.230069	0.069031	0.061888	False	0.073374
HAP1_chr01	HAP2_chr01	11,13,15,17,19,23	23	232137671	234837086	232098901	234875856	0.988177	0.999833	0.000259	0.000007	False	0.000288
HAP1_chr01	HAP2_chr02	11,13,15,17,19,23	23	232137671	302921633	54966750	480092554	0.114492	0.236785	0.068804	0.060714	False	0.073119
HAP1_chr01	HAP2_chr03	11,13,15,17,19,23	23	232137671	289305369	54226264	467216776	0.116062	0.233595	0.068273	0.061267	False	0.072413
HAP1_chr01	HAP2_chr04	11,13,15,17,19,23	23	232137671	305050910	53162722	484025859	0.109834	0.229014	0.070428	0.062075	False	0.074673
HAP1_chr01	HAP2_chr05	11,13,15,17,19,23	23	232137671	274687849	52577857	454247663	0.115747	0.226494	0.068379	0.062526	False	0.072515
HAP1_chr01	HAP2_chr06	11,13,15,17,19,23	23	232137671	243088297	49372154	425853814	0.115937	0.212685	0.068316	0.065087	False	0.071876
HAP1_chr01	HAP2_chr07	11,13,15,17,19,23	23	232137671	274035721	51512653	454660739	0.113299	0.221906	0.069213	0.063360	False	0.073479
HAP1_chr02	HAP1_chr03	11,13,15,17,19,23	23	302372070	289069768	61912026	529529812	0.116919	0.214177	0.067987	0.064803	False	0.072863
HAP1_chr02	HAP1_chr04	11,13,15,17,19,23	23	302372070	303443808	60998441	544817437	0.111961	0.201733	0.069677	0.067234	False	0.074576
HAP1_chr02	HAP1_chr05	11,13,15,17,19,23	23	302372070	271829836	59920290	514281616	0.116513	0.220433	0.068123	0.063631	False	0.072917
HAP1_chr02	HAP1_chr06	11,13,15,17,19,23	23	302372070	241393747	56063652	487702165	0.114955	0.232250	0.068647	0.061503	False	0.072871
HAP1_chr02	HAP1_chr07	11,13,15,17,19,23	23	302372070	290462356	61047730	531786696	0.114797	0.210174	0.068701	0.065570	False	0.073728
HAP1_chr02	HAP2_chr01	11,13,15,17,19,23	23	302372070	234837086	55159661	482049495	0.114427	0.234885	0.068826	0.061043	False	0.073203
HAP1_chr02	HAP2_chr02	11,13,15,17,19,23	23	302372070	302921633	301966979	303326724	0.995517	0.998660	0.000098	0.000058	False	0.000101
HAP1_chr02	HAP2_chr03	11,13,15,17,19,23	23	302372070	289305369	61954023	529723416	0.116955	0.214148	0.067975	0.064808	False	0.072851
HAP1_chr02	HAP2_chr04	11,13,15,17,19,23	23	302372070	305050910	61113382	546309598	0.111866	0.202113	0.069711	0.067157	False	0.074623
HAP1_chr02	HAP2_chr05	11,13,15,17,19,23	23	302372070	274687849	60207475	516852444	0.116489	0.219185	0.068131	0.063863	False	0.072967
HAP1_chr02	HAP2_chr06	11,13,15,17,19,23	23	302372070	243088297	56199894	489260473	0.114867	0.231191	0.068677	0.061689	False	0.072940
HAP1_chr02	HAP2_chr07	11,13,15,17,19,23	23	302372070	274035721	58726091	517681700	0.113441	0.214301	0.069165	0.064779	False	0.074120
HAP1_chr03	HAP1_chr04	11,13,15,17,19,23	23	289069768	303443808	59656422	532857154	0.111956	0.206374	0.069679	0.066311	False	0.074485
HAP1_chr03	HAP1_chr05	11,13,15,17,19,23	23	289069768	271829836	58838278	502061326	0.117193	0.216453	0.067896	0.064373	False	0.072593
HAP1_chr03	HAP1_chr06	11,13,15,17,19,23	23	289069768	241393747	55168443	475295072	0.116072	0.228541	0.068270	0.062160	False	0.072380
HAP1_chr03	HAP1_chr07	11,13,15,17,19,23	23	289069768	290462356	60216154	519315970	0.115953	0.208310	0.068310	0.065932	False	0.073188
HAP1_chr03	HAP2_chr01	11,13,15,17,19,23	23	289069768	234837086	54447865	469458989	0.115980	0.231854	0.068301	0.061573	False	0.072504
HAP1_chr03	HAP2_chr02	11,13,15,17,19,23	23	289069768	302921633	61979870	530011531	0.116941	0.214411	0.067980	0.064758	False	0.072857
HAP1_chr03	HAP2_chr03	11,13,15,17,19,23	23	289069768	289305369	288358963	290016174	0.994286	0.997541	0.000125	0.000107	False	0.000138
HAP1_chr03	HAP2_chr04	11,13,15,17,19,23	23	289069768	305050910	59759983	534360695	0.111835	0.206732	0.069722	0.066240	False	0.074544
HAP1_chr03	HAP2_chr05	11,13,15,17,19,23	23	289069768	274687849	59092308	504665309	0.117092	0.215125	0.067929	0.064623	False	0.072666
HAP1_chr03	HAP2_chr06	11,13,15,17,19,23	23	289069768	243088297	55299702	476858363	0.115967	0.227488	0.068305	0.062348	False	0.072457
HAP1_chr03	HAP2_chr07	11,13,15,17,19,23	23	289069768	274035721	57952563	505152926	0.114723	0.211478	0.068726	0.065318	False	0.073528
HAP1_chr04	HAP1_chr05	11,13,15,17,19,23	23	303443808	271829836	57546054	517727590	0.111151	0.211699	0.069961	0.065276	False	0.074734
HAP1_chr04	HAP1_chr06	11,13,15,17,19,23	23	303443808	241393747	54048133	490789422	0.110125	0.223900	0.070325	0.062996	False	0.074509
HAP1_chr04	HAP1_chr07	11,13,15,17,19,23	23	303443808	290462356	60121672	533784492	0.112633	0.206986	0.069444	0.066190	False	0.073939
HAP1_chr04	HAP2_chr01	11,13,15,17,19,23	23	303443808	234837086	53302428	484978466	0.109907	0.226976	0.070402	0.062440	False	0.074697
HAP1_chr04	HAP2_chr02	11,13,15,17,19,23	23	303443808	302921633	61071640	545293801	0.111998	0.201609	0.069665	0.067259	False	0.074563
HAP1_chr04	HAP2_chr03	11,13,15,17,19,23	23	303443808	289305369	59689951	533059226	0.111976	0.206322	0.069672	0.066321	False	0.074479
HAP1_chr04	HAP2_chr04	11,13,15,17,19,23	23	303443808	305050910	302081955	306412763	0.985866	0.995512	0.000311	0.000196	False	0.000358
HAP1_chr04	HAP2_chr05	11,13,15,17,19,23	23	303443808	274687849	57799234	520332423	0.111081	0.210418	0.069986	0.065523	False	0.074797
HAP1_chr04	HAP2_chr06	11,13,15,17,19,23	23	303443808	243088297	54195140	492336965	0.110077	0.222944	0.070342	0.063170	False	0.074559
HAP1_chr04	HAP2_chr07	11,13,15,17,19,23	23	303443808	274035721	57856611	519622918	0.111343	0.211128	0.069894	0.065386	False	0.074312
HAP1_chr05	HAP1_chr06	11,13,15,17,19,23	23	271829836	241393747	53133894	460089689	0.115486	0.220113	0.068467	0.063691	False	0.072540
HAP1_chr05	HAP1_chr07	11,13,15,17,19,23	23	271829836	290462356	58010208	504281984	0.115035	0.213406	0.068620	0.064949	False	0.073467
HAP1_chr05	HAP2_chr01	11,13,15,17,19,23	23	271829836	234837086	52583536	454083386	0.115801	0.223915	0.068361	0.062993	False	0.072524
HAP1_chr05	HAP2_chr02	11,13,15,17,19,23	23	271829836	302921633	59750609	515000860	0.116020	0.219809	0.068287	0.063747	False	0.073095
HAP1_chr05	HAP2_chr03	11,13,15,17,19,23	23	271829836	289305369	58881732	502253473	0.117235	0.216612	0.067882	0.064343	False	0.072578
HAP1_chr05	HAP2_chr04	11,13,15,17,19,23	23	271829836	305050910	57662603	519218143	0.111057	0.212128	0.069995	0.065194	False	0.074780
HAP1_chr05	HAP2_chr05	11,13,15,17,19,23	23	271829836	274687849	271712356	274805329	0.988745	0.999568	0.000247	0.000019	False	0.000269
HAP1_chr05	HAP2_chr06	11,13,15,17,19,23	23	271829836	243088297	53270518	461647615	0.115392	0.219141	0.068499	0.063871	False	0.072609
HAP1_chr05	HAP2_chr07	11,13,15,17,19,23	23	271829836	274035721	55909011	489956546	0.114110	0.205677	0.068935	0.066448	False	0.073702
HAP1_chr06	HAP1_chr07	11,13,15,17,19,23	23	241393747	290462356	54412616	477443487	0.113967	0.225410	0.068984	0.062722	False	0.073269
HAP1_chr06	HAP2_chr01	11,13,15,17,19,23	23	241393747	234837086	49475402	426755431	0.115934	0.210680	0.068317	0.065472	False	0.071904
HAP1_chr06	HAP2_chr02	11,13,15,17,19,23	23	241393747	302921633	56123230	488192150	0.114961	0.232497	0.068645	0.061460	False	0.072869
HAP1_chr06	HAP2_chr03	11,13,15,17,19,23	23	241393747	289305369	55213098	475486018	0.116119	0.228726	0.068254	0.062127	False	0.072361
