group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr04	1	250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	20738	49755	611	69882	0.991257
chr04	250001	500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	104147	77872	2880	179139	0.983923
chr04	500001	750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	144471	133068	6007	271532	0.977877
chr04	750001	1000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	80105	129801	9492	200414	0.952638
chr04	1000001	1250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	44475	175747	8559	211663	0.959563
chr04	1250001	1500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	185568	152834	15149	323253	0.953136
chr04	1500001	1750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	212920	96738	3344	306314	0.989083
chr04	1750001	2000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	182333	148961	4993	326301	0.984698
chr04	2000001	2250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	74856	164817	4074	235599	0.982708
chr04	2250001	2500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	111400	166242	4678	272964	0.982862
chr04	2500001	2750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	193415	156355	8903	340867	0.973881
chr04	2750001	3000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	198854	92773	3463	288164	0.987983
chr04	3000001	3250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	214783	155256	6561	363478	0.981949
chr04	3250001	3500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	223118	137235	11999	348354	0.965555
chr04	3500001	3750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	139674	161220	14684	286210	0.948695
chr04	3750001	4000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	130333	153143	16010	267466	0.940142
chr04	4000001	4250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	125297	89793	4594	210496	0.978175
chr04	4250001	4500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	92673	114743	5982	201434	0.970303
chr04	4500001	4750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	205937	156794	13016	349715	0.962781
chr04	4750001	5000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	183547	110714	7454	286807	0.974010
chr04	5000001	5250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	201461	110086	10956	300591	0.963552
chr04	5250001	5500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	50598	97603	1714	146487	0.988299
chr04	5500001	5750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	157140	86929	12038	232031	0.948119
chr04	5750001	6000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	181334	165025	13770	332589	0.958598
chr04	6000001	6250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	194558	106912	10165	291305	0.965105
chr04	6250001	6500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	138254	124303	8175	254382	0.967863
chr04	6500001	6750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	193249	93564	2417	284396	0.991501
chr04	6750001	7000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	211628	148246	9029	350845	0.974265
chr04	7000001	7250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	201335	160528	3287	358576	0.990833
chr04	7250001	7500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	209398	157640	7659	359379	0.978688
chr04	7500001	7750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	226205	131837	1219	356823	0.996584
chr04	7750001	8000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	206856	146081	9588	343349	0.972075
chr04	8000001	8250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	199363	76634	3503	272494	0.987145
chr04	8250001	8500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	190636	142323	3888	329071	0.988185
chr04	8500001	8750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	207089	130109	3232	333966	0.990322
chr04	8750001	9000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	220100	132801	2443	350458	0.993029
chr04	9000001	9250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	212559	87729	4484	295804	0.984841
chr04	9250001	9500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	187128	109802	4053	292877	0.986161
chr04	9500001	9750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	186205	121482	4051	303636	0.986658
chr04	9750001	10000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	204916	135017	4411	335522	0.986853
