group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr02	1	250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	243330	239409	176409	306330	0.424121
chr02	250001	500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	241584	242994	186427	298151	0.374723
chr02	500001	750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	181973	223487	123378	282082	0.562617
chr02	750001	1000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	223112	244427	111860	355679	0.685503
chr02	1000001	1250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	211008	246523	82818	374713	0.778983
chr02	1250001	1500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	197210	243498	33277	407431	0.918325
chr02	1500001	1750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	243362	240609	14557	469414	0.968989
chr02	1750001	2000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	240492	240781	16521	464752	0.964452
chr02	2000001	2250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	243842	247052	28246	462648	0.938947
chr02	2250001	2500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	246738	243940	34507	456171	0.924355
chr02	2500001	2750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	241035	247817	19872	468980	0.957627
chr02	2750001	3000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	247364	239990	10401	476953	0.978193
chr02	3000001	3250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	242887	233020	30720	445187	0.930995
chr02	3250001	3500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	245068	242215	28168	459115	0.938647
chr02	3500001	3750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	242451	244948	39653	447746	0.911439
chr02	3750001	4000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	246733	240738	47120	440351	0.892994
chr02	4000001	4250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	243935	246176	45254	444857	0.898273
chr02	4250001	4500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	244805	244009	66343	422471	0.842964
chr02	4500001	4750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	244457	245826	63572	426711	0.851019
chr02	4750001	5000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	245815	239311	51621	433505	0.880922
chr02	5000001	5250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	245497	237842	82163	401176	0.795195
chr02	5250001	5500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	241681	245238	103742	383177	0.729258
chr02	5500001	5750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	242278	236890	101764	377404	0.730358
chr02	5750001	6000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	243264	242033	110055	375242	0.706709
chr02	6000001	6250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	232359	242594	98159	376794	0.739489
chr02	6250001	6500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	246170	246375	98408	394137	0.750320
chr02	6500001	6750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	246290	244645	107052	383883	0.721134
chr02	6750001	7000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	245420	246528	95364	396584	0.759536
chr02	7000001	7250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	242227	242870	58897	426200	0.861809
chr02	7250001	7500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	215747	244299	8075	451971	0.982134
chr02	7500001	7750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	238638	210538	2123	447053	0.995251
chr02	7750001	8000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	204103	236556	24622	416037	0.940818
chr02	8000001	8250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	235326	242169	15193	462302	0.967136
chr02	8250001	8500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	245259	245932	22475	468716	0.952050
chr02	8500001	8750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	245303	246215	37663	453855	0.917015
chr02	8750001	9000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	243612	241573	9211	475974	0.980648
chr02	9000001	9250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	242971	244888	26839	461020	0.941783
chr02	9250001	9500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	246634	241128	32117	455645	0.929513
chr02	9500001	9750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	242876	244930	40429	447377	0.909631
chr02	9750001	10000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	243457	243381	34574	452264	0.923553
chr02	10000001	10250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	244705	241270	53255	432720	0.876930
chr02	10250001	10500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	238241	244854	43626	439469	0.900730
chr02	10500001	10750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	243658	241533	43097	442094	0.902516
chr02	10750001	11000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	242960	230572	69869	403663	0.826913
chr02	11000001	11250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	230333	241057	62342	409048	0.847592
chr02	11250001	11500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	238666	244912	77076	406502	0.810392
chr02	11500001	11750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	243182	243507	32705	453984	0.927960
chr02	11750001	12000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	239920	242950	20035	462835	0.956712
chr02	12000001	12250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	244338	198629	74254	368713	0.798613
chr02	12250001	12500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	240384	202706	94621	348469	0.728467
chr02	12500001	12750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	97634	37446	9599	125481	0.923502
chr02	12750001	13000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	36486	29351	20315	45522	0.553732
chr02	13000001	13250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	15091	11231	3253	23069	0.858988
chr02	13250001	13500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	17811	17313	3454	31670	0.890938
chr02	13500001	13750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	12410	57318	1457	68271	0.978659
chr02	13750001	14000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	18486	33044	7	51523	0.999864
chr02	14000001	14250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	7207	109270	484	115993	0.995827
