,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP2_chr01,HAP2_chr06,HAP2_chr03,HAP2_chr11,HAP2_chr04,HAP2_chr05,HAP2_chr02,HAP2_chr12,HAP2_chr15,HAP2_chr09,HAP2_chr14,HAP2_chr08,HAP2_chr13,HAP2_chr10,HAP2_chr16,HAP2_chr07,HAP3_chr01,HAP3_chr03,HAP3_chr04,HAP3_chr06,HAP3_chr10,HAP3_chr13,HAP3_chr02,HAP3_chr14,HAP3_chr15,HAP3_chr08,HAP3_chr11,HAP3_chr07,HAP3_chr09,HAP3_chr05,HAP3_chr16,HAP3_chr12,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11,HAP4_chr12,HAP4_chr13,HAP4_chr14,HAP4_chr15,HAP4_chr16
HAP1_chr01,0.000000,0.152338,0.135996,0.138890,0.135173,0.146526,0.142186,0.070417,0.132708,0.133815,0.144017,0.143791,0.141749,0.137769,0.134161,0.149127,0.018388,0.141960,0.135274,0.143778,0.138976,0.136729,0.146787,0.142727,0.136038,0.132307,0.136912,0.069674,0.141857,0.132758,0.154860,0.145015,0.019259,0.136947,0.138618,0.141695,0.131818,0.140405,0.148017,0.136552,0.132928,0.070109,0.144002,0.141535,0.132653,0.137501,0.148436,0.142784,0.020450,0.138897,0.136847,0.135594,0.133117,0.129691,0.148163,0.143446,0.070625,0.144821,0.144583,0.135833,0.150540,0.143869,0.146159,0.145296
HAP1_chr02,0.152338,0.000000,0.152180,0.065509,0.152546,0.143484,0.146901,0.148924,0.150080,0.150721,0.152451,0.147009,0.146847,0.155134,0.152002,0.148264,0.153575,0.146630,0.150461,0.148875,0.066377,0.152124,0.027353,0.145606,0.152619,0.148619,0.154519,0.150831,0.144412,0.152117,0.145564,0.143303,0.154475,0.153074,0.065441,0.148503,0.152175,0.143857,0.026159,0.153120,0.149277,0.148950,0.149131,0.146097,0.148102,0.153850,0.147385,0.144854,0.151824,0.065436,0.153456,0.153972,0.151866,0.146907,0.145511,0.149250,0.150697,0.148544,0.145027,0.150787,0.026356,0.145234,0.143225,0.141488
HAP1_chr03,0.135996,0.152180,0.000000,0.138394,0.135621,0.069497,0.141451,0.146476,0.131705,0.131636,0.145160,0.143627,0.141166,0.136817,0.133240,0.149070,0.136956,0.068692,0.016851,0.142978,0.138969,0.135272,0.147110,0.142973,0.134506,0.131613,0.135348,0.145567,0.142581,0.134332,0.151642,0.145215,0.136524,0.019449,0.137749,0.068215,0.132183,0.140879,0.149425,0.134641,0.131455,0.146168,0.144671,0.143149,0.131902,0.136647,0.148055,0.143782,0.135326,0.137969,0.137012,0.133841,0.131790,0.130301,0.041160,0.068223,0.144763,0.144397,0.144932,0.134953,0.150531,0.142729,0.145577,0.146444
HAP1_chr04,0.138890,0.065509,0.138394,0.000000,0.139259,0.149714,0.147378,0.147932,0.136586,0.137593,0.149525,0.147208,0.146403,0.141803,0.137139,0.151008,0.140303,0.146009,0.138428,0.148850,0.016773,0.140342,0.064528,0.147110,0.138134,0.136995,0.141914,0.148603,0.147051,0.138534,0.153592,0.148614,0.139974,0.138501,0.014974,0.146900,0.137685,0.144365,0.064850,0.140487,0.137647,0.147796,0.149153,0.148263,0.136404,0.140353,0.151387,0.148392,0.138349,0.016544,0.140797,0.140447,0.138017,0.134539,0.149061,0.148095,0.148271,0.147783,0.149016,0.136964,0.065049,0.146913,0.149002,0.147084
HAP1_chr05,0.135173,0.152546,0.135621,0.139259,0.000000,0.147913,0.132653,0.143491,0.133477,0.133196,0.143760,0.144236,0.142582,0.137445,0.135754,0.066655,0.137089,0.143785,0.135525,0.144480,0.140194,0.016031,0.148168,0.143192,0.135094,0.133949,0.137732,0.146015,0.142730,0.134218,0.066264,0.145811,0.137484,0.136375,0.139398,0.143582,0.133840,0.141861,0.147570,0.137179,0.133674,0.143633,0.145215,0.142924,0.133950,0.018108,0.066824,0.144358,0.135969,0.140356,0.015238,0.135508,0.133289,0.130920,0.147244,0.144928,0.141576,0.066988,0.145732,0.134893,0.149774,0.144919,0.146461,0.146189
HAP1_chr06,0.146526,0.143484,0.069497,0.149714,0.147913,0.000000,0.141562,0.145414,0.140426,0.142335,0.145508,0.140672,0.138952,0.149636,0.144624,0.144162,0.147456,0.029926,0.069410,0.143874,0.150244,0.148010,0.145441,0.139718,0.146909,0.141494,0.147770,0.145128,0.135744,0.143697,0.144095,0.139559,0.148448,0.069796,0.147437,0.028968,0.143961,0.139556,0.148141,0.148985,0.145188,0.144287,0.144144,0.143289,0.141685,0.147893,0.144978,0.140501,0.146483,0.147879,0.149056,0.147109,0.143775,0.139843,0.040305,0.028118,0.144700,0.144933,0.141508,0.146119,0.147056,0.139880,0.137983,0.137068
HAP1_chr07,0.142186,0.146901,0.141451,0.147378,0.132653,0.141562,0.000000,0.143335,0.141378,0.140339,0.140548,0.137101,0.137368,0.143931,0.073516,0.124163,0.142658,0.140465,0.141831,0.139884,0.146866,0.132954,0.143065,0.137985,0.073799,0.141834,0.143087,0.142578,0.137177,0.141379,0.126218,0.032329,0.142370,0.141940,0.144532,0.139976,0.140930,0.137577,0.144994,0.142772,0.072894,0.141819,0.141147,0.019810,0.139857,0.132643,0.115884,0.139207,0.141426,0.146565,0.132940,0.143893,0.140369,0.138416,0.146885,0.140817,0.141153,0.115335,0.141728,0.073495,0.144669,0.032070,0.141274,0.139482
HAP1_chr08,0.070417,0.148924,0.146476,0.147932,0.143491,0.145414,0.143335,0.000000,0.142267,0.144298,0.146749,0.142925,0.141541,0.146977,0.146331,0.148278,0.070204,0.143010,0.145125,0.144024,0.150954,0.145092,0.148406,0.142131,0.146644,0.141671,0.147347,0.027177,0.141624,0.144397,0.149868,0.145222,0.071229,0.146521,0.148430,0.143871,0.145482,0.139620,0.149034,0.147028,0.144084,0.024619,0.146661,0.144037,0.141131,0.144939,0.148162,0.143242,0.070598,0.148819,0.144836,0.145851,0.144841,0.140735,0.147095,0.144416,0.028563,0.144541,0.146333,0.145598,0.148856,0.144122,0.145609,0.142772
HAP1_chr09,0.132708,0.150080,0.131705,0.136586,0.133477,0.140426,0.141378,0.142267,0.000000,0.129324,0.142845,0.142068,0.075885,0.134344,0.131006,0.148255,0.133278,0.139445,0.132487,0.143227,0.136467,0.134715,0.145498,0.141480,0.132109,0.011493,0.133231,0.143198,0.076024,0.130599,0.150676,0.144268,0.134483,0.132819,0.135337,0.139493,0.129573,0.077046,0.146940,0.134556,0.129845,0.142640,0.144007,0.142435,0.020149,0.133901,0.144446,0.141848,0.132773,0.136370,0.134669,0.132630,0.129520,0.021165,0.143678,0.140059,0.140578,0.144206,0.144775,0.132643,0.148563,0.142835,0.075775,0.142466
HAP1_chr10,0.133815,0.150721,0.131636,0.137593,0.133196,0.142335,0.140339,0.144298,0.129324,0.000000,0.143686,0.074691,0.140800,0.134530,0.131639,0.148806,0.134561,0.142075,0.130120,0.141762,0.137685,0.134011,0.146919,0.074112,0.132391,0.128680,0.134091,0.143564,0.139324,0.019426,0.151091,0.144063,0.134699,0.131681,0.135912,0.141073,0.016863,0.138693,0.147621,0.133453,0.131200,0.143168,0.143422,0.140063,0.128294,0.134229,0.146243,0.074382,0.133077,0.137355,0.134566,0.133041,0.017556,0.126556,0.144273,0.143769,0.142637,0.146376,0.143009,0.132337,0.148923,0.140885,0.142645,0.075456
