chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.001913	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.002640	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.000044	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.001157	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.000187	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.000871	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.001702	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.000520	False
chr09	HAP1_chr09	HAP2_chr09	HAP1	HAP2	0.000183	False
chr10	HAP1_chr10	HAP2_chr10	HAP1	HAP2	0.000151	False
chr11	HAP1_chr11	HAP2_chr11	HAP1	HAP2	0.000107	False
chr12	HAP1_chr12	HAP2_chr12	HAP1	HAP2	0.000066	False
chr13	HAP1_chr13	HAP2_chr13	HAP1	HAP2	0.000531	False
chr14	HAP1_chr14	HAP2_chr14	HAP1	HAP2	0.000048	False
chr15	HAP1_chr15	HAP2_chr15	HAP1	HAP2	0.000123	False
chr16	HAP1_chr16	HAP2_chr16	HAP1	HAP2	0.000416	False
chr17	HAP1_chr17	HAP2_chr17	HAP1	HAP2	0.000010	False
chr18	HAP1_chr18	HAP2_chr18	HAP1	HAP2	0.000428	False
