unit_a	unit_b	k_sweep	chosen_k	kmers_a	kmers_b	shared	union	jaccard_at_chosen_k	containment_at_chosen_k	distance	containment_p	resolution_limited	k_consistency_spread
HAP1_chr01	HAP1_chr02	11,13,15,17,19,23	23	36743578	36377291	3550292	69570577	0.051032	0.097596	0.101389	0.096221	False	0.110411
HAP1_chr01	HAP1_chr03	11,13,15,17,19,23	23	36743578	30115513	3237261	63621830	0.050883	0.107495	0.101509	0.092417	False	0.109974
HAP1_chr01	HAP1_chr04	11,13,15,17,19,23	23	36743578	30263936	3150913	63856601	0.049344	0.104114	0.102781	0.093677	False	0.111584
HAP1_chr01	HAP1_chr05	11,13,15,17,19,23	23	36743578	28659994	3091318	62312254	0.049610	0.107862	0.102558	0.092282	False	0.111065
HAP1_chr01	HAP1_chr06	11,13,15,17,19,23	23	36743578	26614912	2907720	60450770	0.048101	0.109252	0.103839	0.091777	False	0.112200
HAP1_chr01	HAP1_chr07	11,13,15,17,19,23	23	36743578	25019221	3057194	58705605	0.052077	0.122194	0.100550	0.087345	False	0.109686
HAP1_chr01	HAP1_chr08	11,13,15,17,19,23	23	36743578	25429038	2972905	59199711	0.050218	0.116910	0.102053	0.089098	False	0.110139
HAP1_chr01	HAP1_chr09	11,13,15,17,19,23	23	36743578	23889433	2832294	57800717	0.049001	0.118558	0.103070	0.088543	False	0.111081
HAP1_chr01	HAP1_chr10	11,13,15,17,19,23	23	36743578	24287576	2924140	58107014	0.050323	0.120397	0.101967	0.087933	False	0.110065
HAP1_chr01	HAP1_chr11	11,13,15,17,19,23	23	36743578	23168413	2858225	57053766	0.050097	0.123367	0.102153	0.086966	False	0.110680
HAP1_chr01	HAP1_chr12	11,13,15,17,19,23	23	36743578	23326601	2789317	57280862	0.048695	0.119577	0.103329	0.088204	False	0.111663
HAP1_chr01	HAP1_chr13	11,13,15,17,19,23	23	36743578	22146883	2691885	56198576	0.047900	0.121547	0.104013	0.087556	False	0.113203
HAP1_chr01	HAP1_chr14	11,13,15,17,19,23	23	36743578	21883884	2671785	55955677	0.047748	0.122089	0.104144	0.087379	False	0.112371
HAP1_chr01	HAP1_chr15	11,13,15,17,19,23	23	36743578	21750413	2648238	55845753	0.047421	0.121756	0.104430	0.087488	False	0.112440
