group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr15	1	250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	15	15	236970	196099	105668	327401	0.677252
chr15	1	250000	HAP1_chr15	HAP3_chr15	HAP1	HAP3	15	15	236970	223014	115105	344879	0.666245
chr15	1	250000	HAP1_chr15	HAP4_chr15	HAP1	HAP4	15	15	236970	194393	103424	327939	0.684624
chr15	1	250000	HAP2_chr15	HAP3_chr15	HAP2	HAP3	15	15	196099	223014	175038	244075	0.282852
chr15	1	250000	HAP2_chr15	HAP4_chr15	HAP2	HAP4	15	15	196099	194393	188716	201776	0.064725
chr15	1	250000	HAP3_chr15	HAP4_chr15	HAP3	HAP4	15	15	223014	194393	172520	244887	0.295512
chr15	250001	500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	15	15	241107	234224	58453	416878	0.859784
chr15	250001	500000	HAP1_chr15	HAP3_chr15	HAP1	HAP3	15	15	241107	237023	66911	411219	0.837286
chr15	250001	500000	HAP1_chr15	HAP4_chr15	HAP1	HAP4	15	15	241107	236228	58579	418756	0.860112
chr15	250001	500000	HAP2_chr15	HAP3_chr15	HAP2	HAP3	15	15	234224	237023	169176	302071	0.439946
chr15	250001	500000	HAP2_chr15	HAP4_chr15	HAP2	HAP4	15	15	234224	236228	186124	284328	0.345390
chr15	250001	500000	HAP3_chr15	HAP4_chr15	HAP3	HAP4	15	15	237023	236228	175385	297866	0.411195
chr15	500001	750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	15	15	244429	240904	43393	441940	0.901812
chr15	500001	750000	HAP1_chr15	HAP3_chr15	HAP1	HAP3	15	15	244429	237225	29316	452338	0.935190
chr15	500001	750000	HAP1_chr15	HAP4_chr15	HAP1	HAP4	15	15	244429	239464	64554	419339	0.846058
chr15	500001	750000	HAP2_chr15	HAP3_chr15	HAP2	HAP3	15	15	240904	237225	104920	373209	0.718871
chr15	500001	750000	HAP2_chr15	HAP4_chr15	HAP2	HAP4	15	15	240904	239464	163093	317275	0.485957
chr15	500001	750000	HAP3_chr15	HAP4_chr15	HAP3	HAP4	15	15	237225	239464	108390	368299	0.705701
chr15	750001	1000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	15	15	236416	242560	41358	437618	0.905493
chr15	750001	1000000	HAP1_chr15	HAP3_chr15	HAP1	HAP3	15	15	236416	242692	19177	459931	0.958305
chr15	750001	1000000	HAP1_chr15	HAP4_chr15	HAP1	HAP4	15	15	236416	245296	104681	377031	0.722354
chr15	750001	1000000	HAP2_chr15	HAP3_chr15	HAP2	HAP3	15	15	242560	242692	116934	368318	0.682519
chr15	750001	1000000	HAP2_chr15	HAP4_chr15	HAP2	HAP4	15	15	242560	245296	133144	354712	0.624642
chr15	750001	1000000	HAP3_chr15	HAP4_chr15	HAP3	HAP4	15	15	242692	245296	129421	358567	0.639060
chr15	1000001	1250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	15	15	241598	222468	20652	443414	0.953425
chr15	1000001	1250000	HAP1_chr15	HAP3_chr15	HAP1	HAP3	15	15	241598	227079	10472	458205	0.977146
chr15	1000001	1250000	HAP1_chr15	HAP4_chr15	HAP1	HAP4	15	15	241598	235941	103625	373914	0.722864
chr15	1000001	1250000	HAP2_chr15	HAP3_chr15	HAP2	HAP3	15	15	222468	227079	121588	327959	0.629259
chr15	1000001	1250000	HAP2_chr15	HAP4_chr15	HAP2	HAP4	15	15	222468	235941	119205	339204	0.648574
chr15	1000001	1250000	HAP3_chr15	HAP4_chr15	HAP3	HAP4	15	15	227079	235941	109995	353025	0.688421
chr15	1250001	1500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	15	15	238400	242905	31057	450248	0.931022
chr15	1250001	1500000	HAP1_chr15	HAP3_chr15	HAP1	HAP3	15	15	238400	228423	18004	448819	0.959886
chr15	1250001	1500000	HAP1_chr15	HAP4_chr15	HAP1	HAP4	15	15	238400	228212	76765	389847	0.803089
chr15	1250001	1500000	HAP2_chr15	HAP3_chr15	HAP2	HAP3	15	15	242905	228423	162067	309261	0.475954
chr15	1250001	1500000	HAP2_chr15	HAP4_chr15	HAP2	HAP4	15	15	242905	228212	119250	351867	0.661094
