unit_a	unit_b	chrom	n_markers_a	n_markers_b	n_highcopy_a	n_highcopy_b	te_marker_fraction	windowed_distance_cv
HAP1_chr01	HAP2_chr01	chr01	6099	3305	164599	161809	0.028811	0.164208
HAP1_chr02	HAP2_chr02	chr02	1816	4743	153513	156415	0.021163	0.263751
HAP1_chr03	HAP2_chr03	chr03	6225	1727	148673	144177	0.027154	0.039827
HAP1_chr04	HAP2_chr04	chr04	1355	8099	153651	160403	0.030103	0.221304
HAP1_chr05	HAP2_chr05	chr05	5668	1105	153795	149750	0.022313	0.241143
HAP1_chr06	HAP2_chr06	chr06	3403	5610	147897	150348	0.030220	0.282186
HAP1_chr07	HAP2_chr07	chr07	4122	2655	154207	152255	0.022114	0.274864
HAP1_chr08	HAP2_chr08	chr08	3370	2580	151580	150790	0.019678	0.352708
HAP1_chr09	HAP2_chr09	chr09	1480	3361	144599	146463	0.016632	0.147894
HAP1_chr10	HAP2_chr10	chr10	4032	3132	146682	145979	0.024479	0.314267
HAP1_chr11	HAP2_chr11	chr11	2742	1974	138373	137603	0.017088	0.217096
HAP1_chr12	HAP2_chr12	chr12	2742	1730	135767	135312	0.016497	0.200723
HAP1_chr13	HAP2_chr13	chr13	4480	2408	125869	123714	0.027598	0.212059
HAP1_chr14	HAP2_chr14	chr14	2574	4211	128370	129988	0.026262	0.210252
HAP1_chr15	HAP2_chr15	chr15	5330	2720	135013	132403	0.030103	0.343243
HAP1_chr16	HAP2_chr16	chr16	4396	2871	124504	123194	0.029338	0.290306
HAP1_chr17	HAP2_chr17	chr17	2915	2264	124047	123404	0.020929	0.387663
HAP1_chr18	HAP2_chr18	chr18	1869	2285	116632	117048	0.017776	0.506813
HAP1_chr19	HAP2_chr19	chr19	1842	2652	120552	121363	0.018577	0.333640
HAP1_chr20	HAP2_chr20	chr20	1840	4652	110952	113762	0.028890	0.258328
HAP1_chr21	HAP2_chr21	chr21	17925	1189	132392	115808	0.077010	0.290560
HAP1_chr22	HAP2_chr22	chr22	8469	1951	122515	115587	0.043763	0.331869
HAP1_chr23	HAP2_chr23	chr23	1047	5836	112944	117733	0.029838	0.026926
HAP1_chr24	HAP2_chr24	chr24	14905	221	114351	100567	0.070380	0.273315
HAP1_chr25	HAP2_chr25	chr25	2122	1908	101517	101303	0.019870	0.219438
HAP1_chr26	HAP2_chr26	chr26	3297	2466	106533	105763	0.027146	0.445934
HAP1_chr27	HAP2_chr27	chr27	2556	1633	94370	93454	0.022303	0.037605
HAP1_chr28	HAP2_chr28	chr28	4915	3954	101120	100303	0.044032	0.028834
HAP1_chr29	HAP2_chr29	chr29	1215	2617	103341	104743	0.018416	0.046844
HAP1_chr30	HAP2_chr30	chr30	2492	2196	93579	93275	0.025089	0.509752
HAP1_chr31	HAP2_chr31	chr31	1583	2137	91259	91813	0.020320	0.382309
HAP1_chr32	HAP2_chr32	chr32	3386	3934	87874	88429	0.041519	0.353334
HAP1_chr33	HAP2_chr33	chr33	3004	1335	77986	76317	0.028120	0.140399
HAP1_chr34	HAP2_chr34	chr34	986	1068	70307	70389	0.014599	0.047299
