chrom	win_start	win_end	unit_a	unit_b	hap_a	hap_b	kmers_a	kmers_b	shared	union	jaccard_distance
2	1	250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	206183	239625	156189	289619	0.460709
2	1	250000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	206183	234412	165550	275045	0.398098
2	1	250000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	206183	222787	163450	265520	0.384415
2	1	250000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	239625	234412	177936	296101	0.399070
2	1	250000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	239625	222787	168173	294239	0.428448
2	1	250000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	234412	222787	171581	285618	0.399264
2	250001	500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	222680	230367	76784	376263	0.795930
2	250001	500000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	222680	190556	143359	269877	0.468799
2	250001	500000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	222680	239657	75195	387142	0.805769
2	250001	500000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	230367	190556	81996	338927	0.758072
2	250001	500000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	230367	239657	145396	324628	0.552115
2	250001	500000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	190556	239657	70798	359415	0.803019
2	500001	750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	235263	217746	62503	390506	0.839944
2	500001	750000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	235263	220791	143951	312103	0.538771
2	500001	750000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	235263	203926	69254	369935	0.812794
2	500001	750000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	217746	220791	64797	373740	0.826625
2	500001	750000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	217746	203926	99124	322548	0.692684
2	500001	750000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	220791	203926	66480	358237	0.814425
2	750001	1000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	178377	197801	3123	373055	0.991629
2	750001	1000000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	178377	185657	143644	220390	0.348228
2	750001	1000000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	178377	202280	30099	350558	0.914140
2	750001	1000000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	197801	185657	3325	380133	0.991253
2	750001	1000000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	197801	202280	99644	300437	0.668336
2	750001	1000000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	185657	202280	30070	357867	0.915974
2	1000001	1250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	212113	241293	3131	450275	0.993046
2	1000001	1250000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	212113	199932	97344	314701	0.690678
2	1000001	1250000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	212113	222800	26812	408101	0.934301
2	1000001	1250000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	241293	199932	2980	438245	0.993200
2	1000001	1250000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	241293	222800	77601	386492	0.799217
2	1000001	1250000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	199932	222800	3332	419400	0.992055
2	1250001	1500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	232640	239640	4758	467522	0.989823
2	1250001	1500000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	232640	161164	905	392899	0.997697
2	1250001	1500000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	232640	225534	21107	437067	0.951708
2	1250001	1500000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	239640	161164	1048	399756	0.997378
2	1250001	1500000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	239640	225534	63646	401528	0.841491
2	1250001	1500000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	161164	225534	1239	385459	0.996786
2	1500001	1750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	238246	209059	3864	443441	0.991286
2	1500001	1750000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	238246	189367	5209	422404	0.987668
2	1500001	1750000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	238246	240108	38623	439731	0.912167
2	1500001	1750000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	209059	189367	4599	393827	0.988322
2	1500001	1750000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	209059	240108	40118	409049	0.901924
2	1500001	1750000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	189367	240108	4194	425281	0.990138
2	1750001	2000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	230538	210848	8575	432811	0.980188
2	1750001	2000000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	230538	238894	4521	464911	0.990276
2	1750001	2000000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	230538	227833	49246	409125	0.879631
2	1750001	2000000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	210848	238894	2134	447608	0.995232
2	1750001	2000000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	210848	227833	5952	432729	0.986245
2	1750001	2000000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	238894	227833	3621	463106	0.992181
2	2000001	2250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	238050	188365	2348	424067	0.994463
2	2000001	2250000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	238050	240010	4805	473255	0.989847
2	2000001	2250000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	238050	238140	39702	436488	0.909042
2	2000001	2250000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	188365	240010	3003	425372	0.992940
2	2000001	2250000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	188365	238140	2777	423728	0.993446
2	2000001	2250000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	240010	238140	5222	472928	0.988958
2	2250001	2500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	240009	214150	4425	449734	0.990161
2	2250001	2500000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	240009	237349	103884	373474	0.721844
2	2250001	2500000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	240009	236190	39105	437094	0.910534
2	2250001	2500000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	214150	237349	48316	403183	0.880164
2	2250001	2500000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	214150	236190	3109	447231	0.993048
2	2250001	2500000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	237349	236190	25011	448528	0.944238
2	2500001	2750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	240831	235153	4183	471801	0.991134
2	2500001	2750000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	240831	241160	4806	477185	0.989928
2	2500001	2750000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	240831	233417	45018	429230	0.895119
2	2500001	2750000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	235153	241160	120626	355687	0.660865
2	2500001	2750000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	235153	233417	4788	463782	0.989676
2	2500001	2750000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	241160	233417	3233	471344	0.993141
2	2750001	3000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	225855	234032	3230	456657	0.992927
2	2750001	3000000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	225855	240173	3118	462910	0.993264
2	2750001	3000000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	225855	229811	30012	425654	0.929492
2	2750001	3000000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	234032	240173	35897	438308	0.918101
2	2750001	3000000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	234032	229811	4871	458972	0.989387
2	2750001	3000000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	240173	229811	5843	464141	0.987411
2	3000001	3250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	240195	231342	5249	466288	0.988743
2	3000001	3250000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	240195	234078	6797	467476	0.985460
2	3000001	3250000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	240195	239241	16676	462760	0.963964
2	3000001	3250000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	231342	234078	25774	439646	0.941376
2	3000001	3250000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	231342	239241	4364	466219	0.990640
2	3000001	3250000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	234078	239241	3750	469569	0.992014
2	3250001	3500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	233827	240606	4712	469721	0.989969
2	3250001	3500000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	233827	238750	5557	467020	0.988101
2	3250001	3500000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	233827	239117	26385	446559	0.940915
2	3250001	3500000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	240606	238750	30931	448425	0.931023
2	3250001	3500000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	240606	239117	4754	474969	0.989991
2	3250001	3500000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	238750	239117	7602	470265	0.983835
2	3500001	3750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	236121	238611	5245	469487	0.988828
2	3500001	3750000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	236121	239392	4260	471253	0.990960
2	3500001	3750000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	236121	234777	41424	429474	0.903547
2	3500001	3750000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	238611	239392	74663	403340	0.814888
2	3500001	3750000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	238611	234777	3746	469642	0.992024
2	3500001	3750000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	239392	234777	4139	470030	0.991194
2	3750001	4000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	242983	238482	3189	478276	0.993332
2	3750001	4000000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	242983	238066	4247	476802	0.991093
2	3750001	4000000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	242983	240993	33702	450274	0.925152
2	3750001	4000000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	238482	238066	49071	427477	0.885208
2	3750001	4000000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	238482	240993	4791	474684	0.989907
2	3750001	4000000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	238066	240993	5302	473757	0.988809
2	4000001	4250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	238717	240115	6025	472807	0.987257
2	4000001	4250000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	238717	230789	4984	464522	0.989271
2	4000001	4250000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	238717	239139	28685	449171	0.936138
2	4000001	4250000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	240115	230789	71527	399377	0.820904
2	4000001	4250000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	240115	239139	4338	474916	0.990866
2	4000001	4250000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	230789	239139	3048	466880	0.993472
2	4250001	4500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	238794	242981	2933	478842	0.993875
2	4250001	4500000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	238794	234886	4143	469537	0.991176
2	4250001	4500000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	238794	239925	26938	451781	0.940374
2	4250001	4500000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	242981	234886	85371	392496	0.782492
2	4250001	4500000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	242981	239925	5196	477710	0.989123
2	4250001	4500000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	234886	239925	6599	468212	0.985906
2	4500001	4750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	235327	239657	4973	470011	0.989419
2	4500001	4750000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	235327	239723	4836	470214	0.989715
2	4500001	4750000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	235327	236073	11675	459725	0.974604
2	4500001	4750000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	239657	239723	81551	397829	0.795010
2	4500001	4750000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	239657	236073	3574	472156	0.992430
2	4500001	4750000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	239723	236073	3210	472586	0.993208
2	4750001	5000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	241556	209506	2881	448181	0.993572
2	4750001	5000000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	241556	240067	5755	475868	0.987906
2	4750001	5000000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	241556	225867	31631	435792	0.927417
2	4750001	5000000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	209506	240067	29505	420068	0.929761
2	4750001	5000000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	209506	225867	3144	432229	0.992726
2	4750001	5000000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	240067	225867	4821	461113	0.989545
2	5000001	5250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	231541	238791	4254	466078	0.990873
2	5000001	5250000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	231541	196791	4436	423896	0.989535
2	5000001	5250000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	231541	239992	34386	437147	0.921340
2	5000001	5250000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	238791	196791	30983	404599	0.923423
2	5000001	5250000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	238791	239992	5869	472914	0.987590
2	5000001	5250000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	196791	239992	3580	433203	0.991736
2	5250001	5500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	234574	230251	4262	460563	0.990746
2	5250001	5500000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	234574	224545	4544	454575	0.990004
2	5250001	5500000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	234574	233289	28602	439261	0.934886
2	5250001	5500000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	230251	224545	55399	399397	0.861293
2	5250001	5500000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	230251	233289	4331	459209	0.990569
2	5250001	5500000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	224545	233289	3713	454121	0.991824
2	5500001	5750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	236818	229997	4439	462376	0.990400
2	5500001	5750000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	236818	234271	5334	465755	0.988548
2	5500001	5750000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	236818	234983	27064	444737	0.939146
2	5500001	5750000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	229997	234271	36958	427310	0.913510
2	5500001	5750000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	229997	234983	5064	459916	0.988989
2	5500001	5750000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	234271	234983	7336	461918	0.984118
2	5750001	6000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	238713	238709	5415	472007	0.988528
2	5750001	6000000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	238713	234908	8167	465454	0.982454
2	5750001	6000000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	238713	239686	29750	448649	0.933690
2	5750001	6000000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	238709	234908	35000	438617	0.920204
2	5750001	6000000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	238709	239686	4836	473559	0.989788
2	5750001	6000000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	234908	239686	5070	469524	0.989202
2	6000001	6250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	239036	238507	3849	473694	0.991875
2	6000001	6250000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	239036	235147	6025	468158	0.987130
2	6000001	6250000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	239036	232455	2998	468493	0.993601
2	6000001	6250000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	238507	235147	20068	453586	0.955757
2	6000001	6250000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	238507	232455	3204	467758	0.993150
2	6000001	6250000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	235147	232455	2113	465489	0.995461
2	6250001	6500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	238414	240329	4482	474261	0.990550
2	6250001	6500000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	238414	240597	35763	443248	0.919316
2	6250001	6500000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	238414	237379	2817	472976	0.994044
2	6250001	6500000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	240329	240597	67895	413031	0.835618
2	6250001	6500000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	240329	237379	4430	473278	0.990640
2	6250001	6500000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	240597	237379	3744	474232	0.992105
2	6500001	6750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	234813	234347	4379	464781	0.990578
2	6500001	6750000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	234813	237239	43380	428672	0.898804
2	6500001	6750000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	234813	223139	18998	438954	0.956720
2	6500001	6750000	HAP2_chr02	HAP3_chr02	HAP2	HAP3	234347	237239	50952	420634	0.878869
2	6500001	6750000	HAP2_chr02	HAP4_chr02	HAP2	HAP4	234347	223139	2535	454951	0.994428
2	6500001	6750000	HAP3_chr02	HAP4_chr02	HAP3	HAP4	237239	223139	2286	458092	0.995010
2	6750001	7000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	242335	239688	2911	479112	0.993924
2	6750001	7000000	HAP1_chr02	HAP3_chr02	HAP1	HAP3	242335	225718	8739	459314	0.980974
2	6750001	7000000	HAP1_chr02	HAP4_chr02	HAP1	HAP4	242335	236446	70850	407931	0.826319
