group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr04	1	250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	9134	4310	529	12915	0.959040
chr04	250001	500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	8602	10547	2114	17035	0.875903
chr04	500001	750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	27282	10032	106	37208	0.997151
chr04	750001	1000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	26643	173488	238	199893	0.998809
chr04	1000001	1250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	3907	246564	2	250469	0.999992
chr04	1250001	1500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	12195	244649	16	256828	0.999938
chr04	1500001	1750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	11044	231497	24	242517	0.999901
chr04	1750001	2000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	11592	124510	16	136086	0.999882
chr04	2000001	2250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	18393	238808	38	257163	0.999852
chr04	2250001	2500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	164768	241538	1852	404454	0.995421
chr04	2500001	2750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	245786	219767	1331	464222	0.997133
chr04	2750001	3000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	246260	242327	1833	486754	0.996234
chr04	3000001	3250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	223398	245818	5079	464137	0.989057
chr04	3250001	3500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	209960	213542	2129	421373	0.994947
chr04	3500001	3750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	245020	240733	1837	483916	0.996204
chr04	3750001	4000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	239605	231661	2329	468937	0.995033
chr04	4000001	4250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	243304	219800	7111	455993	0.984405
chr04	4250001	4500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	239311	238969	6207	472073	0.986852
chr04	4500001	4750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	247311	175716	1734	421293	0.995884
chr04	4750001	5000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	236914	229596	6087	460423	0.986780
chr04	5000001	5250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	222774	235411	5910	452275	0.986933
chr04	5250001	5500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	238073	239530	11603	466000	0.975101
chr04	5500001	5750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	235117	159405	3462	391060	0.991147
chr04	5750001	6000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	177452	236985	6651	407786	0.983690
chr04	6000001	6250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	224628	236807	4157	457278	0.990909
chr04	6250001	6500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	239229	235467	9581	465115	0.979401
chr04	6500001	6750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	235669	233100	2768	466001	0.994060
