chrom_a	chrom_b	distance	z_score	p_value	q_value	accepted
chr03	chr04	0.090090	-9.915	0	0	True
chr11	chr12	0.090467	-9.824	0	0	True
chr06	chr07	0.090542	-9.806	0	0	True
chr13	chr20	0.093062	-9.197	0	0	True
chr08	chr14	0.093142	-9.177	0	0	True
chr15	chr16	0.095619	-8.578	0	0	True
chr02	chr10	0.099540	-7.630	1.17684e-14	5.46388e-13	True
chr18	chr26	0.101260	-7.214	2.72227e-13	1.10592e-11	True
chr01	chr22	0.102269	-6.970	1.5889e-12	5.73768e-11	True
chr05	chr09	0.102610	-6.887	2.84228e-12	9.23742e-11	True
chr01	chr24	0.104848	-6.346	1.10435e-10	3.26286e-09	False
chr19	chr25	0.109402	-5.245	7.83204e-08	2.12118e-06	True
chr10	chr17	0.110516	-4.975	3.26075e-07	8.15187e-06	False
chr05	chr21	0.113340	-4.292	8.84415e-06	0.000205311	False
chr09	chr19	0.115316	-3.814	6.82899e-05	0.00147962	False
chr17	chr23	0.116889	-3.434	0.000297468	0.00604231	True
chr02	chr23	0.119224	-2.869	0.00205759	0.0393363	False
chr02	chr21	0.121316	-2.363	0.00905633	0.163517	False
chr09	chr16	0.123767	-1.771	0.0383191	0.655458	False
chr06	chr10	0.124052	-1.702	0.0444145	0.721736	False
chr06	chr09	0.124297	-1.642	0.0502646	0.73987	False
chr10	chr12	0.124586	-1.572	0.057929	0.73987	False
chr06	chr12	0.124663	-1.554	0.060126	0.73987	False
chr08	chr12	0.125278	-1.405	0.0800047	0.73987	False
chr12	chr16	0.125355	-1.386	0.0828097	0.73987	False
chr06	chr11	0.125403	-1.375	0.0845766	0.73987	False
chr05	chr06	0.125460	-1.361	0.0867341	0.73987	False
chr08	chr16	0.125476	-1.357	0.0873854	0.73987	False
chr09	chr12	0.125538	-1.342	0.0897722	0.73987	False
chr06	chr08	0.125564	-1.336	0.0907859	0.73987	False
chr06	chr16	0.125585	-1.331	0.0916486	0.73987	False
chr04	chr06	0.125587	-1.330	0.0916984	0.73987	False
chr02	chr06	0.125603	-1.327	0.0923272	0.73987	False
chr07	chr10	0.125631	-1.320	0.0934832	0.73987	False
chr08	chr10	0.125715	-1.299	0.0969013	0.73987	False
chr09	chr10	0.125821	-1.274	0.101371	0.73987	False
chr08	chr15	0.125832	-1.271	0.101865	0.73987	False
chr08	chr09	0.125872	-1.261	0.103586	0.73987	False
chr05	chr10	0.125939	-1.245	0.106511	0.73987	False
chr09	chr14	0.126016	-1.227	0.109984	0.73987	False
chr10	chr15	0.126047	-1.219	0.111411	0.73987	False
chr10	chr16	0.126074	-1.213	0.112655	0.73987	False
chr04	chr10	0.126113	-1.203	0.114458	0.73987	False
chr06	chr15	0.126148	-1.195	0.116104	0.73987	False
chr09	chr13	0.126165	-1.190	0.116933	0.73987	False
chr01	chr09	0.126246	-1.171	0.120801	0.73987	False
chr06	chr14	0.126255	-1.169	0.121276	0.73987	False
chr12	chr15	0.126297	-1.159	0.123298	0.73987	False
chr07	chr12	0.126313	-1.155	0.124114	0.73987	False
chr07	chr09	0.126410	-1.131	0.128959	0.73987	False
chr10	chr14	0.126421	-1.129	0.129545	0.73987	False
chr09	chr22	0.126515	-1.106	0.134378	0.73987	False
chr03	chr06	0.126531	-1.102	0.135257	0.73987	False
chr09	chr15	0.126754	-1.048	0.147289	0.73987	False
chr10	chr11	0.126787	-1.040	0.149163	0.73987	False
chr04	chr07	0.126799	-1.037	0.14981	0.73987	False
chr12	chr19	0.126804	-1.036	0.150078	0.73987	False
chr04	chr12	0.126820	-1.032	0.150997	0.73987	False
chr15	chr19	0.126874	-1.019	0.154104	0.73987	False
chr13	chr22	0.126888	-1.016	0.154909	0.73987	False
chr05	chr14	0.126891	-1.015	0.155082	0.73987	False
chr05	chr15	0.127005	-0.987	0.161717	0.73987	False
chr11	chr16	0.127046	-0.978	0.164143	0.73987	False
chr11	chr14	0.127102	-0.964	0.167516	0.73987	False
chr09	chr11	0.127154	-0.951	0.170703	0.73987	False
chr07	chr11	0.127209	-0.938	0.174115	0.73987	False
chr22	chr25	0.127272	-0.923	0.178026	0.73987	False
chr13	chr21	0.127294	-0.918	0.179432	0.73987	False
chr11	chr15	0.127299	-0.916	0.179765	0.73987	False
chr12	chr14	0.127325	-0.910	0.18145	0.73987	False
chr13	chr19	0.127340	-0.906	0.18236	0.73987	False
chr14	chr15	0.127349	-0.904	0.182969	0.73987	False
chr01	chr06	0.127350	-0.904	0.182985	0.73987	False
chr07	chr14	0.127385	-0.896	0.185254	0.73987	False
chr16	chr22	0.127493	-0.869	0.192363	0.73987	False
chr04	chr05	0.127513	-0.864	0.193671	0.73987	False
chr20	chr22	0.127516	-0.864	0.193837	0.73987	False
chr04	chr15	0.127533	-0.860	0.194986	0.73987	False
chr05	chr12	0.127547	-0.856	0.195887	0.73987	False
chr04	chr11	0.127561	-0.853	0.196841	0.73987	False
chr05	chr07	0.127562	-0.853	0.196925	0.73987	False
chr03	chr12	0.127568	-0.851	0.197328	0.73987	False
chr02	chr12	0.127573	-0.850	0.19763	0.73987	False
chr13	chr17	0.127658	-0.829	0.203411	0.73987	False
chr07	chr16	0.127668	-0.827	0.204096	0.73987	False
chr02	chr04	0.127694	-0.821	0.205882	0.73987	False
chr14	chr19	0.127732	-0.811	0.208545	0.73987	False
chr09	chr20	0.127746	-0.808	0.209466	0.73987	False
chr10	chr19	0.127762	-0.804	0.210581	0.73987	False
chr04	chr16	0.127803	-0.794	0.21349	0.73987	False
chr14	chr16	0.127807	-0.793	0.213807	0.73987	False
chr06	chr19	0.127812	-0.792	0.214124	0.73987	False
chr07	chr08	0.127850	-0.783	0.216795	0.73987	False
chr03	chr09	0.127861	-0.780	0.217612	0.73987	False
chr02	chr11	0.127881	-0.775	0.219038	0.73987	False
chr02	chr07	0.127909	-0.769	0.22099	0.73987	False
chr19	chr26	0.127945	-0.760	0.223583	0.73987	False
chr07	chr15	0.127954	-0.758	0.224252	0.73987	False
chr05	chr11	0.127969	-0.754	0.225376	0.73987	False
chr03	chr10	0.128072	-0.729	0.232887	0.754812	False
chr17	chr22	0.128095	-0.724	0.234572	0.754812	False
chr01	chr16	0.128153	-0.710	0.238957	0.75885	False
chr02	chr05	0.128174	-0.705	0.240497	0.75885	False
chr03	chr05	0.128206	-0.697	0.24295	0.759219	False
chr16	chr19	0.128257	-0.685	0.246788	0.763787	False
chr02	chr09	0.128288	-0.677	0.24916	0.763787	False
chr04	chr08	0.128329	-0.667	0.252355	0.763787	False
chr04	chr09	0.128434	-0.642	0.260533	0.763787	False
chr08	chr11	0.128449	-0.638	0.261673	0.763787	False
chr05	chr25	0.128500	-0.626	0.265762	0.763787	False
chr01	chr13	0.128513	-0.623	0.266775	0.763787	False
chr19	chr21	0.128564	-0.610	0.270844	0.763787	False
chr01	chr14	0.128570	-0.609	0.271285	0.763787	False
chr08	chr20	0.128581	-0.606	0.272187	0.763787	False
chr09	chr17	0.128603	-0.601	0.273956	0.763787	False
chr17	chr19	0.128612	-0.599	0.274682	0.763787	False
chr19	chr20	0.128650	-0.590	0.277755	0.763787	False
chr11	chr19	0.128667	-0.585	0.279155	0.763787	False
chr02	chr08	0.128673	-0.584	0.279664	0.763787	False
chr04	chr14	0.128725	-0.572	0.283828	0.768701	False
chr03	chr16	0.128775	-0.559	0.287981	0.768772	False
chr08	chr19	0.128804	-0.552	0.29042	0.768772	False
chr05	chr16	0.128832	-0.546	0.292681	0.768772	False
chr01	chr15	0.128863	-0.538	0.295327	0.768772	False
chr05	chr08	0.128868	-0.537	0.295682	0.768772	False
chr01	chr10	0.128930	-0.522	0.300924	0.773585	False
chr01	chr08	0.128946	-0.518	0.302293	0.773585	False
chr05	chr19	0.129134	-0.473	0.318253	0.80352	False
chr01	chr19	0.129147	-0.469	0.319397	0.80352	False
chr01	chr12	0.129218	-0.452	0.325601	0.80352	False
chr16	chr20	0.129228	-0.450	0.326451	0.80352	False
chr03	chr08	0.129284	-0.436	0.331371	0.80352	False
