group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr02	1	250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	216456	216456	216456	216456	0.000000
chr02	250001	500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	219540	219549	219540	219549	0.000041
chr02	500001	750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	204004	204005	204004	204005	0.000005
chr02	750001	1000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	232317	232316	232316	232317	0.000004
chr02	1000001	1250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	208700	208700	208699	208701	0.000010
chr02	1250001	1500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	227801	227801	227800	227802	0.000009
chr02	1500001	1750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	215715	215715	215714	215716	0.000009
chr02	1750001	2000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	229710	229710	229709	229711	0.000009
chr02	2000001	2250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	197166	197166	197165	197167	0.000010
chr02	2250001	2500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	223485	223485	223484	223486	0.000009
chr02	2500001	2750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	209617	209619	209617	209619	0.000010
chr02	2750001	3000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	239549	239549	239549	239549	0.000000
chr02	3000001	3250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	226202	226204	226202	226204	0.000009
chr02	3250001	3500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	215271	215271	215269	215273	0.000019
chr02	3500001	3750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	208874	170828	158627	221075	0.282474
chr02	3750001	4000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	230653	226328	176716	280265	0.369468
chr02	4000001	4250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	211480	219079	164286	266273	0.383017
chr02	4250001	4500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	232092	218096	181501	268687	0.324489
chr02	4500001	4750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	216632	216984	165579	268037	0.382253
chr02	4750001	5000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	172161	229880	171294	230747	0.257654
chr02	5000001	5250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	163359	145190	142155	166394	0.145672
chr02	5250001	5500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	170990	187956	151961	206985	0.265836
chr02	5500001	5750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	219661	215537	190712	244486	0.219947
chr02	5750001	6000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	228781	219999	190995	257785	0.259092
chr02	6000001	6250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	154551	171847	154474	171924	0.101498
chr02	6250001	6500000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	70236	83006	69966	83276	0.159830
chr02	6500001	6750000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	156880	119224	118458	157646	0.248582
chr02	6750001	7000000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	201517	210784	173425	238876	0.273996
chr02	7000001	7250000	HAP1_chr02	HAP2_chr02	HAP1	HAP2	2	2	187085	179945	151982	215048	0.293265
