group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr01x02	1	250000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	232681	243330	48564	427447	0.886386
chr01x02	1	250000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	232681	239409	51908	420182	0.876463
chr01x02	1	250000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	243330	228865	45217	426978	0.894100
chr01x02	1	250000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	228865	239409	48582	419692	0.884244
chr01x02	250001	500000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	243113	241584	60961	423736	0.856134
chr01x02	250001	500000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	243113	242994	52883	433224	0.877932
chr01x02	250001	500000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	241584	242217	53576	430225	0.875470
chr01x02	250001	500000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	242217	242994	50569	434642	0.883654
chr01x02	500001	750000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	233639	181973	57542	358070	0.839300
chr01x02	500001	750000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	233639	223487	61616	395510	0.844211
chr01x02	500001	750000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	181973	224557	57342	349188	0.835785
chr01x02	500001	750000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	224557	223487	50292	397752	0.873559
chr01x02	750001	1000000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	244113	223112	45077	422148	0.893220
chr01x02	750001	1000000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	244113	244427	67962	420578	0.838408
chr01x02	750001	1000000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	223112	243742	53010	413844	0.871908
chr01x02	750001	1000000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	243742	244427	56960	431209	0.867906
chr01x02	1000001	1250000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	246044	211008	51502	405550	0.873007
