group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr02x05	1	250000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	207296	215598	57603	365291	0.842309
chr02x05	250001	500000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	226430	191153	20067	397516	0.949519
chr02x05	500001	750000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	235070	221978	4373	452675	0.990340
chr02x05	750001	1000000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	226718	234677	2355	459040	0.994870
chr02x05	1000001	1250000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	223823	224492	3374	444941	0.992417
chr02x05	1250001	1500000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	167769	224891	1936	390724	0.995045
chr02x05	1500001	1750000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	236651	201026	3382	434295	0.992213
chr02x05	1750001	2000000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	237819	192820	1638	429001	0.996182
chr02x05	2000001	2250000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	237843	224110	3052	458901	0.993349
chr02x05	2250001	2500000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	227873	233990	2837	459026	0.993820
chr02x05	2500001	2750000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	230466	229493	4355	455604	0.990441
chr02x05	2750001	3000000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	226130	237363	3117	460376	0.993229
chr02x05	3000001	3250000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	236282	234466	3776	466972	0.991914
chr02x05	3250001	3500000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	221718	203822	6012	419528	0.985670
chr02x05	3500001	3750000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	227735	217782	7810	437707	0.982157
chr02x05	3750001	4000000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	232568	203253	2356	433465	0.994565
chr02x05	4000001	4250000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	233521	199166	2353	430334	0.994532
chr02x05	4250001	4500000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	232603	234282	6899	459986	0.985002
chr02x05	4500001	4750000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	221047	235458	4644	451861	0.989723
chr02x05	4750001	5000000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	240267	221071	3879	457459	0.991521
chr02x05	5000001	5250000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	222863	243237	4098	462002	0.991130
chr02x05	5250001	5500000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	181743	233048	2205	412586	0.994656
chr02x05	5500001	5750000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	226588	238667	5736	459519	0.987517
chr02x05	5750001	6000000	HAP1_chr02	HAP1_chr05	HAP1	HAP1	2	5	209243	239166	5740	442669	0.987033
