group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr06	1	250000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	242971	227548	5381	465138	0.988431
chr06	250001	500000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	238633	225038	5368	458303	0.988287
chr06	500001	750000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	235614	242373	4181	473806	0.991176
chr06	750001	1000000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	233599	232813	6900	459512	0.984984
chr06	1000001	1250000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	223880	232851	6697	450034	0.985119
chr06	1250001	1500000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	235945	224744	5833	454856	0.987176
chr06	1500001	1750000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	239742	227291	9020	458013	0.980306
chr06	1750001	2000000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	217542	240506	4951	453097	0.989073
chr06	2000001	2250000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	233147	231941	4752	460336	0.989677
chr06	2250001	2500000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	242747	224187	5041	461893	0.989086
chr06	2500001	2750000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	240378	230230	3734	466874	0.992002
chr06	2750001	3000000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	213787	240241	11089	442939	0.974965
chr06	3000001	3250000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	221851	236840	12751	445940	0.971406
chr06	3250001	3500000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	233800	232768	10162	456406	0.977735
chr06	3500001	3750000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	243179	220543	8170	455552	0.982066
chr06	3750001	4000000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	240733	235405	10674	465464	0.977068
chr06	4000001	4250000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	230108	243550	6962	466696	0.985082
chr06	4250001	4500000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	231837	236260	7709	460388	0.983255
chr06	4500001	4750000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	228340	228286	7341	449285	0.983661
chr06	4750001	5000000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	238097	231781	8596	461282	0.981365
chr06	5000001	5250000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	237252	228186	9751	455687	0.978602
chr06	5250001	5500000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	223191	238772	7936	454027	0.982521
chr06	5500001	5750000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	244030	236456	5713	474773	0.987967
chr06	5750001	6000000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	227088	233157	7854	452391	0.982639
chr06	6000001	6250000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	225527	240642	8972	457197	0.980376
chr06	6250001	6500000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	217810	230180	5462	442528	0.987657
chr06	6500001	6750000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	226518	221250	12865	434903	0.970419
chr06	6750001	7000000	HAP1_chr06	HAP2_chr06	HAP1	HAP2	6	6	222798	221488	13671	430615	0.968252
