group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr09x18	1	250000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	50627	67893	4403	114117	0.961417
chr09x18	1	250000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	50627	67893	4403	114117	0.961417
chr09x18	1	250000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	67893	50627	4403	114117	0.961417
chr09x18	1	250000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	50627	67893	4403	114117	0.961417
chr09x18	250001	500000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	167505	237524	5167	399862	0.987078
chr09x18	250001	500000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	167505	237524	5167	399862	0.987078
chr09x18	250001	500000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	237524	167505	5167	399862	0.987078
chr09x18	250001	500000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	167505	237524	5167	399862	0.987078
chr09x18	500001	750000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	217070	229106	4788	441388	0.989152
chr09x18	500001	750000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	217070	229106	4788	441388	0.989152
chr09x18	500001	750000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	229106	219330	4810	443626	0.989158
chr09x18	500001	750000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	219330	229106	4810	443626	0.989158
chr09x18	750001	1000000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	203701	237638	4330	437009	0.990092
chr09x18	750001	1000000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	203701	237638	4330	437009	0.990092
chr09x18	750001	1000000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	237638	203495	4343	436790	0.990057
chr09x18	750001	1000000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	203495	237638	4343	436790	0.990057
chr09x18	1000001	1250000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	219280	230092	6622	442750	0.985043
chr09x18	1000001	1250000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	219280	230092	6622	442750	0.985043
chr09x18	1000001	1250000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	230092	219339	6596	442835	0.985105
chr09x18	1000001	1250000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	219339	230092	6596	442835	0.985105
chr09x18	1250001	1500000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	195118	224151	8320	410949	0.979754
chr09x18	1250001	1500000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	195118	224151	8320	410949	0.979754
chr09x18	1250001	1500000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	224151	197342	8322	413171	0.979858
chr09x18	1250001	1500000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	197342	224151	8322	413171	0.979858
chr09x18	1500001	1750000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	216909	222519	5098	434330	0.988262
chr09x18	1500001	1750000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	216909	222519	5098	434330	0.988262
chr09x18	1500001	1750000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	222519	216914	5094	434339	0.988272
chr09x18	1500001	1750000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	216914	222519	5094	434339	0.988272
chr09x18	1750001	2000000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	187774	232864	4271	416367	0.989742
chr09x18	1750001	2000000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	187774	232864	4271	416367	0.989742
chr09x18	1750001	2000000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	232864	191651	4325	420190	0.989707
chr09x18	1750001	2000000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	191651	232864	4325	420190	0.989707
chr09x18	2000001	2250000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	207167	227463	3757	430873	0.991280
chr09x18	2000001	2250000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	207167	227463	3757	430873	0.991280
chr09x18	2000001	2250000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	227463	207792	3760	431495	0.991286
chr09x18	2000001	2250000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	207792	227463	3760	431495	0.991286
chr09x18	2250001	2500000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	179174	226559	3347	402386	0.991682
chr09x18	2250001	2500000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	179174	226559	3347	402386	0.991682
chr09x18	2250001	2500000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	226559	175561	3298	398822	0.991731
chr09x18	2250001	2500000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	175561	226559	3298	398822	0.991731
chr09x18	2500001	2750000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	138521	222871	3353	358039	0.990635
chr09x18	2500001	2750000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	138521	222871	3353	358039	0.990635
chr09x18	2500001	2750000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	222871	143191	2982	363080	0.991787
chr09x18	2500001	2750000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	143191	222871	2982	363080	0.991787
chr09x18	2750001	3000000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	99132	218003	6760	310375	0.978220
chr09x18	2750001	3000000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	99132	218003	6760	310375	0.978220
chr09x18	2750001	3000000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	218003	135490	4399	349094	0.987399
chr09x18	2750001	3000000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	135490	218003	4399	349094	0.987399
chr09x18	3000001	3250000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	75340	216243	807	290776	0.997225
chr09x18	3000001	3250000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	75340	216243	807	290776	0.997225
chr09x18	3000001	3250000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	216243	89658	441	305460	0.998556
chr09x18	3000001	3250000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	89658	216243	441	305460	0.998556
chr09x18	3250001	3500000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	32241	146869	46	179064	0.999743
chr09x18	3250001	3500000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	32241	146869	46	179064	0.999743
chr09x18	3250001	3500000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	146869	148082	7108	287843	0.975306
chr09x18	3250001	3500000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	148082	146869	7108	287843	0.975306
chr09x18	3500001	3750000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	74479	224140	427	298192	0.998568
chr09x18	3500001	3750000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	74479	224140	427	298192	0.998568
chr09x18	3500001	3750000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	224140	217357	8061	433436	0.981402
chr09x18	3500001	3750000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	217357	224140	8061	433436	0.981402
chr09x18	3750001	4000000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	100768	208270	3636	305402	0.988094
chr09x18	3750001	4000000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	100768	208270	3636	305402	0.988094
chr09x18	3750001	4000000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	208270	211678	7721	412227	0.981270
chr09x18	3750001	4000000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	211678	208270	7721	412227	0.981270
chr09x18	4000001	4250000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	130302	216293	9391	337204	0.972150
chr09x18	4000001	4250000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	130302	216295	9391	337206	0.972151
chr09x18	4000001	4250000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	216293	209114	11632	413775	0.971888
chr09x18	4000001	4250000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	209114	216295	11632	413777	0.971888
chr09x18	4250001	4500000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	120308	229568	908	348968	0.997398
chr09x18	4250001	4500000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	120308	229568	908	348968	0.997398
chr09x18	4250001	4500000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	229568	204052	4602	429018	0.989273
chr09x18	4250001	4500000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	204052	229568	4602	429018	0.989273
chr09x18	4500001	4750000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	112364	229123	6632	334855	0.980194
chr09x18	4500001	4750000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	112364	229123	6632	334855	0.980194
chr09x18	4500001	4750000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	229123	210112	7316	431919	0.983062
chr09x18	4500001	4750000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	210112	229123	7316	431919	0.983062
chr09x18	4750001	5000000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	198255	200595	3146	395704	0.992050
chr09x18	4750001	5000000	HAP1_chr09	HAP2_chr18	HAP1	HAP2	9	18	198255	200595	3146	395704	0.992050
chr09x18	4750001	5000000	HAP1_chr18	HAP2_chr09	HAP1	HAP2	18	9	200595	200819	3867	397547	0.990273
chr09x18	4750001	5000000	HAP2_chr09	HAP2_chr18	HAP2	HAP2	9	18	200819	200595	3867	397547	0.990273
chr09x18	5000001	5250000	HAP1_chr09	HAP1_chr18	HAP1	HAP1	9	18	224689	198790	7474	416005	0.982034
