unit_id	hap	chrom	seq_id	length	source	desc
HAP1_chr01	HAP1	1	SUPER_1	235320448	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/llColAutu1/llColAutu1.hap1.1.primary.fa.gz	
HAP1_chr02	HAP1	2	SUPER_2	200135348	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/llColAutu1/llColAutu1.hap1.1.primary.fa.gz	
HAP1_chr03	HAP1	3	SUPER_3	198261516	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/llColAutu1/llColAutu1.hap1.1.primary.fa.gz	
HAP1_chr04	HAP1	4	SUPER_4	177487236	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/llColAutu1/llColAutu1.hap1.1.primary.fa.gz	
HAP1_chr05	HAP1	5	SUPER_5	163038060	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/llColAutu1/llColAutu1.hap1.1.primary.fa.gz	
HAP1_chr06	HAP1	6	SUPER_6	137375591	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/llColAutu1/llColAutu1.hap1.1.primary.fa.gz	
HAP1_chr07	HAP1	7	SUPER_7	126890302	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/llColAutu1/llColAutu1.hap1.1.primary.fa.gz	
HAP1_chr08	HAP1	8	SUPER_8	125339667	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/llColAutu1/llColAutu1.hap1.1.primary.fa.gz	
HAP1_chr09	HAP1	9	SUPER_9	118026835	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/llColAutu1/llColAutu1.hap1.1.primary.fa.gz	
HAP1_chr10	HAP1	10	SUPER_10	117728632	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/llColAutu1/llColAutu1.hap1.1.primary.fa.gz	
HAP1_chr11	HAP1	11	SUPER_11	114241325	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/llColAutu1/llColAutu1.hap1.1.primary.fa.gz	
