group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr24	1	250000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	234798	238757	87544	386011	0.773209
chr24	250001	500000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	236737	233725	94047	376415	0.750151
chr24	500001	750000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	235259	240354	93285	382328	0.756008
chr24	750001	1000000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	231316	239292	52409	418199	0.874679
chr24	1000001	1250000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	235739	238116	71538	402317	0.822185
chr24	1250001	1500000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	241100	239112	70838	409374	0.826960
chr24	1500001	1750000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	220238	207547	52197	375588	0.861026
chr24	1750001	2000000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	231708	236764	73748	394724	0.813166
chr24	2000001	2250000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	202114	211960	43389	370685	0.882949
chr24	2250001	2500000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	231999	234491	45501	420989	0.891919
chr24	2500001	2750000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	234150	236136	49792	420494	0.881587
chr24	2750001	3000000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	237981	236935	25836	449080	0.942469
chr24	3000001	3250000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	237794	235972	27512	446254	0.938349
chr24	3250001	3500000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	237449	234370	22229	449590	0.950557
chr24	3500001	3750000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	234205	229800	21583	442422	0.951216
chr24	3750001	4000000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	236387	233462	41692	428157	0.902625
chr24	4000001	4250000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	232885	74442	33860	273467	0.876183
chr24	4250001	4500000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	57313	222649	18703	261259	0.928412
chr24	4500001	4750000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	238816	237282	36126	439972	0.917890
chr24	4750001	5000000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	237621	240256	40185	437692	0.908189
chr24	5000001	5250000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	236788	230032	37884	428936	0.911679
chr24	5250001	5500000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	230597	241792	37291	435098	0.914293
chr24	5500001	5750000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	239366	235615	37012	437969	0.915492
chr24	5750001	6000000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	236174	239971	40789	435356	0.906309
chr24	6000001	6250000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	241024	97921	39541	299404	0.867934
chr24	6250001	6500000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	93416	235510	34142	294784	0.884180
chr24	6500001	6750000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	237170	230989	37929	430230	0.911840
chr24	6750001	7000000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	229889	238486	35813	432562	0.917207
chr24	7000001	7250000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	238173	237989	37889	438273	0.913549
chr24	7250001	7500000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	240325	239190	39049	440466	0.911346
chr24	7500001	7750000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	239554	234216	37638	436132	0.913700
chr24	7750001	8000000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	235450	237065	37791	434724	0.913069
chr24	8000001	8250000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	238092	241759	38594	441257	0.912536
chr24	8250001	8500000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	242641	236319	37230	441730	0.915718
chr24	8500001	8750000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	236400	209274	43775	401899	0.891080
chr24	8750001	9000000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	225357	239832	82604	382585	0.784090
chr24	9000001	9250000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	243332	235397	74538	404191	0.815587
chr24	9250001	9500000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	242117	214631	147927	308821	0.520994
chr24	9500001	9750000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	240056	241713	150491	331278	0.545726
chr24	9750001	10000000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	243974	242328	172862	313440	0.448501
chr24	10000001	10250000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	240447	241433	173783	308097	0.435947
chr24	10250001	10500000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	238971	245621	168651	315941	0.466195
chr24	10500001	10750000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	246093	246850	169418	323525	0.476337
chr24	10750001	11000000	HAP1_chr24	HAP2_chr24	HAP1	HAP2	24	24	246561	246473	168335	324699	0.481566
