unit_id	hap	chrom	seq_id	length	source	desc
HAP1_chr01	HAP1	1	Sy_Chr01_M1	41281545	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr02	HAP1	2	Sy_Chr02_M1	34286071	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr03	HAP1	3	Sy_Chr03_M1	45834178	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr04	HAP1	4	Sy_Chr04_M1	30470787	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr05	HAP1	5	Sy_Chr05_M1	48778650	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr06	HAP1	6	Sy_Chr06_M1	42507218	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr07	HAP1	7	Sy_Chr07_M1	52528044	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr08	HAP1	8	Sy_Chr08_M1	35797805	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr09	HAP1	9	Sy_Chr09_M1	38085393	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr10	HAP1	10	Sy_Chr10_M1	25906595	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr11	HAP1	11	Sy_Chr11_M1	30318811	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr12	HAP1	12	Sy_Chr12_M1	29760301	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr13	HAP1	13	Sy_Chr13_M1	32023801	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr14	HAP1	14	Sy_Chr14_M1	31762771	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr15	HAP1	15	Sy_Chr15_M1	31177586	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr16	HAP1	16	Sy_Chr16_M1	35703645	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr17	HAP1	17	Sy_Chr17_M1	33029679	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr18	HAP1	18	Sy_Chr18_M1	36267531	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr19	HAP1	19	Sy_Chr19_M1	36468339	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr20	HAP1	20	Sy_Chr20_M1	37077753	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr21	HAP1	21	Sy_Chr21_M1	27341334	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr22	HAP1	22	Sy_Chr22_M1	38177828	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr23	HAP1	23	Sy_Chr23_M1	30443415	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
HAP1_chr24	HAP1	24	Sy_Chr24_M1	26775165	/lustre/scratch122/tol/teams/blaxter/users/mb39/ploidyspec/data/SchYoun1/SchYoun1.M1.fa	
