,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18
HAP1_chr01,0.000000,0.111979,0.101170,0.110413,0.115235,0.110077,0.107471,0.111587,0.110132,0.113777,0.114932,0.111677,0.112844,0.112944,0.113871,0.117339,0.111919,0.115398,0.001913,0.115336,0.101279,0.112488,0.116275,0.111681,0.110958,0.114391,0.110150,0.114403,0.115134,0.111712,0.113780,0.113040,0.114150,0.118458,0.111914,0.112651
HAP1_chr02,0.111979,0.000000,0.103655,0.113541,0.118535,0.114506,0.113048,0.117873,0.118565,0.118934,0.119614,0.117647,0.119028,0.119401,0.119276,0.119404,0.118417,0.120957,0.114288,0.002640,0.103768,0.116511,0.119029,0.115935,0.116977,0.119696,0.118535,0.119775,0.119887,0.117729,0.120297,0.119597,0.120008,0.123382,0.118411,0.119872
HAP1_chr03,0.101170,0.103655,0.000000,0.121149,0.116911,0.123373,0.121593,0.123482,0.121411,0.120345,0.120856,0.119585,0.120193,0.120257,0.122710,0.104816,0.121884,0.122700,0.101885,0.104187,0.000044,0.121754,0.117125,0.123830,0.122408,0.124080,0.121444,0.120569,0.120900,0.119600,0.120825,0.120279,0.122773,0.105036,0.121875,0.121943
HAP1_chr04,0.110413,0.113541,0.121149,0.000000,0.116888,0.113176,0.109469,0.113408,0.116704,0.115590,0.118410,0.114989,0.116238,0.115965,0.115421,0.118013,0.116120,0.091241,0.112289,0.119299,0.121376,0.001157,0.117646,0.114978,0.113221,0.115247,0.116647,0.116497,0.118606,0.115044,0.117405,0.116109,0.115810,0.120993,0.116116,0.090944
HAP1_chr05,0.115235,0.118535,0.116911,0.116888,0.000000,0.093067,0.115615,0.118969,0.118004,0.100810,0.118912,0.115343,0.117566,0.116785,0.117705,0.125742,0.117197,0.119561,0.116987,0.120671,0.117003,0.117867,0.000187,0.093420,0.117262,0.120092,0.118011,0.100984,0.118909,0.115359,0.118211,0.116841,0.117834,0.126624,0.117189,0.118583
HAP1_chr06,0.110077,0.114506,0.123373,0.113176,0.093067,0.000000,0.108992,0.116373,0.115724,0.117914,0.119200,0.115404,0.117382,0.116558,0.116037,0.122264,0.118090,0.119824,0.112776,0.117291,0.123629,0.116169,0.093533,0.000871,0.113307,0.118696,0.115755,0.118844,0.119345,0.115400,0.118501,0.116727,0.116409,0.123269,0.118077,0.119037
HAP1_chr07,0.107471,0.113048,0.121593,0.109469,0.115615,0.108992,0.000000,0.086163,0.113724,0.114735,0.117109,0.113105,0.114578,0.115727,0.116634,0.119267,0.115280,0.116512,0.110345,0.117914,0.121884,0.112702,0.116767,0.111671,0.001702,0.087475,0.113765,0.115661,0.117355,0.113139,0.115851,0.115860,0.117161,0.120698,0.115267,0.115710
HAP1_chr08,0.111587,0.117873,0.123482,0.113408,0.118969,0.116373,0.086163,0.000000,0.115332,0.117526,0.119617,0.115396,0.117274,0.118216,0.118583,0.120660,0.116041,0.118280,0.112901,0.120975,0.123662,0.114549,0.119824,0.117209,0.086409,0.000520,0.115253,0.118028,0.119698,0.115441,0.118074,0.118282,0.118804,0.122647,0.116035,0.116016
HAP1_chr09,0.110132,0.118565,0.121411,0.116704,0.118004,0.115724,0.113724,0.115332,0.000000,0.116459,0.117738,0.087009,0.114532,0.116842,0.117139,0.121753,0.114050,0.118625,0.111417,0.120239,0.121499,0.117075,0.118465,0.116031,0.114535,0.116954,0.000183,0.116676,0.117979,0.087035,0.114981,0.116902,0.117215,0.122431,0.114044,0.115250
HAP1_chr10,0.113777,0.118934,0.120345,0.115590,0.100810,0.117914,0.114735,0.117526,0.116459,0.000000,0.117577,0.114464,0.100052,0.115856,0.117354,0.121314,0.115030,0.118218,0.114863,0.120840,0.120403,0.116033,0.100858,0.118352,0.115496,0.118072,0.116473,0.000151,0.117604,0.114486,0.100298,0.115911,0.117458,0.122174,0.115024,0.117432
HAP1_chr11,0.114932,0.119614,0.120856,0.118410,0.118912,0.119200,0.117109,0.119617,0.117738,0.117577,0.000000,0.116930,0.102989,0.117559,0.119252,0.121822,0.091518,0.119628,0.115977,0.121679,0.120915,0.118675,0.119075,0.119487,0.117585,0.120106,0.117722,0.117756,0.000107,0.116961,0.103306,0.117575,0.119280,0.122912,0.091519,0.118772
HAP1_chr12,0.111677,0.117647,0.119585,0.114989,0.115343,0.115404,0.113105,0.115396,0.087009,0.114464,0.116930,0.000000,0.113345,0.115462,0.115472,0.119390,0.115744,0.116560,0.113018,0.119303,0.119652,0.115369,0.115574,0.115736,0.114036,0.116005,0.086973,0.114694,0.116999,0.000066,0.113927,0.115489,0.115568,0.119963,0.115739,0.115851
