group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr11	1	250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	6133	234090	10	240213	0.999958
chr11	250001	500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	139649	238606	3061	375194	0.991842
chr11	500001	750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	234922	245145	1333	478734	0.997216
chr11	750001	1000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	224554	228722	5703	447573	0.987258
chr11	1000001	1250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	245397	231136	1683	474850	0.996456
chr11	1250001	1500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	222510	243877	3696	462691	0.992012
chr11	1500001	1750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	238994	241922	1748	479168	0.996352
chr11	1750001	2000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	233330	246000	1861	477469	0.996102
chr11	2000001	2250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	231493	213533	2148	442878	0.995150
chr11	2250001	2500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	234911	244324	3333	475902	0.992996
chr11	2500001	2750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	227810	245839	2078	471571	0.995593
chr11	2750001	3000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	234889	242192	2964	474117	0.993748
chr11	3000001	3250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	239001	237930	2089	474842	0.995601
chr11	3250001	3500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	239246	246358	1933	483671	0.996003
chr11	3500001	3750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	226688	246560	2594	470654	0.994489
chr11	3750001	4000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	232766	243286	3158	472894	0.993322
chr11	4000001	4250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	226114	243082	2323	466873	0.995024
chr11	4250001	4500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	243427	242606	3458	482575	0.992834
chr11	4500001	4750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	238408	243644	2022	480030	0.995788
chr11	4750001	5000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	227020	243322	7214	463128	0.984423
chr11	5000001	5250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	244224	244052	3005	485271	0.993808
chr11	5250001	5500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	242504	242619	3399	481724	0.992944
chr11	5500001	5750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	239626	243754	3090	480290	0.993566
chr11	5750001	6000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	243646	221691	3823	461514	0.991716
chr11	6000001	6250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	239697	239185	2044	476838	0.995713
chr11	6250001	6500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	226973	237824	2576	462221	0.994427
chr11	6500001	6750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	207581	244102	8408	443275	0.981032
chr11	6750001	7000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	237072	242968	3576	476464	0.992495
chr11	7000001	7250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	243312	244263	3022	484553	0.993763
chr11	7250001	7500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	234519	242490	5219	471790	0.988938
chr11	7500001	7750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	239591	237863	2747	474707	0.994213
chr11	7750001	8000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	232860	237160	3002	467018	0.993572
chr11	8000001	8250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	215762	245103	2319	458546	0.994943
chr11	8250001	8500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	177462	245100	1772	420790	0.995789
chr11	8500001	8750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	241841	229453	1661	469633	0.996463
chr11	8750001	9000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	233831	244917	2133	476615	0.995525
chr11	9000001	9250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	205549	229449	1435	433563	0.996690
chr11	9250001	9500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	236817	239568	986	475399	0.997926
chr11	9500001	9750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	242577	245745	2857	485465	0.994115
chr11	9750001	10000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	240492	236406	2212	474686	0.995340
chr11	10000001	10250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	234856	237191	7269	464778	0.984360
chr11	10250001	10500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	238831	242216	3260	477787	0.993177
chr11	10500001	10750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	225686	244013	2191	467508	0.995313
chr11	10750001	11000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	233930	245993	1968	477955	0.995882
chr11	11000001	11250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	231447	245713	1269	475891	0.997333
chr11	11250001	11500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	230864	243301	2604	471561	0.994478
chr11	11500001	11750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	209875	245500	4362	451013	0.990328
chr11	11750001	12000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	234069	242338	5040	471367	0.989308
chr11	12000001	12250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	230871	243788	10131	464528	0.978191
chr11	12250001	12500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	198025	246196	5088	439133	0.988414
chr11	12500001	12750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	105597	236148	1378	340367	0.995951
chr11	12750001	13000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	5559	245222	46	250735	0.999817
chr11	13000001	13250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	5525	240793	33	246285	0.999866
chr11	13250001	13500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	10172	242204	138	252238	0.999453
chr11	13500001	13750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	12875	243323	55	256143	0.999785
chr11	13750001	14000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	37966	244630	573	282023	0.997968
chr11	14000001	14250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	15360	240793	193	255960	0.999246
chr11	14250001	14500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	9173	243055	88	252140	0.999651
chr11	14500001	14750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	14483	234284	175	248592	0.999296
chr11	14750001	15000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	16523	234913	55	251381	0.999781
chr11	15000001	15250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	216709	219515	5055	431169	0.988276
chr11	15250001	15500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	226679	234892	9102	452469	0.979884
chr11	15500001	15750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	233233	232991	6767	459457	0.985272
