seq_id	source	length	reason
OZ253435.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	18606952	no-chrom-match
CBDHCH010000001.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	3141000	no-chrom-match
CBDHCH010000002.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	3136099	no-chrom-match
CBDHCH010000003.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	2030776	no-chrom-match
CBDHCH010000004.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	1637192	no-chrom-match
CBDHCH010000005.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	1111838	no-chrom-match
CBDHCH010000006.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	828661	below-min-len
CBDHCH010000007.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	743711	below-min-len
CBDHCH010000008.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	543627	below-min-len
CBDHCH010000009.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	482404	below-min-len
CBDHCH010000010.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	474132	below-min-len
CBDHCH010000011.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	471273	below-min-len
CBDHCH010000012.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	460723	below-min-len
CBDHCH010000013.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	442970	below-min-len
CBDHCH010000014.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	434189	below-min-len
CBDHCH010000015.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	425337	below-min-len
CBDHCH010000016.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	423891	below-min-len
CBDHCH010000017.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	423105	below-min-len
CBDHCH010000018.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	385073	below-min-len
CBDHCH010000019.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	365120	below-min-len
CBDHCH010000020.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	360526	below-min-len
CBDHCH010000021.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	353216	below-min-len
CBDHCH010000022.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	352979	below-min-len
CBDHCH010000023.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	348941	below-min-len
CBDHCH010000024.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	347570	below-min-len
CBDHCH010000025.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	347858	below-min-len
CBDHCH010000026.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	347438	below-min-len
CBDHCH010000027.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	327452	below-min-len
CBDHCH010000028.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	320167	below-min-len
CBDHCH010000029.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	320109	below-min-len
CBDHCH010000030.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	317559	below-min-len
CBDHCH010000031.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	300499	below-min-len
CBDHCH010000032.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	293303	below-min-len
CBDHCH010000033.1	/lustre/scratch122/tol/data/c/c/e/4/5/6/Salix_cinerea/assembly/release/ddSalCine1.hap1.1/insdc/GCA_965260955.1.fa.gz	287127	below-min-len
