chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.000017	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.000011	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.000051	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.000027	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.000082	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.000041	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.000225	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.000083	False
chr09	HAP1_chr09	HAP2_chr09	HAP1	HAP2	0.000017	False
chr10	HAP1_chr10	HAP2_chr10	HAP1	HAP2	0.000009	False
chr11	HAP1_chr11	HAP2_chr11	HAP1	HAP2	0.000021	False
chr12	HAP1_chr12	HAP2_chr12	HAP1	HAP2	0.000046	False
chr13	HAP1_chr13	HAP2_chr13	HAP1	HAP2	0.000057	False
chr14	HAP1_chr14	HAP2_chr14	HAP1	HAP2	0.000017	False
chr15	HAP1_chr15	HAP2_chr15	HAP1	HAP2	0.000350	False
chr16	HAP1_chr16	HAP2_chr16	HAP1	HAP2	0.000026	False
