group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr08	1	250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	191371	224748	36675	379444	0.903345
chr08	250001	500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	230739	227717	11751	446705	0.973694
chr08	500001	750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	220756	215390	15088	421058	0.964166
chr08	750001	1000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	206755	191365	38280	359840	0.893619
chr08	1000001	1250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	226160	234875	45198	415837	0.891308
chr08	1250001	1500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	231714	231373	31010	432077	0.928230
chr08	1500001	1750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	224218	226951	34309	416860	0.917697
chr08	1750001	2000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	228672	218536	12509	434699	0.971224
chr08	2000001	2250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	225288	217978	18911	424355	0.955436
chr08	2250001	2500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	210716	212609	14399	408926	0.964788
chr08	2500001	2750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	202143	202925	18015	387053	0.953456
chr08	2750001	3000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	204247	234292	966	437573	0.997792
chr08	3000001	3250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	210703	230044	16566	424181	0.960946
chr08	3250001	3500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	182516	206835	9595	379756	0.974734
chr08	3500001	3750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	211739	228150	5338	434551	0.987716
chr08	3750001	4000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	225281	233527	5852	452956	0.987080
chr08	4000001	4250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	209091	228210	13407	423894	0.968372
chr08	4250001	4500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	155529	230445	3332	382642	0.991292
chr08	4500001	4750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	180087	225785	9789	396083	0.975285
chr08	4750001	5000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	210897	216608	8770	418735	0.979056
chr08	5000001	5250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	202716	222524	8391	416849	0.979870
chr08	5250001	5500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	194976	238388	7796	425568	0.981681
chr08	5500001	5750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	228367	235481	3466	460382	0.992471
chr08	5750001	6000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	206442	222571	13072	415941	0.968572
chr08	6000001	6250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	224603	230132	3888	450847	0.991376
chr08	6250001	6500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	196625	210272	4993	401904	0.987577
chr08	6500001	6750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	233780	232179	5720	460239	0.987572
chr08	6750001	7000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	184349	238107	3379	419077	0.991937
chr08	7000001	7250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	196694	222469	8348	410815	0.979679
chr08	7250001	7500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	232245	225060	6912	450393	0.984653
chr08	7500001	7750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	219670	230181	9490	440361	0.978449
chr08	7750001	8000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	216788	217194	10111	423871	0.976146
chr08	8000001	8250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	236169	228227	10257	454139	0.977414
chr08	8250001	8500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	236314	241685	2966	475033	0.993756
chr08	8500001	8750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	207000	231378	4922	433456	0.988645
chr08	8750001	9000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	179847	238012	1588	416271	0.996185
chr08	9000001	9250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	218569	221618	7978	432209	0.981541
chr08	9250001	9500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	196426	222231	10162	408495	0.975123
chr08	9500001	9750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	210328	225997	8703	427622	0.979648
chr08	9750001	10000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	226055	208822	7307	427570	0.982910
chr08	10000001	10250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	203793	197637	19785	381645	0.948159
chr08	10250001	10500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	228263	227971	6654	449580	0.985200
chr08	10500001	10750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	209970	210000	4077	415893	0.990197
chr08	10750001	11000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	225959	230907	6138	450728	0.986382
chr08	11000001	11250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	215555	215316	9376	421495	0.977755
chr08	11250001	11500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	207383	227310	5033	429660	0.988286
chr08	11500001	11750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	224029	224190	5439	442780	0.987716
chr08	11750001	12000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	217084	228463	8388	437159	0.980812
chr08	12000001	12250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	221569	238112	4481	455200	0.990156
chr08	12250001	12500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	198452	224286	3870	418868	0.990761
chr08	12500001	12750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	239893	238930	3381	475442	0.992889
chr08	12750001	13000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	234593	201054	10839	424808	0.974485
chr08	13000001	13250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	197888	230470	7156	421202	0.983011
chr08	13250001	13500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	229889	227626	6431	451084	0.985743
chr08	13500001	13750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	201914	174680	1569	375025	0.995816
chr08	13750001	14000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	211061	226218	5167	432112	0.988042
chr08	14000001	14250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	165135	225996	6623	384508	0.982775
chr08	14250001	14500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	147962	235084	2076	380970	0.994551
chr08	14500001	14750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	221206	240601	4284	457523	0.990637
chr08	14750001	15000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	218951	213406	5406	426951	0.987338
chr08	15000001	15250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	205297	231995	8625	428667	0.979879
chr08	15250001	15500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	228091	217085	3124	442052	0.992933
chr08	15500001	15750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	187781	217282	6338	398725	0.984104
chr08	15750001	16000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	211467	237084	6943	441608	0.984278
chr08	16000001	16250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	209857	217513	8132	419238	0.980603
chr08	16250001	16500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	200178	226861	7803	419236	0.981388
chr08	16500001	16750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	219958	215840	7960	427838	0.981395
chr08	16750001	17000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	214592	222300	10274	426618	0.975918
chr08	17000001	17250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	211541	228713	7216	433038	0.983336
chr08	17250001	17500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	219673	219782	14818	424637	0.965104
chr08	17500001	17750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	224060	174572	5028	393604	0.987226
chr08	17750001	18000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	230802	222232	11169	441865	0.974723
chr08	18000001	18250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	161597	227633	4696	384534	0.987788
chr08	18250001	18500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	218188	236723	14893	440018	0.966154
chr08	18500001	18750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	216347	220363	7873	428837	0.981641
chr08	18750001	19000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	208480	221988	4051	426417	0.990500
chr08	19000001	19250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	199090	226693	7905	417878	0.981083
chr08	19250001	19500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	231918	222802	4835	449885	0.989253
chr08	19500001	19750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	180493	226400	11484	395409	0.970957
chr08	19750001	20000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	228311	232458	6494	454275	0.985705
chr08	20000001	20250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	234651	238035	3832	468854	0.991827
chr08	20250001	20500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	236957	232714	5031	464640	0.989172
chr08	20500001	20750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	187590	193683	9965	371308	0.973162
chr08	20750001	21000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	207321	229119	5178	431262	0.987993
chr08	21000001	21250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	225681	223158	10518	438321	0.976004
chr08	21250001	21500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	178829	219634	9512	388951	0.975544
chr08	21500001	21750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	217036	202147	16795	402388	0.958262
chr08	21750001	22000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	227409	154661	3566	378504	0.990579
chr08	22000001	22250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	204822	205534	8462	401894	0.978945
chr08	22250001	22500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	220544	173968	8767	385745	0.977273
chr08	22500001	22750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	211698	230371	5292	436777	0.987884
chr08	22750001	23000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	217019	234326	9245	442100	0.979088
chr08	23000001	23250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	187614	226613	3151	411076	0.992335
chr08	23250001	23500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	237967	237031	3041	471957	0.993557
chr08	23500001	23750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	235919	231668	4057	463530	0.991248
chr08	23750001	24000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	224332	211015	5106	430241	0.988132
chr08	24000001	24250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	232654	223716	4724	451646	0.989540
chr08	24250001	24500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	179504	175789	9104	346189	0.973702
