group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr14	1	250000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	244438	245565	154837	335166	0.538029
chr14	250001	500000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	247276	247716	163967	331025	0.504669
chr14	500001	750000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	243198	247958	153971	337185	0.543363
chr14	750001	1000000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	244880	241861	141913	344828	0.588453
chr14	1000001	1250000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	246911	246009	146997	345923	0.575059
chr14	1250001	1500000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	246447	246716	160297	332866	0.518434
chr14	1500001	1750000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	245285	245876	152475	338686	0.549804
chr14	1750001	2000000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	247304	247266	155748	338822	0.540325
chr14	2000001	2250000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	248091	248686	157662	339115	0.535078
chr14	2250001	2500000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	247275	248058	154703	340630	0.545833
chr14	2500001	2750000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	246809	246937	121075	372671	0.675116
chr14	2750001	3000000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	248424	247362	129130	366656	0.647817
chr14	3000001	3250000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	247690	246078	127884	365884	0.650479
chr14	3250001	3500000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	244090	247740	134417	357413	0.623917
chr14	3500001	3750000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	247735	247035	132284	362486	0.635065
chr14	3750001	4000000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	248074	248074	137250	358898	0.617579
chr14	4000001	4250000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	247420	247286	138719	355987	0.610326
chr14	4250001	4500000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	247383	247170	125583	368970	0.659639
chr14	4500001	4750000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	246329	245774	107801	384302	0.719489
chr14	4750001	5000000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	244792	247007	86538	405261	0.786464
chr14	5000001	5250000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	246963	245265	92279	399949	0.769273
chr14	5250001	5500000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	244102	244198	92724	395576	0.765598
chr14	5500001	5750000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	247293	247024	114048	380269	0.700086
chr14	5750001	6000000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	238457	244312	97010	385759	0.748522
chr14	6000001	6250000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	246013	243379	72978	416414	0.824747
chr14	6250001	6500000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	244701	246908	43439	448170	0.903075
chr14	6500001	6750000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	246796	244904	41662	450038	0.907426
chr14	6750001	7000000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	244641	247357	33112	458886	0.927843
chr14	7000001	7250000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	247032	245035	33249	458818	0.927533
chr14	7250001	7500000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	243733	239366	23088	460011	0.949810
chr14	7500001	7750000	HAP1_chr14	HAP2_chr14	HAP1	HAP2	14	14	244731	243831	24651	463911	0.946863
