chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.014440	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.016997	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.013638	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.014403	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.017892	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.012894	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.016511	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.015935	False
chr09	HAP1_chr09	HAP2_chr09	HAP1	HAP2	0.011250	False
chr10	HAP1_chr10	HAP2_chr10	HAP1	HAP2	0.017014	False
chr11	HAP1_chr11	HAP2_chr11	HAP1	HAP2	0.014560	False
chr12	HAP1_chr12	HAP2_chr12	HAP1	HAP2	0.012958	False
chr13	HAP1_chr13	HAP2_chr13	HAP1	HAP2	0.011575	False
chr14	HAP1_chr14	HAP2_chr14	HAP1	HAP2	0.015227	False
chr15	HAP1_chr15	HAP2_chr15	HAP1	HAP2	0.020722	False
chr16	HAP1_chr16	HAP2_chr16	HAP1	HAP2	0.014519	False
chr17	HAP1_chr17	HAP2_chr17	HAP1	HAP2	0.013439	False
chr18	HAP1_chr18	HAP2_chr18	HAP1	HAP2	0.011415	False
chr19	HAP1_chr19	HAP2_chr19	HAP1	HAP2	0.013229	False
chr20	HAP1_chr20	HAP2_chr20	HAP1	HAP2	0.013387	False
chr21	HAP1_chr21	HAP2_chr21	HAP1	HAP2	0.014194	False
chr22	HAP1_chr22	HAP2_chr22	HAP1	HAP2	0.014542	False
chr23	HAP1_chr23	HAP2_chr23	HAP1	HAP2	0.019041	False
chr24	HAP1_chr24	HAP2_chr24	HAP1	HAP2	0.017469	False
chr25	HAP1_chr25	HAP2_chr25	HAP1	HAP2	0.015911	False
chr26	HAP1_chr26	HAP2_chr26	HAP1	HAP2	0.018274	False
