group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr26	1	250000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	151315	231262	19496	363081	0.946304
chr26	250001	500000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	241528	246687	37713	450502	0.916287
chr26	500001	750000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	247313	242435	46666	443082	0.894679
chr26	750001	1000000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	244597	245189	54364	435422	0.875146
chr26	1000001	1250000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	236698	246334	47029	436003	0.892136
chr26	1250001	1500000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	246573	227181	48825	424929	0.885098
chr26	1500001	1750000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	207769	238578	38621	407726	0.905277
chr26	1750001	2000000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	146789	240598	1506	385881	0.996097
chr26	2000001	2250000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	245121	235915	1781	479255	0.996284
chr26	2250001	2500000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	232091	195733	2372	425452	0.994425
chr26	2500001	2750000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	222381	240000	9785	452596	0.978380
chr26	2750001	3000000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	238678	211921	2711	447888	0.993947
chr26	3000001	3250000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	229694	231847	11551	449990	0.974331
chr26	3250001	3500000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	241606	239937	30322	451221	0.932800
chr26	3500001	3750000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	234978	242092	15724	461346	0.965917
chr26	3750001	4000000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	232453	218714	17839	433328	0.958833
chr26	4000001	4250000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	228765	239118	26176	441707	0.940739
chr26	4250001	4500000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	239721	233197	36295	436623	0.916873
chr26	4500001	4750000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	239881	242157	51580	430458	0.880174
chr26	4750001	5000000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	236790	232582	38781	430591	0.909935
chr26	5000001	5250000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	230785	240107	50430	420462	0.880061
chr26	5250001	5500000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	239775	242918	38469	444224	0.913402
chr26	5500001	5750000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	244259	228925	44881	428303	0.895212
chr26	5750001	6000000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	226385	240188	46867	419706	0.888334
chr26	6000001	6250000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	236962	232883	13828	456017	0.969677
chr26	6250001	6500000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	195345	200044	5505	389884	0.985880
chr26	6500001	6750000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	184806	240381	6645	418542	0.984123
chr26	6750001	7000000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	226886	238947	9237	456596	0.979770
chr26	7000001	7250000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	230424	236930	9907	457447	0.978343
chr26	7250001	7500000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	241595	237223	6455	472363	0.986335
chr26	7500001	7750000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	236900	229895	8066	458729	0.982417
chr26	7750001	8000000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	189777	241233	6338	424672	0.985076
chr26	8000001	8250000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	226996	233447	12608	447835	0.971847
chr26	8250001	8500000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	243755	168083	2948	408890	0.992790
chr26	8500001	8750000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	230207	238740	10364	458583	0.977400
chr26	8750001	9000000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	198928	179354	10082	368200	0.972618
chr26	9000001	9250000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	229233	217745	8479	438499	0.980664
chr26	9250001	9500000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	231336	219198	21626	428908	0.949579
chr26	9500001	9750000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	226639	218934	60688	384885	0.842322
chr26	9750001	10000000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	240561	237502	123536	354527	0.651547
chr26	10000001	10250000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	237354	241154	123288	355220	0.652925
chr26	10250001	10500000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	233621	234753	124949	343425	0.636168
chr26	10500001	10750000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	233347	233832	126400	340779	0.629085
chr26	10750001	11000000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	150830	230758	129583	252005	0.485792
chr26	11000001	11250000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	35926	42456	27378	51004	0.463219
chr26	11250001	11500000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	49403	26941	15948	60396	0.735943
chr26	11500001	11750000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	235441	182239	141353	276327	0.488458
chr26	11750001	12000000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	221395	230685	126639	325441	0.610870
chr26	12000001	12250000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	238815	233587	130164	342238	0.619668
chr26	12250001	12500000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	230455	238979	130097	339337	0.616614
chr26	12500001	12750000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	231172	238619	149780	320011	0.531954
chr26	12750001	13000000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	230414	237660	161908	306166	0.471176
chr26	13000001	13250000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	239438	227552	159558	307432	0.480997
chr26	13250001	13500000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	242434	239671	157623	324482	0.514232
chr26	13500001	13750000	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	230108	238194	153036	315266	0.514581
chr26	13750001	13838185	HAP1_chr26	HAP2_chr26	HAP1	HAP2	26	26	78456	82005	3688	156773	0.976476
