group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr50	1	250000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	226262	227479	216191	237550	0.089914
chr50	250001	500000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	226349	226342	214626	238065	0.098456
chr50	500001	750000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	236288	236072	224598	247762	0.093493
chr50	750001	1000000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	228745	228961	217337	240369	0.095819
chr50	1000001	1250000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	235666	235634	224052	247248	0.093817
chr50	1250001	1500000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	227980	227396	216724	238652	0.091883
chr50	1500001	1750000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	214345	217418	206428	225335	0.083906
chr50	1750001	2000000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	230961	227892	201048	257805	0.220155
chr50	2000001	2250000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	198670	196911	172571	223010	0.226174
chr50	2250001	2500000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	221696	215249	196718	240227	0.181116
chr50	2500001	2750000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	159055	160653	142691	177017	0.193914
chr50	2750001	3000000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	184051	195081	165331	213801	0.226706
chr50	3000001	3250000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	221496	215241	192483	244254	0.211956
chr50	3250001	3500000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	223045	226141	197376	251810	0.216171
chr50	3500001	3750000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	232204	233095	203214	262085	0.224626
chr50	3750001	4000000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	239990	238681	210058	268613	0.217990
chr50	4000001	4250000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	234929	236952	206384	265497	0.222650
chr50	4250001	4500000	HAP1_chr50	HAP2_chr50	HAP1	HAP2	50	50	236673	236257	206089	266841	0.227671
