chrom	win_start	win_end	unit_a	unit_b	hap_a	hap_b	kmers_a	kmers_b	shared	union	jaccard_distance
8	1	250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	237559	240114	159743	317930	0.497553
8	1	250000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	237559	239058	175857	300760	0.415291
8	1	250000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	237559	236320	174316	299563	0.418099
8	1	250000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	240114	239058	182900	296272	0.382662
8	1	250000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	240114	236320	148342	328092	0.547865
8	1	250000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	239058	236320	167980	307398	0.453542
8	250001	500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	232426	229929	80756	381599	0.788375
8	250001	500000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	232426	225973	118576	339823	0.651065
8	250001	500000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	232426	221894	124142	330178	0.624015
8	250001	500000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	229929	225973	101421	354481	0.713889
8	250001	500000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	229929	221894	85482	366341	0.766660
8	250001	500000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	225973	221894	114258	333609	0.657509
8	500001	750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	227363	226639	147188	306814	0.520270
8	500001	750000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	227363	236699	92162	371900	0.752186
8	500001	750000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	227363	232415	92073	367705	0.749601
8	500001	750000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	226639	236699	83157	380181	0.781270
8	500001	750000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	226639	232415	88896	370158	0.759843
8	500001	750000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	236699	232415	114682	354432	0.676434
8	750001	1000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	236351	225916	88948	373319	0.761737
8	750001	1000000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	236351	225808	87247	374912	0.767287
8	750001	1000000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	236351	230238	125360	341229	0.632622
8	750001	1000000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	225916	225808	102856	348868	0.705172
8	750001	1000000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	225916	230238	114285	341869	0.665705
8	750001	1000000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	225808	230238	106809	349237	0.694165
8	1000001	1250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	242421	239358	147123	334656	0.560375
8	1000001	1250000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	242421	238415	112526	368310	0.694480
8	1000001	1250000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	242421	238143	149572	330992	0.548110
8	1000001	1250000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	239358	238415	111993	365780	0.693824
8	1000001	1250000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	239358	238143	141363	336138	0.579450
8	1000001	1250000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	238415	238143	108119	368439	0.706548
8	1250001	1500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	230646	236810	4402	463054	0.990494
8	1250001	1500000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	230646	239055	4716	464985	0.989858
8	1250001	1500000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	230646	209092	3655	436083	0.991619
8	1250001	1500000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	236810	239055	128655	347210	0.629461
8	1250001	1500000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	236810	209092	127439	318463	0.599831
8	1250001	1500000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	239055	209092	121196	326951	0.629314
8	1500001	1750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	238271	214835	3803	449303	0.991536
8	1500001	1750000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	238271	239260	3706	473825	0.992179
8	1500001	1750000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	238271	152241	1971	388541	0.994927
8	1500001	1750000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	214835	239260	132105	321990	0.589723
8	1500001	1750000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	214835	152241	5085	361991	0.985953
8	1500001	1750000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	239260	152241	13406	378095	0.964543
8	1750001	2000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	240417	237618	3603	474432	0.992406
8	1750001	2000000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	240417	234145	4815	469747	0.989750
8	1750001	2000000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	240417	238039	3293	475163	0.993070
8	1750001	2000000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	237618	234145	115008	356755	0.677628
8	1750001	2000000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	237618	238039	10528	465129	0.977365
8	1750001	2000000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	234145	238039	9388	462796	0.979715
8	2000001	2250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	235251	240076	4649	470678	0.990123
8	2000001	2250000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	235251	244139	3337	476053	0.992990
8	2000001	2250000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	235251	239200	4814	469637	0.989750
8	2000001	2250000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	240076	244139	132158	352057	0.624612
8	2000001	2250000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	240076	239200	18005	461271	0.960967
8	2000001	2250000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	244139	239200	3906	479433	0.991853
8	2250001	2500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	243135	227527	4647	466015	0.990028
8	2250001	2500000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	243135	210864	4047	449952	0.991006
8	2250001	2500000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	243135	237766	3531	477370	0.992603
8	2250001	2500000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	227527	210864	125743	312648	0.597813
8	2250001	2500000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	227527	237766	21736	443557	0.950996
8	2250001	2500000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	210864	237766	4138	444492	0.990690
8	2500001	2750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	238071	239957	4414	473614	0.990680
8	2500001	2750000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	238071	231223	5244	464050	0.988699
8	2500001	2750000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	238071	234067	5798	466340	0.987567
8	2500001	2750000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	239957	231223	135307	335873	0.597148
