chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.004406	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.001469	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.001692	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.001577	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.002941	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.002247	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.002109	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.001201	False
chr09	HAP1_chr09	HAP2_chr09	HAP1	HAP2	0.001387	False
chr10	HAP1_chr10	HAP2_chr10	HAP1	HAP2	0.000938	False
chr11	HAP1_chr11	HAP2_chr11	HAP1	HAP2	0.003084	False
chr12	HAP1_chr12	HAP2_chr12	HAP1	HAP2	0.001563	False
chr13	HAP1_chr13	HAP2_chr13	HAP1	HAP2	0.002872	False
chr14	HAP1_chr14	HAP2_chr14	HAP1	HAP2	0.002044	False
chr15	HAP1_chr15	HAP2_chr15	HAP1	HAP2	0.002984	False
chr16	HAP1_chr16	HAP2_chr16	HAP1	HAP2	0.001483	False
chr17	HAP1_chr17	HAP2_chr17	HAP1	HAP2	0.001563	False
chr18	HAP1_chr18	HAP2_chr18	HAP1	HAP2	0.003829	False
chr19	HAP1_chr19	HAP2_chr19	HAP1	HAP2	0.000918	False
chr20	HAP1_chr20	HAP2_chr20	HAP1	HAP2	0.002462	False
chr21	HAP1_chr21	HAP2_chr21	HAP1	HAP2	0.002102	False
chr22	HAP1_chr22	HAP2_chr22	HAP1	HAP2	0.004235	False
chr23	HAP1_chr23	HAP2_chr23	HAP1	HAP2	0.001748	False
chr24	HAP1_chr24	HAP2_chr24	HAP1	HAP2	0.002709	False
chr25	HAP1_chr25	HAP2_chr25	HAP1	HAP2	0.000915	False
chr26	HAP1_chr26	HAP2_chr26	HAP1	HAP2	0.004738	False
