unit	total_windows	n_self	n_other	n_ambiguous	n_none	pct_self	pct_other
HAP1_chr01	202	20	1	181	0	9.90	0.50
HAP2_chr01	195	8	8	179	0	4.10	4.10
HAP1_chr02	194	12	1	181	0	6.19	0.52
HAP2_chr02	194	10	0	184	0	5.15	0.00
HAP1_chr03	191	0	0	191	0	0.00	0.00
HAP2_chr03	189	9	0	180	0	4.76	0.00
HAP1_chr04	191	163	0	28	0	85.34	0.00
HAP2_chr04	188	22	126	40	0	11.70	67.02
HAP1_chr05	190	16	2	172	0	8.42	1.05
HAP2_chr05	188	5	11	172	0	2.66	5.85
HAP1_chr06	176	28	4	144	0	15.91	2.27
HAP2_chr06	172	9	7	156	0	5.23	4.07
HAP1_chr07	172	0	34	138	0	0.00	19.77
HAP2_chr07	177	68	0	109	0	38.42	0.00
HAP1_chr08	172	8	6	158	0	4.65	3.49
HAP2_chr08	171	13	1	157	0	7.60	0.58
HAP1_chr09	159	0	70	89	0	0.00	44.03
HAP2_chr09	174	120	0	54	0	68.97	0.00
HAP1_chr10	148	11	0	137	0	7.43	0.00
HAP2_chr10	142	7	0	135	0	4.93	0.00
HAP1_chr11	147	4	83	60	0	2.72	56.46
HAP2_chr11	149	107	1	41	0	71.81	0.67
HAP1_chr12	146	136	0	10	0	93.15	0.00
HAP2_chr12	142	1	124	17	0	0.70	87.32
HAP1_chr13	146	0	124	22	0	0.00	84.93
HAP2_chr13	160	146	0	14	0	91.25	0.00
HAP1_chr14	145	34	1	110	0	23.45	0.69
HAP2_chr14	129	9	16	104	0	6.98	12.40
HAP1_chr15	145	134	2	9	0	92.41	1.38
HAP2_chr15	139	6	116	17	0	4.32	83.45
HAP1_chr16	139	15	17	107	0	10.79	12.23
HAP2_chr16	140	33	8	99	0	23.57	5.71
HAP1_chr17	138	0	46	92	0	0.00	33.33
HAP2_chr17	146	63	0	83	0	43.15	0.00
HAP1_chr18	126	9	24	93	0	7.14	19.05
HAP2_chr18	122	38	2	82	0	31.15	1.64
