chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	4	0.023534					
chr02	4	0.022687	chr03	0.089567	-12.396	0	3.89
chr03	4	0.023385	chr02	0.089567	-12.396	0	3.89
chr04	4	0.025760	chr07	0.101272	-8.436	0	4.20
chr05	4	0.022526	chr10	0.101597	-8.326	8.32667e-16	4.45
chr06	4	0.023232					
chr07	4	0.022469	chr04	0.101272	-8.436	0	4.20
chr08	4	0.022214					
chr09	4	0.029847					
chr10	4	0.023135	chr05	0.101597	-8.326	8.32667e-16	4.45
chr11	4	0.026773	chr15	0.096758	-9.963	0	3.66
chr12	4	0.026652					
chr13	4	0.025271	chr14	0.094393	-10.763	0	3.57
chr14	4	0.027554	chr13	0.094393	-10.763	0	3.57
chr15	4	0.026047	chr11	0.096758	-9.963	0	3.66
