unit_a	unit_b	k_sweep	chosen_k	kmers_a	kmers_b	shared	union	jaccard_at_chosen_k	containment_at_chosen_k	distance	containment_p	resolution_limited	k_consistency_spread
HAP1_chr01	HAP1_chr02	11,13,15,17,19,23	23	37657132	45506190	2968641	80194681	0.037018	0.078833	0.114763	0.104572	False	0.122062
HAP1_chr01	HAP1_chr03	11,13,15,17,19,23	23	37657132	45635461	2848824	80443769	0.035414	0.075652	0.116622	0.106174	False	0.123569
HAP1_chr01	HAP1_chr04	11,13,15,17,19,23	23	37657132	37428079	3247651	71837560	0.045208	0.086770	0.106415	0.100829	False	0.113262
HAP1_chr01	HAP1_chr05	11,13,15,17,19,23	23	37657132	30658215	4647012	63668335	0.072988	0.151575	0.086729	0.078755	False	0.084605
HAP1_chr01	HAP1_chr06	11,13,15,17,19,23	23	37657132	31907901	1105260	68459773	0.016145	0.034639	0.149958	0.136022	False	0.149301
HAP1_chr01	HAP1_chr07	11,13,15,17,19,23	23	37657132	36041937	2848074	70850995	0.040198	0.079021	0.111313	0.104479	False	0.117937
HAP1_chr01	HAP1_chr08	11,13,15,17,19,23	23	37657132	32492888	2594570	67555450	0.038407	0.079850	0.113220	0.104072	False	0.119647
HAP1_chr01	HAP1_chr09	11,13,15,17,19,23	23	37657132	31184553	910307	67931378	0.013400	0.029191	0.157941	0.142426	False	0.155849
HAP1_chr01	HAP1_chr10	11,13,15,17,19,23	23	37657132	33283202	2143670	68796664	0.031160	0.064407	0.122008	0.112406	False	0.128579
HAP1_chr01	HAP1_chr11	11,13,15,17,19,23	23	37657132	31575599	1076231	68156500	0.015791	0.034084	0.150907	0.136628	False	0.150706
HAP1_chr01	HAP1_chr12	11,13,15,17,19,23	23	37657132	30157748	882207	66932673	0.013181	0.029253	0.158651	0.142347	False	0.157143
HAP1_chr01	HAP1_chr13	11,13,15,17,19,23	23	37657132	25418717	860375	62215474	0.013829	0.033848	0.156590	0.136889	False	0.155574
HAP1_chr01	HAP1_chr14	11,13,15,17,19,23	23	37657132	29698284	758295	66597121	0.011386	0.025533	0.164936	0.147403	False	0.162480
HAP1_chr01	HAP1_chr15	11,13,15,17,19,23	23	37657132	27012615	680894	63988853	0.010641	0.025207	0.167848	0.147880	False	0.165273
HAP1_chr02	HAP1_chr03	11,13,15,17,19,23	23	45506190	45635461	2656605	88485046	0.030023	0.058379	0.123575	0.116190	False	0.130419
HAP1_chr02	HAP1_chr04	11,13,15,17,19,23	23	45506190	37428079	2747892	80186377	0.034269	0.073418	0.118003	0.107338	False	0.125418
HAP1_chr02	HAP1_chr05	11,13,15,17,19,23	23	45506190	30658215	985820	75178585	0.013113	0.032155	0.158871	0.138812	False	0.156964
