group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr08x12	1	250000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	239743	8468	31	248180	0.999875
chr08x12	1	250000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	239743	7548	28	247263	0.999887
chr08x12	1	250000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	8468	9490	3138	14820	0.788259
chr08x12	1	250000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	9490	7548	2765	14273	0.806278
chr08x12	250001	500000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	226487	6860	19	233328	0.999919
chr08x12	250001	500000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	226487	8805	17	235275	0.999928
chr08x12	250001	500000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	6860	9142	2735	13267	0.793849
chr08x12	250001	500000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	9142	8805	2557	15390	0.833853
chr08x12	500001	750000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	242666	8210	22	250854	0.999912
chr08x12	500001	750000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	242666	6812	22	249456	0.999912
chr08x12	500001	750000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	8210	8311	3199	13322	0.759871
chr08x12	500001	750000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	8311	6812	2454	12669	0.806299
chr08x12	750001	1000000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	241558	8204	21	249741	0.999916
chr08x12	750001	1000000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	241558	7149	12	248695	0.999952
chr08x12	750001	1000000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	8204	7302	3031	12475	0.757034
chr08x12	750001	1000000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	7302	7149	2481	11970	0.792732
chr08x12	1000001	1250000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	239704	7667	21	247350	0.999915
chr08x12	1000001	1250000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	239704	216061	4081	451684	0.990965
chr08x12	1000001	1250000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	7667	12963	2213	18417	0.879839
chr08x12	1000001	1250000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	12963	216061	990	228034	0.995659
chr08x12	1250001	1500000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	239981	14631	99	254513	0.999611
chr08x12	1250001	1500000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	239981	237857	3005	474833	0.993671
chr08x12	1250001	1500000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	14631	8273	1490	21414	0.930419
chr08x12	1250001	1500000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	8273	237857	12	246118	0.999951
chr08x12	1500001	1750000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	234252	8240	24	242468	0.999901
chr08x12	1500001	1750000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	234252	241845	4778	471319	0.989862
chr08x12	1500001	1750000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	8240	8649	2042	14847	0.862464
chr08x12	1500001	1750000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	8649	241845	9	250485	0.999964
chr08x12	1750001	2000000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	217421	8316	23	225714	0.999898
chr08x12	1750001	2000000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	217421	241948	3211	456158	0.992961
chr08x12	1750001	2000000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	8316	134838	1765	141389	0.987517
chr08x12	1750001	2000000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	134838	241948	3004	373782	0.991963
chr08x12	2000001	2250000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	231598	8791	20	240369	0.999917
chr08x12	2000001	2250000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	231598	241854	5310	468142	0.988657
chr08x12	2000001	2250000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	8791	226999	24	235766	0.999898
chr08x12	2000001	2250000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	226999	241854	4040	464813	0.991308
chr08x12	2250001	2500000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	240562	6632	27	247167	0.999891
chr08x12	2250001	2500000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	240562	235582	4757	471387	0.989909
chr08x12	2250001	2500000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	6632	239984	21	246595	0.999915
chr08x12	2250001	2500000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	239984	235582	3901	471665	0.991729
chr08x12	2500001	2750000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	241282	6503	21	247764	0.999915
chr08x12	2500001	2750000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	241282	240497	4615	477164	0.990328
chr08x12	2500001	2750000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	6503	236462	15	242950	0.999938
chr08x12	2500001	2750000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	236462	240497	5255	471704	0.988860
chr08x12	2750001	3000000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	240966	9038	18	249986	0.999928
chr08x12	2750001	3000000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	240966	229463	5212	465217	0.988797
chr08x12	2750001	3000000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	9038	239642	20	248660	0.999920
chr08x12	2750001	3000000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	239642	229463	3935	465170	0.991541
chr08x12	3000001	3250000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	241230	6228	8	247450	0.999968
chr08x12	3000001	3250000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	241230	214243	4000	451473	0.991140
chr08x12	3000001	3250000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	6228	233215	14	239429	0.999942
chr08x12	3000001	3250000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	233215	214243	4134	443324	0.990675
chr08x12	3250001	3500000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	238999	21606	134	260471	0.999486
chr08x12	3250001	3500000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	238999	238597	5055	472541	0.989303
chr08x12	3250001	3500000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	21606	241107	124	262589	0.999528
chr08x12	3250001	3500000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	241107	238597	3909	475795	0.991784
chr08x12	3500001	3750000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	239178	180231	2929	416480	0.992967
chr08x12	3500001	3750000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	239178	243345	5601	476922	0.988256
chr08x12	3500001	3750000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	180231	240630	3878	416983	0.990700
chr08x12	3500001	3750000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	240630	243345	4384	479591	0.990859
chr08x12	3750001	4000000	HAP1_chr08	HAP1_chr12	HAP1	HAP1	8	12	242477	238363	4919	475921	0.989664
chr08x12	3750001	4000000	HAP1_chr08	HAP2_chr12	HAP1	HAP2	8	12	242477	239999	6555	475921	0.986227
chr08x12	3750001	4000000	HAP1_chr12	HAP2_chr08	HAP1	HAP2	12	8	238363	236938	3978	471323	0.991560
chr08x12	3750001	4000000	HAP2_chr08	HAP2_chr12	HAP2	HAP2	8	12	236938	239999	6478	470459	0.986230
