unit_a	unit_b	k_sweep	chosen_k	kmers_a	kmers_b	shared	union	jaccard_at_chosen_k	containment_at_chosen_k	distance	containment_p	resolution_limited	k_consistency_spread
HAP1_chr01	HAP1_chr02	11,13,15,17,19,23	23	19859382	23002403	644718	42217067	0.015272	0.032464	0.152338	0.138454	False	0.160339
HAP1_chr01	HAP1_chr03	11,13,15,17,19,23	23	19859382	22109456	919314	41049524	0.022395	0.046291	0.135996	0.125060	False	0.144855
HAP1_chr01	HAP1_chr04	11,13,15,17,19,23	23	19859382	23775311	894261	42740432	0.020923	0.045030	0.138890	0.126111	False	0.147941
HAP1_chr01	HAP1_chr05	11,13,15,17,19,23	23	19859382	20303001	896546	39265837	0.022833	0.045145	0.135173	0.126014	False	0.144246
HAP1_chr01	HAP1_chr06	11,13,15,17,19,23	23	19859382	21637549	713458	40783473	0.017494	0.035925	0.146526	0.134651	False	0.154374
HAP1_chr01	HAP1_chr07	11,13,15,17,19,23	23	19859382	19811780	753671	38917491	0.019366	0.038042	0.142186	0.132495	False	0.150820
HAP1_chr01	HAP1_chr08	11,13,15,17,19,23	23	19859382	19749158	3920819	35687721	0.109865	0.198531	0.070417	0.067882	False	0.068735
HAP1_chr01	HAP1_chr09	11,13,15,17,19,23	23	19859382	19518631	930329	38447684	0.024197	0.047664	0.132708	0.123948	False	0.140150
HAP1_chr01	HAP1_chr10	11,13,15,17,19,23	23	19859382	19393335	904059	38348658	0.023575	0.046617	0.133815	0.124793	False	0.141319
HAP1_chr01	HAP1_chr11	11,13,15,17,19,23	23	19859382	18718516	702678	37875220	0.018552	0.037539	0.144017	0.132996	False	0.153245
HAP1_chr01	HAP1_chr12	11,13,15,17,19,23	23	19859382	18258988	697922	37420448	0.018651	0.038223	0.143791	0.132315	False	0.151270
HAP1_chr01	HAP1_chr13	11,13,15,17,19,23	23	19859382	19146967	748521	38257828	0.019565	0.039093	0.141749	0.131465	False	0.149008
HAP1_chr01	HAP1_chr14	11,13,15,17,19,23	23	19859382	19329760	824126	38365016	0.021481	0.042635	0.137769	0.128184	False	0.146604
HAP1_chr01	HAP1_chr15	11,13,15,17,19,23	23	19859382	19853739	907396	38805725	0.023383	0.045704	0.134161	0.125546	False	0.142413
HAP1_chr01	HAP1_chr16	11,13,15,17,19,23	23	19859382	18979275	628977	38209680	0.016461	0.033140	0.149127	0.137682	False	0.157079
HAP1_chr01	HAP2_chr01	11,13,15,17,19,23	23	19859382	19508386	12895609	26472159	0.487139	0.661029	0.018388	0.017837	False	0.016631
HAP1_chr01	HAP2_chr06	11,13,15,17,19,23	23	19859382	21547678	790752	40616308	0.019469	0.039818	0.141960	0.130772	False	0.150531
HAP1_chr01	HAP2_chr03	11,13,15,17,19,23	23	19859382	22356931	940212	41276101	0.022779	0.047343	0.135274	0.124205	False	0.144151
HAP1_chr01	HAP2_chr11	11,13,15,17,19,23	23	19859382	19496828	720808	38635402	0.018657	0.036971	0.143778	0.133571	False	0.152831
HAP1_chr01	HAP2_chr04	11,13,15,17,19,23	23	19859382	22939001	875384	41922999	0.020881	0.044079	0.138976	0.126921	False	0.147833
HAP1_chr01	HAP2_chr05	11,13,15,17,19,23	23	19859382	20029135	859129	39029388	0.022012	0.043261	0.136729	0.127632	False	0.145870
HAP1_chr01	HAP2_chr02	11,13,15,17,19,23	23	19859382	22234461	719395	41374448	0.017387	0.036224	0.146787	0.134339	False	0.156362
HAP1_chr01	HAP2_chr12	11,13,15,17,19,23	23	19859382	18425462	718331	37566513	0.019122	0.038986	0.142727	0.131570	False	0.150171
HAP1_chr01	HAP2_chr15	11,13,15,17,19,23	23	19859382	19653730	864694	38648418	0.022373	0.043996	0.136038	0.126992	False	0.144357
HAP1_chr01	HAP2_chr09	11,13,15,17,19,23	23	19859382	19320948	934229	38246101	0.024427	0.048353	0.132307	0.123401	False	0.139811
HAP1_chr01	HAP2_chr14	11,13,15,17,19,23	23	19859382	19604994	846437	38617939	0.021918	0.043175	0.136912	0.127708	False	0.145611
HAP1_chr01	HAP2_chr08	11,13,15,17,19,23	23	19859382	19497382	3963051	35393713	0.111970	0.203261	0.069674	0.066928	False	0.067979
HAP1_chr01	HAP2_chr13	11,13,15,17,19,23	23	19859382	19275879	749142	38386119	0.019516	0.038864	0.141857	0.131687	False	0.149233
HAP1_chr01	HAP2_chr10	11,13,15,17,19,23	23	19859382	19389359	926198	38322543	0.024168	0.047768	0.132758	0.123864	False	0.140312
HAP1_chr01	HAP2_chr16	11,13,15,17,19,23	23	19859382	19370227	556835	38672774	0.014399	0.028747	0.154860	0.142997	False	0.161965
HAP1_chr01	HAP2_chr07	11,13,15,17,19,23	23	19859382	19006787	691867	38174302	0.018124	0.036401	0.145015	0.134156	False	0.152492
