group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr11	1	250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	21296	9155	3254	27197	0.880354
chr11	1	250000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	21296	157974	1817	177453	0.989761
chr11	1	250000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	9155	157974	1327	165802	0.991996
chr11	250001	500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	30029	8433	2973	35489	0.916228
chr11	250001	500000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	30029	169590	2522	197097	0.987204
chr11	250001	500000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	8433	169590	1287	176736	0.992718
chr11	500001	750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	9222	18452	3196	24478	0.869434
chr11	500001	750000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	9222	242164	354	251032	0.998590
chr11	500001	750000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	18452	242164	440	260176	0.998309
chr11	750001	1000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	9708	12416	3212	18912	0.830161
chr11	750001	1000000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	9708	8933	1840	16801	0.890483
chr11	750001	1000000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	12416	8933	1512	19837	0.923779
chr11	1000001	1250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	6242	9302	1476	14068	0.895081
chr11	1000001	1250000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	6242	14833	1517	19558	0.922436
chr11	1000001	1250000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	9302	14833	1346	22789	0.940936
chr11	1250001	1500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	8702	7851	3350	13203	0.746270
chr11	1250001	1500000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	8702	125280	1335	132647	0.989936
chr11	1250001	1500000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	7851	125280	1325	131806	0.989947
chr11	1500001	1750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	9612	10282	3866	16028	0.758797
chr11	1500001	1750000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	9612	243271	18	252865	0.999929
chr11	1500001	1750000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	10282	243271	23	253530	0.999909
chr11	1750001	2000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	37028	183302	21931	198399	0.889460
chr11	1750001	2000000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	37028	241758	407	278379	0.998538
chr11	1750001	2000000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	183302	241758	2180	422880	0.994845
chr11	2000001	2250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	211783	185842	39428	358197	0.889926
chr11	2000001	2250000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	211783	240497	3383	448897	0.992464
chr11	2000001	2250000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	185842	240497	2569	423770	0.993938
chr11	2250001	2500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	194426	219372	31456	382342	0.917728
chr11	2250001	2500000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	194426	206042	4757	395711	0.987979
chr11	2250001	2500000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	219372	206042	3638	421776	0.991375
chr11	2500001	2750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	243608	110151	72293	281466	0.743155
chr11	2500001	2750000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	243608	233971	3308	474271	0.993025
chr11	2500001	2750000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	110151	233971	2267	341855	0.993369
chr11	2750001	3000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	47801	16558	4463	59896	0.925488
chr11	2750001	3000000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	47801	242398	1246	288953	0.995688
chr11	2750001	3000000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	16558	242398	98	258858	0.999621
chr11	3000001	3250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	190985	56603	46019	201569	0.771696
chr11	3000001	3250000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	190985	233844	3517	421312	0.991652
chr11	3000001	3250000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	56603	233844	1049	289398	0.996375
chr11	3250001	3500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	235533	242449	90343	387639	0.766940
chr11	3250001	3500000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	235533	239972	4339	471166	0.990791
chr11	3250001	3500000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	242449	239972	4710	477711	0.990140
chr11	3500001	3750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	243000	242017	120364	364653	0.669922
chr11	3500001	3750000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	243000	239707	4871	477836	0.989806
chr11	3500001	3750000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	242017	239707	4892	476832	0.989741
chr11	3750001	4000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	238039	239871	123750	354160	0.650582
chr11	3750001	4000000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	238039	240938	5752	473225	0.987845
chr11	3750001	4000000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	239871	240938	6143	474666	0.987058
chr11	4000001	4250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	209666	163034	59433	313267	0.810280
chr11	4000001	4250000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	209666	240545	5275	444936	0.988144
chr11	4000001	4250000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	163034	240545	2903	400676	0.992755
chr11	4250001	4500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	239513	242812	85037	397288	0.785956
chr11	4250001	4500000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	239513	236172	5703	469982	0.987865
chr11	4250001	4500000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	242812	236172	5048	473936	0.989349
chr11	4500001	4750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	241642	237503	85924	393221	0.781487
chr11	4500001	4750000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	241642	221407	5036	458013	0.989005
chr11	4500001	4750000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	237503	221407	4373	454537	0.990379
chr11	4750001	5000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	238675	236544	62878	412341	0.847510
chr11	4750001	5000000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	238675	241675	3725	476625	0.992185
chr11	4750001	5000000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	236544	241675	4069	474150	0.991418
chr11	5000001	5250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	241021	234775	64972	410824	0.841850
chr11	5000001	5250000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	241021	239712	4653	476080	0.990226
chr11	5000001	5250000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	234775	239712	4429	470058	0.990578
chr11	5250001	5500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	237069	240189	57396	419862	0.863298
chr11	5250001	5500000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	237069	180238	3254	414053	0.992141
chr11	5250001	5500000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	240189	180238	4228	416199	0.989841
chr11	5500001	5750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	243314	237811	72423	408702	0.822798
chr11	5500001	5750000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	243314	241008	4802	479520	0.989986
chr11	5500001	5750000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	237811	241008	4609	474210	0.990281
chr11	5750001	6000000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	239434	239600	58359	420675	0.861273
chr11	5750001	6000000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	239434	243510	5150	477794	0.989221
chr11	5750001	6000000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	239600	243510	6234	476876	0.986927
chr11	6000001	6250000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	221899	239918	48764	413053	0.881943
chr11	6000001	6250000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	221899	229965	3577	448287	0.992021
chr11	6000001	6250000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	239918	229965	4164	465719	0.991059
chr11	6250001	6500000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	241530	240975	67849	414656	0.836373
chr11	6250001	6500000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	241530	241285	5505	477310	0.988467
chr11	6250001	6500000	HAP2_chr11	HAP3_chr11	HAP2	HAP3	11	11	240975	241285	4122	478138	0.991379
chr11	6500001	6750000	HAP1_chr11	HAP2_chr11	HAP1	HAP2	11	11	241639	243376	52811	432204	0.877810
chr11	6500001	6750000	HAP1_chr11	HAP3_chr11	HAP1	HAP3	11	11	241639	228664	4616	465687	0.990088
