group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr33	1	250000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	241411	228223	4562	465072	0.990191
chr33	250001	500000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	237280	231118	5346	463052	0.988455
chr33	500001	750000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	243939	239684	3192	480431	0.993356
chr33	750001	1000000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	234622	239557	6383	467796	0.986355
chr33	1000001	1250000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	232344	237127	5945	463526	0.987174
chr33	1250001	1500000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	186947	242647	3055	426539	0.992838
chr33	1500001	1750000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	241625	236450	3799	474276	0.991990
chr33	1750001	2000000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	236119	242018	3207	474930	0.993247
chr33	2000001	2250000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	232386	237519	5631	464274	0.987871
chr33	2250001	2500000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	241100	238402	5649	473853	0.988079
chr33	2500001	2750000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	243753	241154	5706	479201	0.988093
chr33	2750001	3000000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	239711	240650	5526	474835	0.988362
chr33	3000001	3250000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	237717	242634	8767	471584	0.981409
chr33	3250001	3500000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	234890	238480	3788	469582	0.991933
chr33	3500001	3750000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	240949	237516	5024	473441	0.989388
chr33	3750001	4000000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	244346	238235	4331	478250	0.990944
chr33	4000001	4250000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	243807	233800	4087	473520	0.991369
chr33	4250001	4500000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	239104	242973	4039	478038	0.991551
chr33	4500001	4750000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	244404	235602	4859	475147	0.989774
chr33	4750001	5000000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	243983	239926	3297	480612	0.993140
chr33	5000001	5250000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	243111	240022	5411	477722	0.988673
chr33	5250001	5500000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	243411	242538	3183	482766	0.993407
chr33	5500001	5750000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	239204	244661	4376	479489	0.990874
chr33	5750001	6000000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	242558	243207	4159	481606	0.991364
chr33	6000001	6250000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	235767	244940	3950	476757	0.991715
chr33	6250001	6500000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	236177	233479	4541	465115	0.990237
chr33	6500001	6750000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	239175	238176	3228	474123	0.993192
chr33	6750001	7000000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	237674	223793	5111	456356	0.988800
chr33	7000001	7250000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	234806	238215	4371	468650	0.990673
chr33	7250001	7500000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	237861	243497	53584	427774	0.874738
chr33	7500001	7750000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	240126	230680	4456	466350	0.990445
chr33	7750001	8000000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	243698	239910	3291	480317	0.993148
chr33	8000001	8250000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	237029	242092	4489	474632	0.990542
chr33	8250001	8500000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	244117	238849	4417	478549	0.990770
chr33	8500001	8750000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	243342	241196	4798	479740	0.989999
chr33	8750001	9000000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	242617	236219	5289	473547	0.988831
chr33	9000001	9250000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	241282	245779	3365	483696	0.993043
chr33	9250001	9500000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	239766	243149	5323	477592	0.988855
chr33	9500001	9750000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	245420	244922	3441	486901	0.992933
chr33	9750001	10000000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	234469	241148	5611	470006	0.988062
chr33	10000001	10250000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	239120	240772	4287	475605	0.990986
chr33	10250001	10500000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	230774	240622	6847	464549	0.985261
chr33	10500001	10750000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	239129	237216	4509	471836	0.990444
chr33	10750001	11000000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	238110	243301	5276	476135	0.988919
chr33	11000001	11250000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	241618	235992	6088	471522	0.987089
chr33	11250001	11500000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	242648	243414	5682	480380	0.988172
chr33	11500001	11750000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	239969	239560	5591	473938	0.988203
chr33	11750001	12000000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	238951	240378	6836	472493	0.985532
chr33	12000001	12250000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	239205	239520	5180	473545	0.989061
chr33	12250001	12500000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	240813	237017	5683	472147	0.987963
chr33	12500001	12750000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	241197	237884	5395	473686	0.988611
chr33	12750001	13000000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	237670	236372	3550	470492	0.992455
chr33	13000001	13250000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	242269	232986	3744	471511	0.992060
chr33	13250001	13500000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	228264	172057	2859	397462	0.992807
chr33	13500001	13750000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	241000	234453	6260	469193	0.986658
chr33	13750001	14000000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	236103	238426	5698	468831	0.987846
chr33	14000001	14250000	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	236982	241300	4057	474225	0.991445
chr33	14250001	14386534	HAP1_chr33	HAP2_chr33	HAP1	HAP2	33	33	123534	133796	3033	254297	0.988073
