group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr27x29	1	250000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	237941	236848	3674	471115	0.992201
chr27x29	1	250000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	237941	238976	8732	468185	0.981349
chr27x29	1	250000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	236848	218034	44190	410692	0.892401
chr27x29	1	250000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	218034	238976	52111	404899	0.871299
chr27x29	250001	500000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	238376	236151	3196	471331	0.993219
chr27x29	250001	500000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	238376	243505	2954	478927	0.993832
chr27x29	250001	500000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	236151	242927	44661	434417	0.897193
chr27x29	250001	500000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	242927	243505	59090	427342	0.861727
chr27x29	500001	750000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	243794	227757	3387	468164	0.992765
chr27x29	500001	750000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	243794	229049	3643	469200	0.992236
chr27x29	500001	750000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	227757	240904	53581	415080	0.870914
chr27x29	500001	750000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	240904	229049	58081	411872	0.858983
chr27x29	750001	1000000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	229171	229768	4846	454093	0.989328
chr27x29	750001	1000000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	229171	229620	5667	453124	0.987493
chr27x29	750001	1000000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	229768	224003	33754	420017	0.919637
chr27x29	750001	1000000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	224003	229620	43200	410423	0.894743
chr27x29	1000001	1250000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	210625	229261	4964	434922	0.988586
chr27x29	1000001	1250000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	210625	211983	5765	416843	0.986170
chr27x29	1000001	1250000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	229261	240265	49430	420096	0.882336
chr27x29	1000001	1250000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	240265	211983	42220	410028	0.897031
chr27x29	1250001	1500000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	238159	242893	3847	477205	0.991938
chr27x29	1250001	1500000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	238159	235440	4081	469518	0.991308
chr27x29	1250001	1500000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	242893	240143	69425	413611	0.832149
chr27x29	1250001	1500000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	240143	235440	67116	408467	0.835688
chr27x29	1500001	1750000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	240172	245089	3855	481406	0.991992
chr27x29	1500001	1750000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	240172	240582	3798	476956	0.992037
chr27x29	1500001	1750000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	245089	239061	61455	422695	0.854611
chr27x29	1500001	1750000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	239061	240582	70249	409394	0.828407
chr27x29	1750001	2000000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	240488	244710	3913	481285	0.991870
chr27x29	1750001	2000000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	240488	245103	3600	481991	0.992531
chr27x29	1750001	2000000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	244710	240173	54080	430803	0.874467
chr27x29	1750001	2000000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	240173	245103	75943	409333	0.814471
chr27x29	2000001	2250000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	237396	238090	4525	470961	0.990392
chr27x29	2000001	2250000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	237396	240281	4953	472724	0.989522
chr27x29	2000001	2250000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	238090	241879	49984	429985	0.883754
chr27x29	2000001	2250000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	241879	240281	74060	408100	0.818525
chr27x29	2250001	2500000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	236362	236977	5825	467514	0.987540
chr27x29	2250001	2500000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	236362	237754	3753	470363	0.992021
chr27x29	2250001	2500000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	236977	226828	23901	439904	0.945668
chr27x29	2250001	2500000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	226828	237754	54408	410174	0.867354
chr27x29	2500001	2750000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	232948	239806	4624	468130	0.990122
chr27x29	2500001	2750000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	232948	236304	5107	464145	0.988997
chr27x29	2500001	2750000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	239806	225577	8930	456453	0.980436
chr27x29	2500001	2750000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	225577	236304	30354	431527	0.929659
chr27x29	2750001	3000000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	243196	242385	5246	480335	0.989078
chr27x29	2750001	3000000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	243196	242629	4624	481201	0.990391
chr27x29	2750001	3000000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	242385	242534	6781	478138	0.985818
chr27x29	2750001	3000000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	242534	242629	27918	457245	0.938943
chr27x29	3000001	3250000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	234721	237965	5459	467227	0.988316
chr27x29	3000001	3250000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	234721	241837	5798	470760	0.987684
chr27x29	3000001	3250000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	237965	240491	4556	473900	0.990386
chr27x29	3000001	3250000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	240491	241837	27991	454337	0.938392
chr27x29	3250001	3500000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	217099	243701	3521	457279	0.992300
chr27x29	3250001	3500000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	217099	242123	3592	455630	0.992116
chr27x29	3250001	3500000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	243701	241540	4788	480453	0.990034
chr27x29	3250001	3500000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	241540	242123	24114	459549	0.947527
chr27x29	3500001	3750000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	234479	244036	6081	472434	0.987128
chr27x29	3500001	3750000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	234479	244359	5533	473305	0.988310
chr27x29	3500001	3750000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	244036	237536	4161	477411	0.991284
chr27x29	3500001	3750000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	237536	244359	27251	454644	0.940061
chr27x29	3750001	4000000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	241278	240779	4374	477683	0.990843
chr27x29	3750001	4000000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	241278	242282	4033	479527	0.991590
chr27x29	3750001	4000000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	240779	242080	3569	479290	0.992554
chr27x29	3750001	4000000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	242080	242282	21442	462920	0.953681
chr27x29	4000001	4250000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	226277	237850	4726	459401	0.989713
chr27x29	4000001	4250000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	226277	238900	4587	460590	0.990041
chr27x29	4000001	4250000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	237850	242678	3877	476651	0.991866
chr27x29	4000001	4250000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	242678	238900	29251	452327	0.935332
chr27x29	4250001	4500000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	239908	243143	4909	478142	0.989733
chr27x29	4250001	4500000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	239908	244457	4343	480022	0.990952
chr27x29	4250001	4500000	HAP1_chr29	HAP2_chr27	HAP1	HAP2	29	27	243143	228362	5225	466280	0.988794
chr27x29	4250001	4500000	HAP2_chr27	HAP2_chr29	HAP2	HAP2	27	29	228362	244457	6931	465888	0.985123
chr27x29	4500001	4750000	HAP1_chr27	HAP1_chr29	HAP1	HAP1	27	29	235235	241350	4985	471600	0.989430
chr27x29	4500001	4750000	HAP1_chr27	HAP2_chr29	HAP1	HAP2	27	29	235235	234471	6099	463607	0.986844
