chrom_a	chrom_b	mean_distance	z_score	p_value	q_value	n_haplotype_copy_pairs	resolution_limited	n_resolution_limited_of_total
chr01	chr03	0.056847	-5.550	1.42807e-08	1.38191e-06	1	False	0/1
chr08	chr14	0.057360	-5.479	2.13973e-08	1.38191e-06	1	False	0/1
chr10	chr12	0.057491	-5.461	2.37061e-08	1.38191e-06	1	False	0/1
chr04	chr13	0.057503	-5.459	2.39293e-08	1.38191e-06	1	False	0/1
chr06	chr07	0.057938	-5.399	3.35474e-08	1.54989e-06	1	False	0/1
chr20	chr22	0.058298	-5.349	4.42518e-08	1.7037e-06	1	False	0/1
chr15	chr19	0.058846	-5.273	6.71422e-08	2.21569e-06	1	False	0/1
chr02	chr05	0.059229	-5.220	8.95568e-08	2.58595e-06	1	False	0/1
chr11	chr16	0.059590	-5.170	1.172e-07	3.00814e-06	1	False	0/1
chr18	chr21	0.061454	-4.911	4.52285e-07	1.04478e-05	1	False	0/1
chr09	chr17	0.064258	-4.523	3.05419e-06	6.41379e-05	1	False	0/1
