chrom	unit_a	unit_b	hap_a	hap_b	distance	resolution_limited
chr01	HAP1_chr01	HAP2_chr01	HAP1	HAP2	0.024948	False
chr01	HAP1_chr01	HAP3_chr01	HAP1	HAP3	0.024175	False
chr01	HAP1_chr01	HAP4_chr01	HAP1	HAP4	0.021641	False
chr01	HAP2_chr01	HAP3_chr01	HAP2	HAP3	0.022905	False
chr01	HAP2_chr01	HAP4_chr01	HAP2	HAP4	0.024740	False
chr01	HAP3_chr01	HAP4_chr01	HAP3	HAP4	0.024480	False
chr02	HAP1_chr02	HAP2_chr02	HAP1	HAP2	0.024417	False
chr02	HAP1_chr02	HAP3_chr02	HAP1	HAP3	0.023964	False
chr02	HAP1_chr02	HAP4_chr02	HAP1	HAP4	0.022209	False
chr02	HAP2_chr02	HAP3_chr02	HAP2	HAP3	0.021214	False
chr02	HAP2_chr02	HAP4_chr02	HAP2	HAP4	0.023857	False
chr02	HAP3_chr02	HAP4_chr02	HAP3	HAP4	0.023906	False
chr03	HAP1_chr03	HAP2_chr03	HAP1	HAP2	0.029619	False
chr03	HAP1_chr03	HAP3_chr03	HAP1	HAP3	0.030584	False
chr03	HAP1_chr03	HAP4_chr03	HAP1	HAP4	0.028729	False
chr03	HAP2_chr03	HAP3_chr03	HAP2	HAP3	0.028799	False
chr03	HAP2_chr03	HAP4_chr03	HAP2	HAP4	0.028404	False
chr03	HAP3_chr03	HAP4_chr03	HAP3	HAP4	0.030419	False
chr04	HAP1_chr04	HAP2_chr04	HAP1	HAP2	0.018233	False
chr04	HAP1_chr04	HAP3_chr04	HAP1	HAP3	0.025779	False
chr04	HAP1_chr04	HAP4_chr04	HAP1	HAP4	0.025065	False
chr04	HAP2_chr04	HAP3_chr04	HAP2	HAP3	0.025503	False
chr04	HAP2_chr04	HAP4_chr04	HAP2	HAP4	0.026146	False
chr04	HAP3_chr04	HAP4_chr04	HAP3	HAP4	0.021050	False
chr05	HAP1_chr05	HAP2_chr05	HAP1	HAP2	0.025562	False
chr05	HAP1_chr05	HAP3_chr05	HAP1	HAP3	0.024280	False
chr05	HAP1_chr05	HAP4_chr05	HAP1	HAP4	0.010720	False
chr05	HAP2_chr05	HAP3_chr05	HAP2	HAP3	0.029692	False
chr05	HAP2_chr05	HAP4_chr05	HAP2	HAP4	0.030088	False
chr05	HAP3_chr05	HAP4_chr05	HAP3	HAP4	0.024223	False
chr06	HAP1_chr06	HAP2_chr06	HAP1	HAP2	0.028517	False
chr06	HAP1_chr06	HAP3_chr06	HAP1	HAP3	0.028679	False
chr06	HAP1_chr06	HAP4_chr06	HAP1	HAP4	0.028904	False
chr06	HAP2_chr06	HAP3_chr06	HAP2	HAP3	0.027920	False
chr06	HAP2_chr06	HAP4_chr06	HAP2	HAP4	0.030214	False
chr06	HAP3_chr06	HAP4_chr06	HAP3	HAP4	0.029257	False
chr07	HAP1_chr07	HAP2_chr07	HAP1	HAP2	0.025528	False
chr07	HAP1_chr07	HAP3_chr07	HAP1	HAP3	0.026672	False
chr07	HAP1_chr07	HAP4_chr07	HAP1	HAP4	0.025403	False
chr07	HAP2_chr07	HAP3_chr07	HAP2	HAP3	0.019371	False
chr07	HAP2_chr07	HAP4_chr07	HAP2	HAP4	0.016470	False
chr07	HAP3_chr07	HAP4_chr07	HAP3	HAP4	0.021683	False
chr08	HAP1_chr08	HAP2_chr08	HAP1	HAP2	0.030059	False
chr08	HAP1_chr08	HAP3_chr08	HAP1	HAP3	0.029911	False
chr08	HAP1_chr08	HAP4_chr08	HAP1	HAP4	0.028284	False
chr08	HAP2_chr08	HAP3_chr08	HAP2	HAP3	0.009395	False
chr08	HAP2_chr08	HAP4_chr08	HAP2	HAP4	0.029224	False
chr08	HAP3_chr08	HAP4_chr08	HAP3	HAP4	0.029383	False
chr09	HAP1_chr09	HAP2_chr09	HAP1	HAP2	0.021220	False
chr09	HAP1_chr09	HAP3_chr09	HAP1	HAP3	0.029891	False
chr09	HAP1_chr09	HAP4_chr09	HAP1	HAP4	0.030285	False
chr09	HAP2_chr09	HAP3_chr09	HAP2	HAP3	0.028288	False
chr09	HAP2_chr09	HAP4_chr09	HAP2	HAP4	0.030100	False
chr09	HAP3_chr09	HAP4_chr09	HAP3	HAP4	0.029142	False
chr10	HAP1_chr10	HAP2_chr10	HAP1	HAP2	0.026897	False
chr10	HAP1_chr10	HAP3_chr10	HAP1	HAP3	0.028181	False
chr10	HAP1_chr10	HAP4_chr10	HAP1	HAP4	0.029156	False
chr10	HAP2_chr10	HAP3_chr10	HAP2	HAP3	0.022018	False
chr10	HAP2_chr10	HAP4_chr10	HAP2	HAP4	0.025180	False
chr10	HAP3_chr10	HAP4_chr10	HAP3	HAP4	0.024558	False
chr11	HAP1_chr11	HAP2_chr11	HAP1	HAP2	0.028690	False
chr11	HAP1_chr11	HAP3_chr11	HAP1	HAP3	0.026000	False
chr11	HAP1_chr11	HAP4_chr11	HAP1	HAP4	0.030086	False
chr11	HAP2_chr11	HAP3_chr11	HAP2	HAP3	0.023614	False
chr11	HAP2_chr11	HAP4_chr11	HAP2	HAP4	0.029107	False
chr11	HAP3_chr11	HAP4_chr11	HAP3	HAP4	0.029597	False
chr12	HAP1_chr12	HAP2_chr12	HAP1	HAP2	0.026723	False
chr12	HAP1_chr12	HAP3_chr12	HAP1	HAP3	0.027535	False
chr12	HAP1_chr12	HAP4_chr12	HAP1	HAP4	0.014020	False
chr12	HAP2_chr12	HAP3_chr12	HAP2	HAP3	0.025673	False
chr12	HAP2_chr12	HAP4_chr12	HAP2	HAP4	0.024860	False
chr12	HAP3_chr12	HAP4_chr12	HAP3	HAP4	0.028336	False
chr13	HAP1_chr13	HAP2_chr13	HAP1	HAP2	0.024354	False
chr13	HAP1_chr13	HAP3_chr13	HAP1	HAP3	0.025959	False
chr13	HAP1_chr13	HAP4_chr13	HAP1	HAP4	0.026045	False
chr13	HAP2_chr13	HAP3_chr13	HAP2	HAP3	0.023978	False
chr13	HAP2_chr13	HAP4_chr13	HAP2	HAP4	0.022315	False
chr13	HAP3_chr13	HAP4_chr13	HAP3	HAP4	0.025805	False
chr14	HAP1_chr14	HAP2_chr14	HAP1	HAP2	0.027645	False
chr14	HAP1_chr14	HAP3_chr14	HAP1	HAP3	0.028020	False
chr14	HAP1_chr14	HAP4_chr14	HAP1	HAP4	0.026472	False
chr14	HAP2_chr14	HAP3_chr14	HAP2	HAP3	0.027023	False
chr14	HAP2_chr14	HAP4_chr14	HAP2	HAP4	0.025804	False
chr14	HAP3_chr14	HAP4_chr14	HAP3	HAP4	0.025961	False
chr15	HAP1_chr15	HAP2_chr15	HAP1	HAP2	0.030074	False
chr15	HAP1_chr15	HAP3_chr15	HAP1	HAP3	0.029005	False
chr15	HAP1_chr15	HAP4_chr15	HAP1	HAP4	0.028524	False
chr15	HAP2_chr15	HAP3_chr15	HAP2	HAP3	0.031901	False
chr15	HAP2_chr15	HAP4_chr15	HAP2	HAP4	0.029686	False
chr15	HAP3_chr15	HAP4_chr15	HAP3	HAP4	0.030469	False
chr16	HAP1_chr16	HAP2_chr16	HAP1	HAP2	0.030029	False
chr16	HAP1_chr16	HAP3_chr16	HAP1	HAP3	0.029333	False
chr16	HAP1_chr16	HAP4_chr16	HAP1	HAP4	0.029909	False
chr16	HAP2_chr16	HAP3_chr16	HAP2	HAP3	0.025501	False
chr16	HAP2_chr16	HAP4_chr16	HAP2	HAP4	0.022722	False
chr16	HAP3_chr16	HAP4_chr16	HAP3	HAP4	0.025872	False
chr17	HAP1_chr17	HAP2_chr17	HAP1	HAP2	0.026021	False
chr17	HAP1_chr17	HAP3_chr17	HAP1	HAP3	0.029115	False
chr17	HAP1_chr17	HAP4_chr17	HAP1	HAP4	0.030972	False
chr17	HAP2_chr17	HAP3_chr17	HAP2	HAP3	0.028818	False
chr17	HAP2_chr17	HAP4_chr17	HAP2	HAP4	0.029031	False
chr17	HAP3_chr17	HAP4_chr17	HAP3	HAP4	0.027026	False
chr18	HAP1_chr18	HAP2_chr18	HAP1	HAP2	0.029575	False
chr18	HAP1_chr18	HAP3_chr18	HAP1	HAP3	0.026858	False
chr18	HAP1_chr18	HAP4_chr18	HAP1	HAP4	0.028047	False
chr18	HAP2_chr18	HAP3_chr18	HAP2	HAP3	0.026448	False
chr18	HAP2_chr18	HAP4_chr18	HAP2	HAP4	0.030002	False
chr18	HAP3_chr18	HAP4_chr18	HAP3	HAP4	0.026598	False
chr19	HAP1_chr19	HAP2_chr19	HAP1	HAP2	0.029583	False
chr19	HAP1_chr19	HAP3_chr19	HAP1	HAP3	0.027446	False
chr19	HAP1_chr19	HAP4_chr19	HAP1	HAP4	0.030778	False
chr19	HAP2_chr19	HAP3_chr19	HAP2	HAP3	0.029172	False
chr19	HAP2_chr19	HAP4_chr19	HAP2	HAP4	0.026978	False
chr19	HAP3_chr19	HAP4_chr19	HAP3	HAP4	0.027753	False
