group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr13	1	250000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	214108	214108	214108	214108	0.000000
chr13	250001	500000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	236820	236820	236805	236835	0.000127
chr13	500001	750000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	241548	241548	241548	241548	0.000000
chr13	750001	1000000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	236872	236872	236872	236872	0.000000
chr13	1000001	1250000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	246090	246090	246075	246105	0.000122
chr13	1250001	1500000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	230848	230849	230834	230863	0.000126
chr13	1500001	1750000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	238569	238569	238569	238569	0.000000
chr13	1750001	2000000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	230474	230471	230445	230500	0.000239
chr13	2000001	2250000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	241043	241043	241043	241043	0.000000
chr13	2250001	2500000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	237853	237853	237853	237853	0.000000
chr13	2500001	2750000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	234955	234955	234955	234955	0.000000
chr13	2750001	3000000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	240864	240864	240811	240917	0.000440
chr13	3000001	3250000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	229229	229229	229227	229231	0.000017
chr13	3250001	3500000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	237189	237189	237172	237206	0.000143
chr13	3500001	3750000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	237810	237810	237808	237812	0.000017
chr13	3750001	4000000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	232271	232271	232269	232273	0.000017
chr13	4000001	4250000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	224393	224393	224362	224424	0.000276
chr13	4250001	4500000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	233554	233554	233552	233556	0.000017
chr13	4500001	4750000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	238301	238301	238299	238303	0.000017
chr13	4750001	5000000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	241468	241468	241451	241485	0.000141
chr13	5000001	5250000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	217466	217466	217464	217468	0.000018
chr13	5250001	5500000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	209778	209778	209776	209780	0.000019
chr13	5500001	5750000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	212228	212226	212226	212228	0.000009
chr13	5750001	6000000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	219400	219402	219400	219402	0.000009
chr13	6000001	6250000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	219366	219366	219364	219368	0.000018
chr13	6250001	6500000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	226329	226327	226327	226329	0.000009
chr13	6500001	6750000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	118153	6625	2769	122009	0.977305
chr13	6750001	7000000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	228854	167875	55519	341210	0.837288
chr13	7000001	7250000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	226433	216911	45414	397930	0.885874
chr13	7250001	7500000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	235257	234122	50614	418765	0.879135
chr13	7500001	7750000	HAP1_chr13	HAP2_chr13	HAP1	HAP2	13	13	217139	235111	50210	402040	0.875112
