group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr13x14	1	250000	HAP1_chr13	HAP1_chr14	HAP1	HAP1	13	14	223954	240100	3238	460816	0.992973
chr13x14	1	250000	HAP1_chr13	HAP2_chr14	HAP1	HAP2	13	14	223954	245274	2292	466936	0.995091
chr13x14	1	250000	HAP1_chr14	HAP2_chr13	HAP1	HAP2	14	13	240100	235416	3378	472138	0.992845
chr13x14	1	250000	HAP2_chr13	HAP2_chr14	HAP2	HAP2	13	14	235416	245274	2397	478293	0.994988
chr13x14	250001	500000	HAP1_chr13	HAP1_chr14	HAP1	HAP1	13	14	237978	243092	4109	476961	0.991385
chr13x14	250001	500000	HAP1_chr13	HAP2_chr14	HAP1	HAP2	13	14	237978	241010	6118	472870	0.987062
chr13x14	250001	500000	HAP1_chr14	HAP2_chr13	HAP1	HAP2	14	13	243092	238684	3176	478600	0.993364
chr13x14	250001	500000	HAP2_chr13	HAP2_chr14	HAP2	HAP2	13	14	238684	241010	4797	474897	0.989899
chr13x14	500001	750000	HAP1_chr13	HAP1_chr14	HAP1	HAP1	13	14	241692	245889	3082	484499	0.993639
chr13x14	500001	750000	HAP1_chr13	HAP2_chr14	HAP1	HAP2	13	14	241692	246551	2410	485833	0.995039
chr13x14	500001	750000	HAP1_chr14	HAP2_chr13	HAP1	HAP2	14	13	245889	241620	2812	484697	0.994198
chr13x14	500001	750000	HAP2_chr13	HAP2_chr14	HAP2	HAP2	13	14	241620	246551	2198	485973	0.995477
chr13x14	750001	1000000	HAP1_chr13	HAP1_chr14	HAP1	HAP1	13	14	243174	244729	2336	485567	0.995189
chr13x14	750001	1000000	HAP1_chr13	HAP2_chr14	HAP1	HAP2	13	14	243174	244630	2304	485500	0.995254
chr13x14	750001	1000000	HAP1_chr14	HAP2_chr13	HAP1	HAP2	14	13	244729	238702	1954	481477	0.995942
chr13x14	750001	1000000	HAP2_chr13	HAP2_chr14	HAP2	HAP2	13	14	238702	244630	2235	481097	0.995354
chr13x14	1000001	1250000	HAP1_chr13	HAP1_chr14	HAP1	HAP1	13	14	234092	244154	2777	475469	0.994159
chr13x14	1000001	1250000	HAP1_chr13	HAP2_chr14	HAP1	HAP2	13	14	234092	238390	3168	469314	0.993250
chr13x14	1000001	1250000	HAP1_chr14	HAP2_chr13	HAP1	HAP2	14	13	244154	237041	2456	478739	0.994870
chr13x14	1000001	1250000	HAP2_chr13	HAP2_chr14	HAP2	HAP2	13	14	237041	238390	2734	472697	0.994216
chr13x14	1250001	1500000	HAP1_chr13	HAP1_chr14	HAP1	HAP1	13	14	239290	245853	2837	482306	0.994118
chr13x14	1250001	1500000	HAP1_chr13	HAP2_chr14	HAP1	HAP2	13	14	239290	244369	2109	481550	0.995620
chr13x14	1250001	1500000	HAP1_chr14	HAP2_chr13	HAP1	HAP2	14	13	245853	240284	3909	482228	0.991894
chr13x14	1250001	1500000	HAP2_chr13	HAP2_chr14	HAP2	HAP2	13	14	240284	244369	3512	481141	0.992701
chr13x14	1500001	1750000	HAP1_chr13	HAP1_chr14	HAP1	HAP1	13	14	222463	246525	2243	466745	0.995194
chr13x14	1500001	1750000	HAP1_chr13	HAP2_chr14	HAP1	HAP2	13	14	222463	240985	3731	459717	0.991884
chr13x14	1500001	1750000	HAP1_chr14	HAP2_chr13	HAP1	HAP2	14	13	246525	230703	1943	475285	0.995912
chr13x14	1500001	1750000	HAP2_chr13	HAP2_chr14	HAP2	HAP2	13	14	230703	240985	3225	468463	0.993116
chr13x14	1750001	2000000	HAP1_chr13	HAP1_chr14	HAP1	HAP1	13	14	206113	242033	1637	446509	0.996334
chr13x14	1750001	2000000	HAP1_chr13	HAP2_chr14	HAP1	HAP2	13	14	206113	245501	1957	449657	0.995648
chr13x14	1750001	2000000	HAP1_chr14	HAP2_chr13	HAP1	HAP2	14	13	242033	241727	3990	479770	0.991684
chr13x14	1750001	2000000	HAP2_chr13	HAP2_chr14	HAP2	HAP2	13	14	241727	245501	6142	481086	0.987233
chr13x14	2000001	2250000	HAP1_chr13	HAP1_chr14	HAP1	HAP1	13	14	239028	247290	4567	481751	0.990520
chr13x14	2000001	2250000	HAP1_chr13	HAP2_chr14	HAP1	HAP2	13	14	239028	244432	4441	479019	0.990729
chr13x14	2000001	2250000	HAP1_chr14	HAP2_chr13	HAP1	HAP2	14	13	247290	226636	3041	470885	0.993542
chr13x14	2000001	2250000	HAP2_chr13	HAP2_chr14	HAP2	HAP2	13	14	226636	244432	3173	467895	0.993219
chr13x14	2250001	2500000	HAP1_chr13	HAP1_chr14	HAP1	HAP1	13	14	181590	202066	6334	377322	0.983213
chr13x14	2250001	2500000	HAP1_chr13	HAP2_chr14	HAP1	HAP2	13	14	181590	204104	5471	380223	0.985611
chr13x14	2250001	2500000	HAP1_chr14	HAP2_chr13	HAP1	HAP2	14	13	202066	224919	2589	424396	0.993900
chr13x14	2250001	2500000	HAP2_chr13	HAP2_chr14	HAP2	HAP2	13	14	224919	204104	2330	426693	0.994539
chr13x14	2500001	2750000	HAP1_chr13	HAP1_chr14	HAP1	HAP1	13	14	215406	238712	5379	448739	0.988013
chr13x14	2500001	2750000	HAP1_chr13	HAP2_chr14	HAP1	HAP2	13	14	215406	223814	3856	435364	0.991143
chr13x14	2500001	2750000	HAP1_chr14	HAP2_chr13	HAP1	HAP2	14	13	238712	229458	5909	462261	0.987217
