chrom	win_start	win_end	unit_a	unit_b	hap_a	hap_b	kmers_a	kmers_b	shared	union	jaccard_distance
5	1	250000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	7534	18661	4250	21945	0.806334
5	250001	500000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	39294	5509	2435	42368	0.942527
5	500001	750000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	216805	5604	6	222403	0.999973
5	750001	1000000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	237893	76508	1120	313281	0.996425
5	1000001	1250000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	240817	226971	4577	463211	0.990119
5	1250001	1500000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	241707	236978	3379	475306	0.992891
5	1500001	1750000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	238313	236575	4789	470099	0.989813
5	1750001	2000000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	232408	243475	3873	472010	0.991795
5	2000001	2250000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	205038	238566	3219	440385	0.992690
5	2250001	2500000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	245712	215308	2500	458520	0.994548
5	2500001	2750000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	243525	223737	2653	464609	0.994290
5	2750001	3000000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	240636	234316	3298	471654	0.993008
5	3000001	3250000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	244710	230254	2829	472135	0.994008
5	3250001	3500000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	240718	230552	2718	468552	0.994199
5	3500001	3750000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	242445	244155	3051	483549	0.993690
5	3750001	4000000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	245245	245774	2774	488245	0.994318
5	4000001	4250000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	240515	236397	2993	473919	0.993685
5	4250001	4500000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	225728	240541	3891	462378	0.991585
5	4500001	4750000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	240802	234285	3068	472019	0.993500
5	4750001	5000000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	239241	240166	2841	476566	0.994039
5	5000001	5250000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	241647	217671	2965	456353	0.993503
5	5250001	5500000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	182943	243111	1734	424320	0.995913
5	5500001	5750000	HAP1_chr05	HAP2_chr05	HAP1	HAP2	232004	237871	2891	466984	0.993809
