group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr01x02	1	250000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	230944	231677	45699	416922	0.890390
chr01x02	1	250000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	230944	241507	2568	469883	0.994535
chr01x02	1	250000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	231677	228596	3650	456623	0.992007
chr01x02	1	250000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	228596	241507	83803	386300	0.783062
chr01x02	250001	500000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	238603	238943	61365	416181	0.852552
chr01x02	250001	500000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	238603	240135	2418	476320	0.994924
chr01x02	250001	500000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	238943	232445	3025	468363	0.993541
chr01x02	250001	500000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	232445	240135	73281	399299	0.816476
chr01x02	500001	750000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	220733	229470	67182	383021	0.824600
chr01x02	500001	750000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	220733	246787	2201	465319	0.995270
chr01x02	500001	750000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	229470	245732	2049	473153	0.995669
chr01x02	500001	750000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	245732	246787	86769	405750	0.786152
chr01x02	750001	1000000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	243386	238873	107617	374642	0.712747
chr01x02	750001	1000000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	243386	214615	1924	456077	0.995781
chr01x02	750001	1000000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	238873	239232	2042	476063	0.995711
chr01x02	750001	1000000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	239232	214615	75636	378211	0.800016
chr01x02	1000001	1250000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	237024	235494	80856	391662	0.793557
chr01x02	1000001	1250000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	237024	242080	2316	476788	0.995142
chr01x02	1000001	1250000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	235494	236755	4315	467934	0.990779
chr01x02	1000001	1250000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	236755	242080	72162	406673	0.822555
chr01x02	1250001	1500000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	238380	231772	91945	378207	0.756892
chr01x02	1250001	1500000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	238380	241241	4275	475346	0.991007
chr01x02	1250001	1500000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	231772	243052	2568	472256	0.994562
chr01x02	1250001	1500000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	243052	241241	73503	410790	0.821069
chr01x02	1500001	1750000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	208855	220042	59921	368976	0.837602
chr01x02	1500001	1750000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	208855	233644	2573	439926	0.994151
chr01x02	1500001	1750000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	220042	224132	3581	440593	0.991872
chr01x02	1500001	1750000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	224132	233644	47520	410256	0.884170
chr01x02	1750001	2000000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	224351	228417	30700	422068	0.927263
chr01x02	1750001	2000000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	224351	237175	2379	459147	0.994819
chr01x02	1750001	2000000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	228417	244209	1777	470849	0.996226
chr01x02	1750001	2000000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	244209	237175	61250	420134	0.854213
chr01x02	2000001	2250000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	221187	200199	29665	391721	0.924270
chr01x02	2000001	2250000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	221187	243166	1757	462596	0.996202
chr01x02	2000001	2250000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	200199	228971	2640	426530	0.993811
chr01x02	2000001	2250000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	228971	243166	41407	430730	0.903868
chr01x02	2250001	2500000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	241859	220777	17919	444717	0.959707
chr01x02	2250001	2500000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	241859	207500	1965	447394	0.995608
chr01x02	2250001	2500000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	220777	237808	4542	454043	0.989997
chr01x02	2250001	2500000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	237808	207500	15316	429992	0.964381
chr01x02	2500001	2750000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	185849	240965	7295	419519	0.982611
chr01x02	2500001	2750000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	185849	235902	2437	419314	0.994188
chr01x02	2500001	2750000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	240965	236541	2230	475276	0.995308
chr01x02	2500001	2750000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	236541	235902	42791	429652	0.900405
chr01x02	2750001	3000000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	235009	240450	50674	424785	0.880707
chr01x02	2750001	3000000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	235009	231153	2609	463553	0.994372
chr01x02	2750001	3000000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	240450	222865	2215	461100	0.995196
chr01x02	2750001	3000000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	222865	231153	35602	418416	0.914912
chr01x02	3000001	3250000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	234187	238321	74782	397726	0.811976
chr01x02	3000001	3250000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	234187	240078	2045	472220	0.995669
chr01x02	3000001	3250000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	238321	230514	1913	466922	0.995903
chr01x02	3000001	3250000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	230514	240078	25449	445143	0.942830
chr01x02	3250001	3500000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	225224	224314	42678	406860	0.895104
chr01x02	3250001	3500000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	225224	237725	2475	460474	0.994625
chr01x02	3250001	3500000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	224314	239133	4160	459287	0.990942
chr01x02	3250001	3500000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	239133	237725	17955	458903	0.960874
chr01x02	3500001	3750000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	218540	204139	61385	361294	0.830097
chr01x02	3500001	3750000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	218540	236400	2745	452195	0.993930
chr01x02	3500001	3750000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	204139	242288	2427	444000	0.994534
chr01x02	3500001	3750000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	242288	236400	10840	467848	0.976830
chr01x02	3750001	4000000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	238480	241741	78080	402141	0.805839
chr01x02	3750001	4000000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	238480	244617	2765	480332	0.994244
chr01x02	3750001	4000000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	241741	227590	2064	467267	0.995583
chr01x02	3750001	4000000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	227590	244617	3051	469156	0.993497
chr01x02	4000001	4250000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	236899	234394	56110	415183	0.864855
chr01x02	4000001	4250000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	236899	239886	2445	474340	0.994845
chr01x02	4000001	4250000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	234394	243911	2658	475647	0.994412
chr01x02	4000001	4250000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	243911	239886	2257	481540	0.995313
chr01x02	4250001	4500000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	211922	230479	23919	418482	0.942843
chr01x02	4250001	4500000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	211922	243676	2708	452890	0.994021
chr01x02	4250001	4500000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	230479	245802	1954	474327	0.995880
chr01x02	4250001	4500000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	245802	243676	2012	487466	0.995873
chr01x02	4500001	4750000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	233339	235947	19161	450125	0.957432
chr01x02	4500001	4750000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	233339	242286	2892	472733	0.993882
chr01x02	4500001	4750000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	235947	241172	2255	474864	0.995251
chr01x02	4500001	4750000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	241172	242286	2346	481112	0.995124
chr01x02	4750001	5000000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	237818	237847	22532	453133	0.950275
chr01x02	4750001	5000000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	237818	241437	4174	475081	0.991214
chr01x02	4750001	5000000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	237847	240207	2472	475582	0.994802
chr01x02	4750001	5000000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	240207	241437	3086	478558	0.993551
chr01x02	5000001	5250000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	235535	238805	2830	471510	0.993998
chr01x02	5000001	5250000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	235535	239989	1995	473529	0.995787
chr01x02	5000001	5250000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	238805	240262	4802	474265	0.989875
chr01x02	5000001	5250000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	240262	239989	2623	477628	0.994508
chr01x02	5250001	5500000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	242551	240021	5212	477360	0.989082
chr01x02	5250001	5500000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	242551	235369	2397	475523	0.994959
chr01x02	5250001	5500000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	240021	239338	2979	476380	0.993747
chr01x02	5250001	5500000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	239338	235369	2681	472026	0.994320
chr01x02	5500001	5750000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	236831	236919	4810	468940	0.989743
chr01x02	5500001	5750000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	236831	238304	3240	471895	0.993134
chr01x02	5500001	5750000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	236919	235255	4293	467881	0.990825
chr01x02	5500001	5750000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	235255	238304	1833	471726	0.996114
chr01x02	5750001	6000000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	224329	236402	14639	446092	0.967184
chr01x02	5750001	6000000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	224329	239609	2590	461348	0.994386
chr01x02	5750001	6000000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	236402	219881	2749	453534	0.993939
chr01x02	5750001	6000000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	219881	239609	3454	456036	0.992426
chr01x02	6000001	6250000	HAP1_chr01	HAP1_chr02	HAP1	HAP1	1	2	220545	238714	2379	456880	0.994793
chr01x02	6000001	6250000	HAP1_chr01	HAP2_chr02	HAP1	HAP2	1	2	220545	242166	1721	460990	0.996267
chr01x02	6000001	6250000	HAP1_chr02	HAP2_chr01	HAP1	HAP2	2	1	238714	228684	2791	464607	0.993993
chr01x02	6000001	6250000	HAP2_chr01	HAP2_chr02	HAP2	HAP2	1	2	228684	242166	2301	468549	0.995089
