unit_a	unit_b	k	shared	kmers_a	kmers_b	jaccard	containment	distance	resolution_limited	z
HAP1_chr01	HAP1_chr02	11	2087073	2091739	2091945	0.995451	0.997769	0.000207	True	0.3652
HAP1_chr01	HAP1_chr02	13	14351190	19752662	19705006	0.571613	0.728302	0.024481	False	807.8270
HAP1_chr01	HAP1_chr02	15	12008772	40091033	39947927	0.176521	0.300611	0.080249	False	5225.6760
HAP1_chr01	HAP1_chr02	17	7778125	45241654	45202238	0.094091	0.172074	0.103545	False	15453.2601
HAP1_chr01	HAP1_chr02	19	6435175	46739121	46802317	0.073877	0.137683	0.104394	False	50882.1977
HAP1_chr01	HAP1_chr02	23	5155140	48360295	48533888	0.056194	0.106599	0.097412	False	631164.7473
HAP1_chr01	HAP1_chr03	11	2086798	2091739	2091599	0.995353	0.997705	0.000212	True	0.4138
HAP1_chr01	HAP1_chr03	13	14401130	19752662	19473005	0.580117	0.739543	0.023760	False	867.7128
HAP1_chr01	HAP1_chr03	15	13054181	40091033	39036678	0.197571	0.334408	0.073920	False	5938.4679
HAP1_chr01	HAP1_chr03	17	9230269	45241654	44073530	0.115256	0.209429	0.092737	False	18676.2464
HAP1_chr01	HAP1_chr03	19	7865496	46739121	45631827	0.093077	0.172369	0.093167	False	63015.7566
HAP1_chr01	HAP1_chr03	23	6412290	48360295	47349636	0.071808	0.135424	0.087389	False	794842.0904
HAP1_chr01	HAP1_chr04	11	2076783	2091739	2081320	0.990701	0.997820	0.000426	True	0.5796
HAP1_chr01	HAP1_chr04	13	11707372	19752662	16142651	0.484017	0.725245	0.032865	False	715.1601
HAP1_chr01	HAP1_chr04	15	6823302	40091033	28247457	0.110921	0.241555	0.107399	False	3245.6611
HAP1_chr01	HAP1_chr04	17	3442395	45241654	31266188	0.047114	0.110100	0.141652	False	8077.1897
HAP1_chr01	HAP1_chr04	19	2761017	46739121	32380153	0.036159	0.085269	0.140116	False	26206.4836
HAP1_chr01	HAP1_chr04	23	2353806	48360295	33744158	0.029515	0.069754	0.124296	False	345615.5242
HAP1_chr01	HAP1_chr05	11	2084340	2091739	2089194	0.994156	0.997677	0.000267	True	0.3730
HAP1_chr01	HAP1_chr05	13	13062651	19752662	18376494	0.521120	0.710835	0.029083	False	682.5288
HAP1_chr01	HAP1_chr05	15	7936815	40091033	35014673	0.118162	0.226671	0.103616	False	3291.3024
HAP1_chr01	HAP1_chr05	17	3822135	45241654	39119289	0.047457	0.097705	0.141244	False	7966.5581
HAP1_chr01	HAP1_chr05	19	3013644	46739121	40414835	0.035817	0.074568	0.140599	False	25588.8654
HAP1_chr01	HAP1_chr05	23	2566862	48360295	41868881	0.029281	0.061307	0.124631	False	338358.8488
HAP1_chr01	HAP1_chr06	11	2083974	2091739	2088791	0.993999	0.997694	0.000274	True	0.3980
HAP1_chr01	HAP1_chr06	13	13027001	19752662	18329814	0.519926	0.710700	0.029199	False	680.9100
HAP1_chr01	HAP1_chr06	15	7783265	40091033	34776954	0.116021	0.223805	0.104707	False	3218.2647
HAP1_chr01	HAP1_chr06	17	3651096	45241654	38637875	0.045509	0.094495	0.143600	False	7642.5026
HAP1_chr01	HAP1_chr06	19	2855504	46739121	39738639	0.034148	0.071857	0.143026	False	24447.2887
HAP1_chr01	HAP1_chr06	23	2426595	48360295	40897342	0.027946	0.059334	0.126604	False	323645.9135
HAP1_chr01	HAP1_chr07	11	2082276	2091739	2087042	0.993213	0.997716	0.000310	True	0.4303
HAP1_chr01	HAP1_chr07	13	12654270	19752662	17703392	0.510216	0.714794	0.030156	False	691.6216
HAP1_chr01	HAP1_chr07	15	7479907	40091033	32782266	0.114383	0.228169	0.105557	False	3216.0444
HAP1_chr01	HAP1_chr07	17	3572956	45241654	36404280	0.045764	0.098147	0.143285	False	7721.8799
HAP1_chr01	HAP1_chr07	19	2808826	46739121	37537165	0.034478	0.074828	0.142536	False	24747.4528
