group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr20	1	250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	158589	133164	78037	213716	0.634857
chr20	250001	500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	216077	219365	101529	333913	0.695942
chr20	500001	750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	210400	223080	161781	271699	0.404558
chr20	750001	1000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	237077	234649	208547	263179	0.207585
chr20	1000001	1250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	211824	206184	186756	231252	0.192413
chr20	1250001	1500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	225930	225979	200116	251793	0.205236
chr20	1500001	1750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	209032	216814	162990	262856	0.379927
chr20	1750001	2000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	232407	230645	219245	243807	0.100744
chr20	2000001	2250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	227722	227601	212887	242436	0.121884
chr20	2250001	2500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	233667	230426	193128	270965	0.287259
chr20	2500001	2750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	234100	235792	203933	265959	0.233216
chr20	2750001	3000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	226092	230521	183607	273006	0.327462
chr20	3000001	3250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	224221	219050	173959	269312	0.354061
chr20	3250001	3500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	228234	226379	183916	270697	0.320584
chr20	3500001	3750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	230240	229459	218362	241337	0.095199
chr20	3750001	4000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	223533	223778	212508	234803	0.094952
chr20	4000001	4250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	227784	227643	216669	238758	0.092516
chr20	4250001	4500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	231694	231934	220857	242771	0.090266
chr20	4500001	4750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	238270	236317	183075	291512	0.371981
chr20	4750001	5000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	221656	219012	170182	270486	0.370829
chr20	5000001	5250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	241741	241733	211549	271925	0.222032
chr20	5250001	5500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	227868	229605	195734	261739	0.252179
chr20	5500001	5750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	239697	217226	172863	284060	0.391456
chr20	5750001	6000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	239844	237963	173546	304261	0.429615
chr20	6000001	6250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	225411	227720	149424	303707	0.507999
chr20	6250001	6500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	237355	236870	171269	302956	0.434674
chr20	6500001	6750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	219038	214085	156487	276636	0.434322
chr20	6750001	7000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	240168	243184	175965	307387	0.427546
chr20	7000001	7250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	241858	239336	195524	285670	0.315560
chr20	7250001	7500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	242526	242861	201345	284042	0.291144
chr20	7500001	7750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	242888	240495	203745	279638	0.271397
chr20	7750001	8000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	233746	243482	175422	301806	0.418759
chr20	8000001	8250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	237720	241828	188307	291241	0.353432
chr20	8250001	8500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	245202	243096	209821	278477	0.246541
chr20	8500001	8750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	230389	239230	185169	284450	0.349028
chr20	8750001	9000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	240506	242342	174426	308422	0.434457
chr20	9000001	9250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	237539	238545	190480	285604	0.333063
chr20	9250001	9500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	242855	243870	188580	298145	0.367489
chr20	9500001	9750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	244997	238726	192433	291290	0.339377
chr20	9750001	10000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	239552	243175	183250	299477	0.388100
chr20	10000001	10250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	239762	233511	183653	289620	0.365883
chr20	10250001	10500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	243905	245127	201406	287626	0.299764
chr20	10500001	10581979	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	73927	71239	42122	103044	0.591223
