seq_id	source	length	reason
CBDIDY020000001.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	542087	below-min-len
CBDIDY020000002.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	533916	below-min-len
CBDIDY020000003.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	441362	below-min-len
CBDIDY020000004.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	440155	below-min-len
CBDIDY020000005.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	408326	below-min-len
CBDIDY020000006.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	395927	below-min-len
CBDIDY020000007.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	393260	below-min-len
CBDIDY020000008.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	392579	below-min-len
CBDIDY020000009.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	386522	below-min-len
CBDIDY020000010.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	381588	below-min-len
CBDIDY020000011.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	376155	below-min-len
CBDIDY020000012.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	375941	below-min-len
CBDIDY020000013.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	375225	below-min-len
CBDIDY020000014.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	365041	below-min-len
CBDIDY020000015.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	361304	below-min-len
CBDIDY020000016.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	355711	below-min-len
CBDIDY020000017.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	338267	below-min-len
CBDIDY020000018.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	330328	below-min-len
CBDIDY020000019.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	310394	below-min-len
CBDIDY020000020.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	302679	below-min-len
CBDIDY020000021.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	299174	below-min-len
CBDIDY020000022.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	297415	below-min-len
CBDIDY020000023.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	293187	below-min-len
CBDIDY020000024.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	293125	below-min-len
CBDIDY020000025.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	287695	below-min-len
CBDIDY020000026.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	284578	below-min-len
CBDIDY020000027.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	282088	below-min-len
CBDIDY020000028.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	277609	below-min-len
CBDIDY020000029.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	272155	below-min-len
CBDIDY020000030.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	258000	below-min-len
CBDIDY020000031.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	257000	below-min-len
CBDIDY020000032.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	256075	below-min-len
CBDIDY020000033.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	256000	below-min-len
CBDIDY020000034.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	243170	below-min-len
CBDIDY020000035.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	238202	below-min-len
CBDIDY020000036.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	234288	below-min-len
CBDIDY020000037.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	232660	below-min-len
CBDIDY020000038.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	232341	below-min-len
CBDIDY020000039.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	228315	below-min-len
CBDIDY020000040.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	228259	below-min-len
CBDIDY020000041.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	226238	below-min-len
CBDIDY020000042.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	222685	below-min-len
CBDIDY020000043.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	221686	below-min-len
CBDIDY020000044.1	/lustre/scratch122/tol/data/d/8/7/6/7/4/Malva_sylvestris/assembly/release/ddMalSylv1.hap1.2/insdc/GCA_965277935.2.fa.gz	219792	below-min-len
