group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr08	1	250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	233426	233432	143340	323518	0.556933
chr08	1	250000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	8	8	233426	230217	99359	364284	0.727249
chr08	1	250000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	8	8	233426	200021	48285	385162	0.874637
chr08	1	250000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	8	8	233432	230217	94384	369265	0.744400
chr08	1	250000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	8	8	233432	200021	41769	391684	0.893360
chr08	1	250000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	8	8	230217	200021	95180	335058	0.715930
chr08	250001	500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	170871	231177	73700	328348	0.775543
chr08	250001	500000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	8	8	170871	241131	67516	344486	0.804009
chr08	250001	500000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	8	8	170871	240867	71029	340709	0.791526
chr08	250001	500000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	8	8	231177	241131	101610	370698	0.725895
chr08	250001	500000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	8	8	231177	240867	59854	412190	0.854790
chr08	250001	500000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	8	8	241131	240867	89998	392000	0.770413
chr08	500001	750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	239517	224883	70894	393506	0.819840
chr08	500001	750000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	8	8	239517	233424	72031	400910	0.820331
chr08	500001	750000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	8	8	239517	240007	91530	387994	0.764094
chr08	500001	750000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	8	8	224883	233424	90247	368060	0.754804
chr08	500001	750000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	8	8	224883	240007	63238	401652	0.842555
chr08	500001	750000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	8	8	233424	240007	106600	366831	0.709403
chr08	750001	1000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	214305	243121	88500	368926	0.760114
chr08	750001	1000000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	8	8	214305	241752	92101	363956	0.746945
chr08	750001	1000000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	8	8	214305	238670	82583	370392	0.777039
chr08	750001	1000000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	8	8	243121	241752	73025	411848	0.822689
chr08	750001	1000000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	8	8	243121	238670	51806	429985	0.879517
chr08	750001	1000000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	8	8	241752	238670	119722	360700	0.668084
chr08	1000001	1250000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	234667	222355	84697	372325	0.772519
chr08	1000001	1250000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	8	8	234667	232333	81256	385744	0.789353
chr08	1000001	1250000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	8	8	234667	241362	102601	373428	0.725246
chr08	1000001	1250000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	8	8	222355	232333	62639	392049	0.840227
chr08	1000001	1250000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	8	8	222355	241362	60607	403110	0.849651
chr08	1000001	1250000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	8	8	232333	241362	94940	378755	0.749337
chr08	1250001	1500000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	246118	240261	127707	358672	0.643945
chr08	1250001	1500000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	8	8	246118	225549	98764	372903	0.735148
chr08	1250001	1500000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	8	8	246118	227801	86548	387371	0.776576
chr08	1250001	1500000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	8	8	240261	225549	71845	393965	0.817636
chr08	1250001	1500000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	8	8	240261	227801	61641	406421	0.848332
chr08	1250001	1500000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	8	8	225549	227801	121354	331996	0.634471
chr08	1500001	1750000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	221539	220136	118675	323000	0.632585
chr08	1500001	1750000	HAP1_chr08	HAP3_chr08	HAP1	HAP3	8	8	221539	176893	51886	346546	0.850277
chr08	1500001	1750000	HAP1_chr08	HAP4_chr08	HAP1	HAP4	8	8	221539	175953	43771	353721	0.876256
chr08	1500001	1750000	HAP2_chr08	HAP3_chr08	HAP2	HAP3	8	8	220136	176893	33166	363863	0.908850
chr08	1500001	1750000	HAP2_chr08	HAP4_chr08	HAP2	HAP4	8	8	220136	175953	23373	372716	0.937290
chr08	1500001	1750000	HAP3_chr08	HAP4_chr08	HAP3	HAP4	8	8	176893	175953	102946	249900	0.588051
chr08	1750001	2000000	HAP1_chr08	HAP2_chr08	HAP1	HAP2	8	8	240517	213917	108412	346022	0.686690
