chrom	n_haplotype_copies	own_mean_distance	homeolog_partner	homeolog_distance	homeolog_z	homeolog_q	distance_ratio
chr01	2	0.003968	chr05	0.085408	-10.084	0	27.55
chr02	2	0.002086	chr04	0.085440	-10.076	0	41.18
chr03	2	0.004758	chr17	0.103702	-5.441	7.19388e-07	25.47
chr04	2	0.002064	chr02	0.085440	-10.076	0	41.18
chr05	2	0.002233	chr01	0.085408	-10.084	0	27.55
chr06	2	0.003023	chr14	0.087491	-9.555	0	31.92
chr07	2	0.004699	chr25	0.105899	-4.883	1.21346e-05	25.65
chr08	2	0.002001	chr20	0.093634	-7.996	3.09276e-14	41.70
chr09	2	0.011803	chr10	0.086911	-9.702	0	12.66
chr10	2	0.001927	chr09	0.086911	-9.702	0	12.66
chr11	2	0.009016	chr19	0.102952	-5.631	2.91123e-07	12.09
chr12	2	0.001911	chr16	0.094442	-7.791	1.35308e-13	47.13
chr13	2	0.009920	chr15	0.095425	-7.541	8.39915e-13	11.98
chr14	2	0.002459	chr06	0.087491	-9.555	0	31.92
chr15	2	0.006008	chr13	0.095425	-7.541	8.39915e-13	11.98
chr16	2	0.002097	chr12	0.094442	-7.791	1.35308e-13	47.13
chr17	2	0.003386	chr03	0.103702	-5.441	7.19388e-07	25.47
chr18	2	0.002053	chr23	0.089324	-9.090	0	50.87
chr19	2	0.008014	chr11	0.102952	-5.631	2.91123e-07	12.09
chr20	2	0.002490	chr08	0.093634	-7.996	3.09276e-14	41.70
chr21	2	0.001299	chr24	0.088268	-9.358	0	54.02
chr22	2	0.007186	chr26	0.110641	-3.679	0.00223572	24.05
chr23	2	0.001459	chr18	0.089324	-9.090	0	50.87
chr24	2	0.001969	chr21	0.088268	-9.358	0	54.02
chr25	2	0.003559	chr07	0.105899	-4.883	1.21346e-05	25.65
chr26	2	0.002016	chr22	0.110641	-3.679	0.00223572	24.05
