unit_a	unit_b	k	shared	kmers_a	kmers_b	jaccard	containment	distance	resolution_limited	z
HAP1_chr01	HAP1_chr02	11	2096700	2096988	2096855	0.999789	0.999926	0.000010	True	0.0062
HAP1_chr01	HAP1_chr02	13	23642339	27621022	26720424	0.770131	0.884804	0.010700	False	351.1504
HAP1_chr01	HAP1_chr02	15	36991845	97541818	87908421	0.249173	0.420800	0.061263	False	5259.6852
HAP1_chr01	HAP1_chr02	17	20728180	129429305	113834044	0.093146	0.182091	0.104088	False	14517.5294
HAP1_chr01	HAP1_chr02	19	16552706	139322610	121861652	0.067664	0.135832	0.108712	False	46744.0483
HAP1_chr01	HAP1_chr02	23	15070260	150239689	130846889	0.056652	0.115175	0.097078	False	637537.1655
HAP1_chr01	HAP1_chr03	11	2096720	2096988	2096880	0.999796	0.999924	0.000009	True	0.0027
HAP1_chr01	HAP1_chr03	13	24190480	27621022	27001318	0.794906	0.895900	0.009334	False	416.5406
HAP1_chr01	HAP1_chr03	15	48375275	97541818	91108130	0.344861	0.530966	0.044517	False	7821.5252
HAP1_chr01	HAP1_chr03	17	40793493	129429305	118723663	0.196728	0.343600	0.065434	False	29162.5839
HAP1_chr01	HAP1_chr03	19	36476954	139322610	126917972	0.158759	0.287406	0.068135	False	101336.6679
HAP1_chr01	HAP1_chr03	23	31677040	150239689	135645851	0.124610	0.233528	0.065515	False	1316182.0361
HAP1_chr01	HAP1_chr04	11	2096457	2096988	2096602	0.999678	0.999931	0.000015	True	0.0131
HAP1_chr01	HAP1_chr04	13	22981590	27621022	25824247	0.754393	0.889923	0.011601	False	373.8828
HAP1_chr01	HAP1_chr04	15	34228898	97541818	79663682	0.239402	0.429668	0.063406	False	5192.6543
HAP1_chr01	HAP1_chr04	17	19158086	129429305	101254860	0.090571	0.189207	0.105599	False	14275.2155
HAP1_chr01	HAP1_chr04	19	15410755	139322610	108174487	0.066401	0.142462	0.109641	False	46206.6296
HAP1_chr01	HAP1_chr04	23	14066159	150239689	116201272	0.055735	0.121050	0.097749	False	631447.6126
HAP1_chr01	HAP1_chr05	11	2096426	2096988	2096581	0.999658	0.999926	0.000016	True	0.0062
HAP1_chr01	HAP1_chr05	13	22924214	27621022	25809711	0.751453	0.888201	0.011773	False	364.1362
HAP1_chr01	HAP1_chr05	15	33265872	97541818	80069090	0.230461	0.415465	0.065461	False	4907.6896
HAP1_chr01	HAP1_chr05	17	16709698	129429305	101539886	0.077988	0.164563	0.113715	False	12272.2621
HAP1_chr01	HAP1_chr05	19	12429485	139322610	107858193	0.052947	0.115239	0.120890	False	37259.1973
HAP1_chr01	HAP1_chr05	23	10630503	150239689	114636465	0.041812	0.092732	0.109669	False	480457.5116
HAP1_chr01	HAP1_chr06	11	2095577	2096988	2095723	0.999258	0.999930	0.000034	True	0.0124
HAP1_chr01	HAP1_chr06	13	21502230	27621022	23898391	0.716331	0.899735	0.013897	False	412.5427
HAP1_chr01	HAP1_chr06	15	28959825	97541818	64800436	0.217119	0.446908	0.068710	False	5008.8515
HAP1_chr01	HAP1_chr06	17	16127221	129429305	79295867	0.083735	0.203380	0.109845	False	13661.0387
HAP1_chr01	HAP1_chr06	19	13116470	139322610	84067152	0.062378	0.156024	0.112732	False	44639.2666
HAP1_chr01	HAP1_chr06	23	12021568	150239689	89823304	0.052717	0.133836	0.100046	False	613811.9121
HAP1_chr01	HAP1_chr07	11	2094882	2096988	2095030	0.998925	0.999929	0.000049	True	0.0109
HAP1_chr01	HAP1_chr07	13	21027425	27621022	23189929	0.706009	0.906748	0.014549	False	443.6029
HAP1_chr01	HAP1_chr07	15	29431235	97541818	60850000	0.228219	0.483669	0.065991	False	5526.5237
HAP1_chr01	HAP1_chr07	17	18425866	129429305	73969691	0.099614	0.249100	0.100486	False	16397.6644
HAP1_chr01	HAP1_chr07	19	15320270	139322610	78384987	0.075698	0.195449	0.103202	False	54067.4320
HAP1_chr01	HAP1_chr07	23	13480084	150239689	83786841	0.061121	0.160885	0.093960	False	712649.0784
HAP1_chr01	HAP1_chr08	11	2094922	2096988	2095063	0.998948	0.999933	0.000048	True	0.0158
HAP1_chr01	HAP1_chr08	13	21063923	27621022	23238818	0.706940	0.906411	0.014490	False	442.2795
HAP1_chr01	HAP1_chr08	15	29417258	97541818	61036204	0.227757	0.481964	0.066101	False	5503.7310
HAP1_chr01	HAP1_chr08	17	18273397	129429305	74123123	0.098626	0.246528	0.101019	False	16234.2243
HAP1_chr01	HAP1_chr08	19	15145092	139322610	78437316	0.074748	0.193085	0.103819	False	53427.9614
HAP1_chr01	HAP1_chr08	23	13334457	150239689	83643941	0.060460	0.159419	0.094405	False	705551.9937
HAP1_chr01	HAP1_chr09	11	2094640	2096988	2094777	0.998815	0.999935	0.000054	True	0.0185
HAP1_chr01	HAP1_chr09	13	20868133	27621022	23056077	0.700062	0.905103	0.014931	False	433.6161
HAP1_chr01	HAP1_chr09	15	28150720	97541818	60194145	0.217237	0.467665	0.068680	False	5205.3715
HAP1_chr01	HAP1_chr09	17	16175763	129429305	72820804	0.086932	0.222131	0.107814	False	14394.9425
HAP1_chr01	HAP1_chr09	19	12730721	139322610	76841822	0.062579	0.165674	0.112572	False	45334.9174
HAP1_chr01	HAP1_chr09	23	10556037	150239689	81531667	0.047718	0.129472	0.104170	False	565725.7980
