group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr04	1	250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	209564	221293	124771	306086	0.592366
chr04	250001	500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	115877	175293	85907	205263	0.581478
chr04	500001	750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	133476	88379	55568	166287	0.665831
chr04	750001	1000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	230580	208107	132039	306648	0.569412
chr04	1000001	1250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	103827	182830	79588	207069	0.615645
chr04	1250001	1500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	225491	162411	127593	260309	0.509840
chr04	1500001	1750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	220287	153514	42258	331543	0.872541
chr04	1750001	2000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	143403	56461	429	199435	0.997849
chr04	2000001	2250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	137496	90342	6060	221778	0.972675
chr04	2250001	2500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	234642	223595	6608	451629	0.985369
chr04	2500001	2750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	158297	152190	4055	306432	0.986767
chr04	2750001	3000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	200319	235678	1948	434049	0.995512
chr04	3000001	3250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	173902	203384	1423	375863	0.996214
chr04	3250001	3500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	72716	169658	788	241586	0.996738
chr04	3500001	3750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	157718	214474	3322	368870	0.990994
chr04	3750001	4000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	138943	69260	2349	205854	0.988589
chr04	4000001	4250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	229760	152902	10734	371928	0.971140
chr04	4250001	4500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	189182	123881	7142	305921	0.976654
chr04	4500001	4750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	161713	196746	4154	354305	0.988276
chr04	4750001	5000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	215313	169165	15186	369292	0.958878
chr04	5000001	5250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	225453	230955	9797	446611	0.978064
chr04	5250001	5500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	189231	221801	7712	403320	0.980879
chr04	5500001	5750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	199504	168391	2434	365461	0.993340
chr04	5750001	6000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	143857	228198	5805	366250	0.984150
chr04	6000001	6250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	221618	176381	8472	389527	0.978251
chr04	6250001	6500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	216348	185763	8917	393194	0.977322
chr04	6500001	6750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	188101	143440	8189	323352	0.974675
chr04	6750001	7000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	177789	223566	18584	382771	0.951449
chr04	7000001	7250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	236671	214668	10547	440792	0.976073
chr04	7250001	7500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	221557	190368	8304	403621	0.979426
chr04	7500001	7750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	204793	196245	9943	391095	0.974577
chr04	7750001	8000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	206699	235939	4259	438379	0.990285
chr04	8000001	8250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	211619	199711	7051	404279	0.982559
chr04	8250001	8500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	234442	212103	17346	429199	0.959585
chr04	8500001	8750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	132844	209366	2997	339213	0.991165
chr04	8750001	9000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	164286	209654	7475	366465	0.979602
chr04	9000001	9250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	178986	219760	4982	393764	0.987348
chr04	9250001	9500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	199154	161931	5113	355972	0.985637
chr04	9500001	9750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	162346	161252	6372	317226	0.979913
chr04	9750001	10000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	221003	190531	26168	385366	0.932096
chr04	10000001	10250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	223972	201044	22258	402758	0.944736
chr04	10250001	10500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	184333	166272	11473	339132	0.966170
chr04	10500001	10750000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	192646	219826	18483	393989	0.953088
chr04	10750001	11000000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	186666	213794	6480	393980	0.983552
chr04	11000001	11250000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	164573	174237	10572	328238	0.967792
chr04	11250001	11500000	HAP1_chr04	HAP2_chr04	HAP1	HAP2	4	4	113305	183781	11224	285862	0.960736
