group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr23	1	250000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	185299	147529	12166	320662	0.962060
chr23	1	250000	HAP1_chr23	HAP3_chr23	HAP1	HAP3	23	23	185299	176947	124321	237925	0.477478
chr23	1	250000	HAP1_chr23	HAP4_chr23	HAP1	HAP4	23	23	185299	167514	113596	239217	0.525134
chr23	1	250000	HAP2_chr23	HAP3_chr23	HAP2	HAP3	23	23	147529	176947	10565	313911	0.966344
chr23	1	250000	HAP2_chr23	HAP4_chr23	HAP2	HAP4	23	23	147529	167514	8831	306212	0.971161
chr23	1	250000	HAP3_chr23	HAP4_chr23	HAP3	HAP4	23	23	176947	167514	129672	214789	0.396282
chr23	250001	500000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	156486	139793	6898	289381	0.976163
chr23	250001	500000	HAP1_chr23	HAP3_chr23	HAP1	HAP3	23	23	156486	157459	103349	210596	0.509255
chr23	250001	500000	HAP1_chr23	HAP4_chr23	HAP1	HAP4	23	23	156486	156121	100018	212589	0.529524
chr23	250001	500000	HAP2_chr23	HAP3_chr23	HAP2	HAP3	23	23	139793	157459	7027	290225	0.975788
chr23	250001	500000	HAP2_chr23	HAP4_chr23	HAP2	HAP4	23	23	139793	156121	6842	289072	0.976331
chr23	250001	500000	HAP3_chr23	HAP4_chr23	HAP3	HAP4	23	23	157459	156121	104254	209326	0.501954
chr23	500001	750000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	140346	192442	9194	323594	0.971588
chr23	500001	750000	HAP1_chr23	HAP3_chr23	HAP1	HAP3	23	23	140346	131747	80364	191729	0.580846
chr23	500001	750000	HAP1_chr23	HAP4_chr23	HAP1	HAP4	23	23	140346	139609	35568	244387	0.854460
chr23	500001	750000	HAP2_chr23	HAP3_chr23	HAP2	HAP3	23	23	192442	131747	9384	314805	0.970191
chr23	500001	750000	HAP2_chr23	HAP4_chr23	HAP2	HAP4	23	23	192442	139609	6742	325309	0.979275
chr23	500001	750000	HAP3_chr23	HAP4_chr23	HAP3	HAP4	23	23	131747	139609	37982	233374	0.837248
chr23	750001	1000000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	178948	196844	14223	361569	0.960663
chr23	750001	1000000	HAP1_chr23	HAP3_chr23	HAP1	HAP3	23	23	178948	179742	100999	257691	0.608062
chr23	750001	1000000	HAP1_chr23	HAP4_chr23	HAP1	HAP4	23	23	178948	126144	32595	272497	0.880384
chr23	750001	1000000	HAP2_chr23	HAP3_chr23	HAP2	HAP3	23	23	196844	179742	17855	358731	0.950227
chr23	750001	1000000	HAP2_chr23	HAP4_chr23	HAP2	HAP4	23	23	196844	126144	7586	315402	0.975948
chr23	750001	1000000	HAP3_chr23	HAP4_chr23	HAP3	HAP4	23	23	179742	126144	38697	267189	0.855170
chr23	1000001	1250000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	201733	204680	10774	395639	0.972768
chr23	1000001	1250000	HAP1_chr23	HAP3_chr23	HAP1	HAP3	23	23	201733	197210	107663	291280	0.630380
chr23	1000001	1250000	HAP1_chr23	HAP4_chr23	HAP1	HAP4	23	23	201733	188043	19337	370439	0.947800
chr23	1000001	1250000	HAP2_chr23	HAP3_chr23	HAP2	HAP3	23	23	204680	197210	10856	391034	0.972238
chr23	1000001	1250000	HAP2_chr23	HAP4_chr23	HAP2	HAP4	23	23	204680	188043	10923	381800	0.971391
chr23	1000001	1250000	HAP3_chr23	HAP4_chr23	HAP3	HAP4	23	23	197210	188043	52565	332688	0.841999
chr23	1250001	1500000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	198818	202141	9821	391138	0.974891
chr23	1250001	1500000	HAP1_chr23	HAP3_chr23	HAP1	HAP3	23	23	198818	175252	31817	342253	0.907037
chr23	1250001	1500000	HAP1_chr23	HAP4_chr23	HAP1	HAP4	23	23	198818	196796	30143	365471	0.917523
chr23	1250001	1500000	HAP2_chr23	HAP3_chr23	HAP2	HAP3	23	23	202141	175252	9036	368357	0.975469
chr23	1250001	1500000	HAP2_chr23	HAP4_chr23	HAP2	HAP4	23	23	202141	196796	7955	390982	0.979654
chr23	1250001	1500000	HAP3_chr23	HAP4_chr23	HAP3	HAP4	23	23	175252	196796	99360	272688	0.635628
chr23	1500001	1750000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	195054	214425	9383	400096	0.976548
chr23	1500001	1750000	HAP1_chr23	HAP3_chr23	HAP1	HAP3	23	23	195054	194954	30180	359828	0.916127
chr23	1500001	1750000	HAP1_chr23	HAP4_chr23	HAP1	HAP4	23	23	195054	178274	54300	319028	0.829796
chr23	1500001	1750000	HAP2_chr23	HAP3_chr23	HAP2	HAP3	23	23	214425	194954	9514	399865	0.976207
chr23	1500001	1750000	HAP2_chr23	HAP4_chr23	HAP2	HAP4	23	23	214425	178274	8767	383932	0.977165
chr23	1500001	1750000	HAP3_chr23	HAP4_chr23	HAP3	HAP4	23	23	194954	178274	75353	297875	0.747031
chr23	1750001	2000000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	195545	222482	14114	403913	0.965057
chr23	1750001	2000000	HAP1_chr23	HAP3_chr23	HAP1	HAP3	23	23	195545	195304	25541	365308	0.930084
chr23	1750001	2000000	HAP1_chr23	HAP4_chr23	HAP1	HAP4	23	23	195545	206807	58940	343412	0.828369
chr23	1750001	2000000	HAP2_chr23	HAP3_chr23	HAP2	HAP3	23	23	222482	195304	7631	410155	0.981395
chr23	1750001	2000000	HAP2_chr23	HAP4_chr23	HAP2	HAP4	23	23	222482	206807	10945	418344	0.973837
chr23	1750001	2000000	HAP3_chr23	HAP4_chr23	HAP3	HAP4	23	23	195304	206807	102303	299808	0.658772
chr23	2000001	2250000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	219019	226773	13673	432119	0.968358
chr23	2000001	2250000	HAP1_chr23	HAP3_chr23	HAP1	HAP3	23	23	219019	202996	44974	377041	0.880719
chr23	2000001	2250000	HAP1_chr23	HAP4_chr23	HAP1	HAP4	23	23	219019	207208	82960	343267	0.758322
chr23	2000001	2250000	HAP2_chr23	HAP3_chr23	HAP2	HAP3	23	23	226773	202996	12852	416917	0.969174
chr23	2000001	2250000	HAP2_chr23	HAP4_chr23	HAP2	HAP4	23	23	226773	207208	8463	425518	0.980111
chr23	2000001	2250000	HAP3_chr23	HAP4_chr23	HAP3	HAP4	23	23	202996	207208	103982	306222	0.660436
chr23	2250001	2500000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	225489	237218	8637	454070	0.980979
chr23	2250001	2500000	HAP1_chr23	HAP3_chr23	HAP1	HAP3	23	23	225489	231417	54017	402889	0.865926
chr23	2250001	2500000	HAP1_chr23	HAP4_chr23	HAP1	HAP4	23	23	225489	218379	70937	372931	0.809785
chr23	2250001	2500000	HAP2_chr23	HAP3_chr23	HAP2	HAP3	23	23	237218	231417	10746	457889	0.976531
chr23	2250001	2500000	HAP2_chr23	HAP4_chr23	HAP2	HAP4	23	23	237218	218379	6923	448674	0.984570
chr23	2250001	2500000	HAP3_chr23	HAP4_chr23	HAP3	HAP4	23	23	231417	218379	112246	337550	0.667469
chr23	2500001	2750000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	232982	226278	12731	446529	0.971489
chr23	2500001	2750000	HAP1_chr23	HAP3_chr23	HAP1	HAP3	23	23	232982	223441	39330	417093	0.905704
chr23	2500001	2750000	HAP1_chr23	HAP4_chr23	HAP1	HAP4	23	23	232982	161346	6772	387556	0.982526
chr23	2500001	2750000	HAP2_chr23	HAP3_chr23	HAP2	HAP3	23	23	226278	223441	13027	436692	0.970169
