group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr23	1	250000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	55556	239226	952	293830	0.996760
chr23	250001	500000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	14682	234303	22	248963	0.999912
chr23	500001	750000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	11632	245816	23	257425	0.999911
chr23	750001	1000000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	12466	245339	14	257791	0.999946
chr23	1000001	1250000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	13083	245129	14	258198	0.999946
chr23	1250001	1500000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	16297	219059	20	235336	0.999915
chr23	1500001	1750000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	189675	239877	3441	426111	0.991925
chr23	1750001	2000000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	245269	237633	7661	475241	0.983880
chr23	2000001	2250000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	225317	237493	2212	460598	0.995198
chr23	2250001	2500000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	236905	239977	2395	474487	0.994952
chr23	2500001	2750000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	245231	243085	2911	485405	0.994003
chr23	2750001	3000000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	237844	245242	2851	480235	0.994063
chr23	3000001	3250000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	226294	245608	3377	468525	0.992792
chr23	3250001	3500000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	230872	238510	4211	465171	0.990947
chr23	3500001	3750000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	244315	241572	2863	483024	0.994073
chr23	3750001	4000000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	237779	236723	6435	468067	0.986252
chr23	4000001	4250000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	236548	242184	5709	473023	0.987931
chr23	4250001	4500000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	244543	238706	2970	480279	0.993816
chr23	4500001	4750000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	217289	243208	2356	458141	0.994857
chr23	4750001	5000000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	243041	236547	4029	475559	0.991528
chr23	5000001	5250000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	235753	231874	5434	462193	0.988243
chr23	5250001	5500000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	241735	239798	4138	477395	0.991332
chr23	5500001	5750000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	238565	228470	6618	460417	0.985626
chr23	5750001	6000000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	236095	190241	9531	416805	0.977133
chr23	6000001	6250000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	242735	231635	5841	468529	0.987533
chr23	6250001	6500000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	241872	216787	4899	453760	0.989204
chr23	6500001	6750000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	237642	239849	8741	468750	0.981353
chr23	6750001	7000000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	242290	231341	6667	466964	0.985723
chr23	7000001	7250000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	232295	224099	6637	449757	0.985243
chr23	7250001	7500000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	175926	233495	8604	400817	0.978534
chr23	7500001	7750000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	235435	227089	9873	452651	0.978188
chr23	7750001	8000000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	228379	220778	17035	432122	0.960578
chr23	8000001	8250000	HAP1_chr23	HAP2_chr23	HAP1	HAP2	23	23	208695	231471	10836	429330	0.974761
