group	win_start	win_end	unit_a	unit_b	hap_a	hap_b	chrom_a	chrom_b	kmers_a	kmers_b	shared	union	jaccard_distance
chr20	1	250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	31028	24372	2771	52629	0.947348
chr20	250001	500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	29226	25613	5139	49700	0.896600
chr20	500001	750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	16380	190212	1899	204693	0.990723
chr20	750001	1000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	40328	17028	3	57353	0.999948
chr20	1000001	1250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	174266	18315	4900	187681	0.973892
chr20	1250001	1500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	11418	23304	5818	28904	0.798713
chr20	1500001	1750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	17940	22455	11628	28767	0.595787
chr20	1750001	2000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	10580	10540	4276	16844	0.746141
chr20	2000001	2250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	20750	11592	6681	25661	0.739644
chr20	2250001	2500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	25457	10854	6926	29385	0.764302
chr20	2500001	2750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	18946	22319	5402	35863	0.849371
chr20	2750001	3000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	19693	21161	10148	30706	0.669511
chr20	3000001	3250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	21048	22780	11511	32317	0.643810
chr20	3250001	3500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	9401	11893	4511	16783	0.731216
chr20	3500001	3750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	6326	13027	2451	16902	0.854988
chr20	3750001	4000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	21999	11567	7025	26541	0.735315
chr20	4000001	4250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	17237	13033	5276	24994	0.788909
chr20	4250001	4500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	13379	8729	3832	18276	0.790326
chr20	4500001	4750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	10346	106919	7549	109716	0.931195
chr20	4750001	5000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	5528	239395	99	244824	0.999596
chr20	5000001	5250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	29748	233101	717	262132	0.997265
chr20	5250001	5500000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	238613	222381	5456	455538	0.988023
chr20	5500001	5750000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	237771	205566	9898	433439	0.977164
chr20	5750001	6000000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	223141	235996	8812	450325	0.980432
chr20	6000001	6250000	HAP1_chr20	HAP2_chr20	HAP1	HAP2	20	20	238478	240894	7632	471740	0.983822
