unit_a	unit_b	k_sweep	chosen_k	kmers_a	kmers_b	shared	union	jaccard_at_chosen_k	containment_at_chosen_k	distance	containment_p	resolution_limited	k_consistency_spread
HAP1_chr01	HAP1_chr02	11,13,15,17,19,23	23	26192244	11175608	605428	36762424	0.016469	0.054174	0.149108	0.119058	False	0.152457
HAP1_chr01	HAP1_chr03	11,13,15,17,19,23	23	26192244	10328511	564063	35956692	0.015687	0.054612	0.151188	0.118749	False	0.153767
HAP1_chr01	HAP1_chr04	11,13,15,17,19,23	23	26192244	17758760	645995	43305009	0.014917	0.036376	0.153343	0.134182	False	0.157030
HAP1_chr01	HAP1_chr05	11,13,15,17,19,23	23	26192244	11645184	682054	37155374	0.018357	0.058570	0.144469	0.116065	False	0.146391
HAP1_chr01	HAP1_chr06	11,13,15,17,19,23	23	26192244	11543558	584531	37151271	0.015734	0.050637	0.151061	0.121640	False	0.154213
HAP1_chr01	HAP1_chr07	11,13,15,17,19,23	23	26192244	9767576	610216	35349604	0.017262	0.062474	0.147096	0.113581	False	0.148184
HAP1_chr01	HAP1_chr08	11,13,15,17,19,23	23	26192244	15999656	492924	41698976	0.011821	0.030808	0.163325	0.140413	False	0.167990
HAP1_chr01	HAP1_chr09	11,13,15,17,19,23	23	26192244	10088101	552764	35727581	0.015472	0.054794	0.151781	0.118622	False	0.153528
HAP1_chr01	HAP1_chr10	11,13,15,17,19,23	23	26192244	15088046	572526	40707764	0.014064	0.037946	0.155867	0.132590	False	0.161536
HAP1_chr01	HAP1_chr11	11,13,15,17,19,23	23	26192244	10341049	506006	36027287	0.014045	0.048932	0.155925	0.122947	False	0.158444
HAP1_chr01	HAP1_chr12	11,13,15,17,19,23	23	26192244	14002626	598154	39596716	0.015106	0.042717	0.152804	0.128111	False	0.157304
HAP1_chr01	HAP1_chr13	11,13,15,17,19,23	23	26192244	14838218	497364	40533098	0.012271	0.033519	0.161722	0.137255	False	0.167657
HAP1_chr01	HAP1_chr14	11,13,15,17,19,23	23	26192244	14386278	524623	40053899	0.013098	0.036467	0.158920	0.134088	False	0.163697
HAP1_chr01	HAP1_chr15	11,13,15,17,19,23	23	26192244	13479223	527872	39143595	0.013486	0.039162	0.157669	0.131399	False	0.162720
HAP1_chr01	HAP1_chr16	11,13,15,17,19,23	23	26192244	10106121	465193	35833172	0.012982	0.046031	0.159301	0.125275	False	0.161976
HAP1_chr01	HAP1_chr17	11,13,15,17,19,23	23	26192244	12666223	430399	38428068	0.011200	0.033980	0.165644	0.136743	False	0.171596
HAP1_chr01	HAP1_chr18	11,13,15,17,19,23	23	26192244	11510563	455914	37246893	0.012240	0.039608	0.161828	0.130971	False	0.166461
HAP1_chr01	HAP1_chr19	11,13,15,17,19,23	23	26192244	9877749	471612	35598381	0.013248	0.047745	0.158431	0.123883	False	0.161196
HAP1_chr01	HAP2_chr01	11,13,15,17,19,23	23	26192244	26839931	17530364	35501811	0.493788	0.669296	0.017992	0.017306	False	0.016181
HAP1_chr01	HAP2_chr02	11,13,15,17,19,23	23	26192244	11288701	608951	36871994	0.016515	0.053943	0.148987	0.119221	False	0.152525
HAP1_chr01	HAP2_chr03	11,13,15,17,19,23	23	26192244	9578621	523913	35246952	0.014864	0.054696	0.153496	0.118690	False	0.155619
HAP1_chr01	HAP2_chr04	11,13,15,17,19,23	23	26192244	17729554	674342	43247456	0.015593	0.038035	0.151447	0.132501	False	0.155331
HAP1_chr01	HAP2_chr05	11,13,15,17,19,23	23	26192244	11309022	642400	36858866	0.017429	0.056804	0.146686	0.117240	False	0.148271
HAP1_chr01	HAP2_chr06	11,13,15,17,19,23	23	26192244	11472360	593731	37070873	0.016016	0.051753	0.150300	0.120807	False	0.153570
