chrom	win_start	win_end	unit_a	unit_b	hap_a	hap_b	kmers_a	kmers_b	shared	union	jaccard_distance
15	1	250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	87833	19735	1790	105778	0.983078
15	250001	500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	176900	9596	1360	185136	0.992654
15	500001	750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	217450	227007	29210	415247	0.929656
15	750001	1000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	240055	214707	34355	420407	0.918282
15	1000001	1250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	234053	230130	25228	438955	0.942527
15	1250001	1500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	234409	228687	60205	402891	0.850568
15	1500001	1750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	224254	229837	22073	432018	0.948907
15	1750001	2000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	233444	222840	47619	408665	0.883477
15	2000001	2250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	200648	200812	32979	368481	0.910500
15	2250001	2500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	230307	216048	21899	424456	0.948407
15	2500001	2750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	215676	241453	97057	360072	0.730451
15	2750001	3000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	216610	238604	111103	344111	0.677130
15	3000001	3250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	240746	243379	126392	357733	0.646686
15	3250001	3500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	241992	240233	116830	365395	0.680264
15	3500001	3750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	238337	240302	152520	326119	0.532318
15	3750001	4000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	242923	232458	131678	343703	0.616884
15	4000001	4250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	239965	235428	156327	319066	0.510048
15	4250001	4500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	230208	239436	126384	343260	0.631813
15	4500001	4750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	244382	243396	178766	309012	0.421492
15	4750001	5000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	242678	240283	163403	319558	0.488659
15	5000001	5250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	236605	240530	147046	330089	0.554526
15	5250001	5500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	242152	239327	139221	342258	0.593228
15	5500001	5750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	239638	235062	110303	364397	0.697300
15	5750001	6000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	242067	242362	134398	350031	0.616040
15	6000001	6250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	242684	243788	122804	363668	0.662318
15	6250001	6500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	239780	240228	122638	357370	0.656832
15	6500001	6750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	242416	240835	147266	335985	0.561689
15	6750001	7000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	241538	241206	123412	359332	0.656552
15	7000001	7250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	243101	241217	132063	352255	0.625093
15	7250001	7500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	242264	241696	105199	378761	0.722255
15	7500001	7750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	244878	244630	136015	353493	0.615226
15	7750001	8000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	243982	243635	115249	372368	0.690497
15	8000001	8250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	223392	244070	156393	311069	0.497240
15	8250001	8500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	244334	207522	136246	315610	0.568309
15	8500001	8750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	241824	243717	127789	357752	0.642800
15	8750001	9000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	235995	232417	136247	332165	0.589821
15	9000001	9250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	234955	236758	102586	369127	0.722085
15	9250001	9500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	235848	232967	146022	322793	0.547630
15	9500001	9750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	239561	240959	152594	327926	0.534669
15	9750001	10000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	234984	237970	115474	357480	0.676978
15	10000001	10250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	240920	235816	132854	343882	0.613664
15	10250001	10500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	236260	235600	97301	374559	0.740225
15	10500001	10750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	232129	228991	154055	307065	0.498298
15	10750001	11000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	210020	227212	90240	346992	0.739936
15	11000001	11250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	237718	233060	137803	332975	0.586146
15	11250001	11500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	232510	232931	108324	357117	0.696671
15	11500001	11750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	228355	240400	88984	379771	0.765690
15	11750001	12000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	241191	242607	84303	399495	0.788976
15	12000001	12250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	152864	238595	23681	367778	0.935611
15	12250001	12500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	208352	244340	6509	446183	0.985412
15	12500001	12750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	239616	239777	5605	473788	0.988170
15	12750001	13000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	237287	233194	7820	462661	0.983098
15	13000001	13250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	237418	233004	3589	466833	0.992312
15	13250001	13500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	233000	236717	4228	465489	0.990917
15	13500001	13750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	241315	241537	4539	478313	0.990510
15	13750001	14000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	234874	235970	5084	465760	0.989085
15	14000001	14250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	220393	233880	8953	445320	0.979895
15	14250001	14500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	237204	221328	4336	454196	0.990453
15	14500001	14750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	233117	230953	5397	458673	0.988233
15	14750001	15000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	221994	228990	3697	447287	0.991735
15	15000001	15250000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	235920	234920	5742	465098	0.987654
15	15250001	15500000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	216240	235624	4866	446998	0.989114
15	15500001	15750000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	229575	238541	11804	456312	0.974132
15	15750001	16000000	HAP1_chr15	HAP2_chr15	HAP1	HAP2	234561	228099	4736	457924	0.989658
